"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","transistor polarity","Ptot [max]","VCEO [max]","IC [max]","ICM [max]","hFE [min]","hFE [typ]","fT [min]","fT [typ]","RCEsat [typ]","RCEsat [max]","VCEsat [max]"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSM5240PFH","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSM5240PFH.html","http://www.nxp.com/documents/data_sheet/PBSM5240PFH.pdf","SOT1118","DFN2020-6","2 x 2 x 0.65","PNP","1250","-40","-1.8","-3","100","","100","","240","340","-310"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS301PD","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS301PD.html","http://www.nxp.com/documents/data_sheet/PBSS301PD.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","PNP","2500","-20","-4","-15","250","400","","80","50","70","-420"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS301PX","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS301PX.html","http://www.nxp.com/documents/data_sheet/PBSS301PX.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2100","-12","-5.3","-10.6","250","400","","140","28; 38","40; 60","-240"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS301PZ","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS301PZ.html","http://www.nxp.com/documents/data_sheet/PBSS301PZ.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","PNP","2000","-12","-5.7","-11.4","250","400","","140","32.5; 41","45; 65","-260"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS302PD","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS302PD.html","http://www.nxp.com/documents/data_sheet/PBSS302PD.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","PNP","2500","-40","-4","-15","200","","","110","55","75","-450"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS302PX","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS302PX.html","http://www.nxp.com/documents/data_sheet/PBSS302PX.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2100","-20","-5.1","-10.2","250","370","","130","32; 50","48; 75","-300"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS302PZ","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS302PZ.html","http://www.nxp.com/documents/data_sheet/PBSS302PZ.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","PNP","2000","-20","-5.5","-11","250","370","","130","35; 53","50; 80","-320"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS303PD","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS303PD.html","http://www.nxp.com/documents/data_sheet/PBSS303PD.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","PNP","2500","-60","-1","-6","180","265","","110","75","100","-675"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS303PX","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS303PX.html","http://www.nxp.com/documents/data_sheet/PBSS303PX.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2100","-30","-5.1","-10.2","250","400","","130","32; 58","48; 88","-350"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PBSS303PZ","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PBSS303PZ.html","http://www.nxp.com/documents/data_sheet/PBSS303PZ.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","PNP","2000","-30","-5.3","-10.6","250","400","","130","36; 61","53; 92","-370"
