"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Schmitt-triggers","74AHC1G14GV","http://www.nxp.com/products/logic/schmitt_triggers/74AHC1G14GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G14.pdf","Production","AHC(T)","single inverter Schmitt-trigger","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","282","70.5","177","5","TSOP5","SOT753"
"nxp","Logic---Schmitt-triggers","74AHC1G14GW","http://www.nxp.com/products/logic/schmitt_triggers/74AHC1G14GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G14.pdf","Production","AHC(T)","single inverter Schmitt-trigger","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","322","90.7","191","5","TSSOP5","SOT353-1"
"nxp","Logic---Schmitt-triggers","74AHCT1G14GV","http://www.nxp.com/products/logic/schmitt_triggers/74AHCT1G14GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G14.pdf","Production","AHC(T)","single inverter Schmitt-trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.1","60","1","low","-40~125","282","70.5","177","5","TSOP5","SOT753"
"nxp","Logic---Schmitt-triggers","74AHCT1G14GW","http://www.nxp.com/products/logic/schmitt_triggers/74AHCT1G14GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G14.pdf","Production","AHC(T)","single inverter Schmitt-trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.1","60","1","low","-40~125","322","90.7","191","5","TSSOP5","SOT353-1"
"nxp","Logic---Schmitt-triggers","74AHC1G17GF","http://www.nxp.com/products/logic/schmitt_triggers/74AHC1G17GF.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G17.pdf","Development","AHC(T)","single buffer Schmitt-trigger","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","251","128.0","","6","XSON6","SOT891"
"nxp","Logic---Schmitt-triggers","74AHC1G17GM","http://www.nxp.com/products/logic/schmitt_triggers/74AHC1G17GM.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G17.pdf","Development","AHC(T)","single buffer Schmitt-trigger","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","251","128.0","","6","XSON6","SOT886"
"nxp","Logic---Schmitt-triggers","74AHC1G17GV","http://www.nxp.com/products/logic/schmitt_triggers/74AHC1G17GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G17.pdf","Production","AHC(T)","single buffer Schmitt-trigger","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","282","70.5","177","5","TSOP5","SOT753"
"nxp","Logic---Schmitt-triggers","74AHC1G17GW","http://www.nxp.com/products/logic/schmitt_triggers/74AHC1G17GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G17.pdf","Production","AHC(T)","single buffer Schmitt-trigger","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","322","90.7","191","5","TSSOP5","SOT353-1"
"nxp","Logic---Schmitt-triggers","74AHCT1G17GF","http://www.nxp.com/products/logic/schmitt_triggers/74AHCT1G17GF.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G17.pdf","Development","AHC(T)","single buffer Schmitt-trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.1","60","1","low","-40~125","251","128.0","","6","XSON6","SOT891"
"nxp","Logic---Schmitt-triggers","74AHCT1G17GM","http://www.nxp.com/products/logic/schmitt_triggers/74AHCT1G17GM.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G17.pdf","Development","AHC(T)","single buffer Schmitt-trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.1","60","1","low","-40~125","251","128.0","","6","XSON6","SOT886"
