"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","VDRM [max]","IT(RMS) [max]","IGT [max] in quadrant 1","IGT [max] in quadrant 2","IGT [max] in quadrant 3","IGT [max] in quadrant 4","ITSM [max] @ 50 Hz","Tj [max]"
"nxp","Thyristors---4-Quadrant Triacs","BT131-600","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131-600.html","http://www.nxp.com/documents/data_sheet/BT131-600.pdf","SOT54","TO-92","Production","600","1","3","3","3","7","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT131-600D","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131-600D.html","http://www.nxp.com/documents/data_sheet/BT131-600D.pdf","SOT54","TO-92","Production","600","1","5","5","5","7","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT131-600E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131-600E.html","http://www.nxp.com/documents/data_sheet/BT131-600E.pdf","SOT54","TO-92","Production","600","1","10","10","10","10","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT131-800","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131-800.html","No full datasheet available","SOT54","TO-92","Production","800","1","3","3","3","7","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT131-800D","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131-800D.html","http://www.nxp.com/documents/data_sheet/BT131-800D.pdf","SOT54","TO-92","Production","800","1","5","5","5","7","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT131-800E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131-800E.html","http://www.nxp.com/documents/data_sheet/BT131-800E.pdf","SOT54","TO-92","Production","800","1","10","10","10","10","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT131W-600","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT131W-600.html","http://www.nxp.com/documents/data_sheet/BT131W-600.pdf","SOT223","SC-73","Production","600","1","3","3","3","7","12.5","125"
"nxp","Thyristors---4-Quadrant Triacs","BT132-600D","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT132-600D.html","http://www.nxp.com/documents/data_sheet/BT132-600D.pdf","SOT54","TO-92","Production","600","1","5","5","5","10","16","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134-600","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134-600.html","http://www.nxp.com/documents/data_sheet/BT134-600.pdf","SOT82","SIP3","Production","600","4","35","35","35","70","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134-600D","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134-600D.html","http://www.nxp.com/documents/data_sheet/BT134-600D.pdf","SOT82","SIP3","Production","600","4","5","5","5","10","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134-600E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134-600E.html","http://www.nxp.com/documents/data_sheet/BT134-600E.pdf","SOT82","SIP3","Production","600","4","10","10","10","25","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134-600G","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134-600G.html","http://www.nxp.com/documents/data_sheet/BT134-600G.pdf","SOT82","SIP3","Production","600","4","50","50","50","100","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134-800","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134-800.html","http://www.nxp.com/documents/data_sheet/BT134-800.pdf","SOT82","SIP3","Production","800","4","35","35","35","70","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134-800E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134-800E.html","http://www.nxp.com/documents/data_sheet/BT134-800E.pdf","SOT82","SIP3","Production","800","4","10","10","10","25","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134W-600","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134W-600.html","http://www.nxp.com/documents/data_sheet/BT134W-600.pdf","SOT223","SC-73","Production","600","1","35","35","35","70","10","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134W-600D","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134W-600D.html","http://www.nxp.com/documents/data_sheet/BT134W-600D.pdf","SOT223","SC-73","Production","600","1","5","5","5","10","10","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134W-600E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134W-600E.html","http://www.nxp.com/documents/data_sheet/BT134W-600E.pdf","SOT223","SC-73","Production","600","1","10","10","10","25","10","125"
"nxp","Thyristors---4-Quadrant Triacs","BT134W-800","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT134W-800.html","http://www.nxp.com/documents/data_sheet/BT134W-800.pdf","SOT223","SC-73","Production","800","1","35","35","35","70","10","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136-600","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136-600.html","http://www.nxp.com/documents/data_sheet/BT136-600.pdf","SOT78","TO-220AB","Production","600","4","35","35","35","70","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136-600D","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136-600D.html","http://www.nxp.com/documents/data_sheet/BT136-600D.pdf","SOT78","TO-220AB","Production","600","4","5","5","5","10","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136-600E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136-600E.html","http://www.nxp.com/documents/data_sheet/BT136-600E.pdf","SOT78","TO-220AB","Production","600","4","10","10","10","25","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136-800E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136-800E.html","http://www.nxp.com/documents/data_sheet/BT136-800E.pdf","SOT78","TO-220AB","Production","800","4","10","10","10","25","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136B-600E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136B-600E.html","http://www.nxp.com/documents/data_sheet/BT136B-600E.pdf","SOT404","D2PAK","Production","600","4","10","10","10","25","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136B-800E","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136B-800E.html","http://www.nxp.com/documents/data_sheet/BT136B-800E.pdf","SOT404","D2PAK","Production","800","4","10","10","10","25","25","125"
"nxp","Thyristors---4-Quadrant Triacs","BT136S-600","http://www.nxp.com/products/thyristors/4_quadrant_triacs/BT136S-600.html","http://www.nxp.com/documents/data_sheet/BT136S-600.pdf","SOT428","DPAK","Production","600","4","35","35","35","70","25","125"
