"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@IC","@VCE","GUM [typ]","@f","@IC","@VCE","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFG403W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFG403W.html","http://www.nxp.com/documents/data_sheet/BFG403W.pdf","SOT343R","CMPAK-4","5th","17","4.5","3.6","16","NPN","22","2000","3","2","22","","","","1","900","1","2","1.6","2000","1","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFG410W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFG410W.html","http://www.nxp.com/documents/data_sheet/BFG410W.pdf","SOT343R","CMPAK-4","5th","22","4.5","12","54","NPN","21","2000","10","2","21","","","","0.9","900","1","2","1.2","2000","1","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFQ18A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFQ18A.html","http://www.nxp.com/documents/data_sheet/BFQ18A_N.pdf","SOT89","SOT89","2nd","4","18","150","1000","NPN","","","","","","","","","","","","","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFS25A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFS25A.html","http://www.nxp.com/documents/data_sheet/BFS25A_CNV.pdf","SOT323","SC-70","2nd","5","5","6.5","32","NPN","13","1000","0.5","1","13","","","","1.8","1000","1","1","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFT25","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFT25.html","http://www.nxp.com/documents/data_sheet/BFT25_CNV.pdf","SOT23","TO-236AB","1st","2.3","5","6.5","30","NPN","18","500","1","1","12","800","1","1","3.8","500","1","1","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFT25A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFT25A.html","http://www.nxp.com/documents/data_sheet/BFT25A.pdf","SOT23","TO-236AB","2nd","5","5","6.5","32","NPN","15","1000","0.5","1","15","","","","1.8","1000","0.5","1","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU520","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU520.html","http://www.nxp.com/documents/data_sheet/BFU520.pdf","SOT143B","SOT143B","5th","10.5","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU520A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU520A.html","http://www.nxp.com/documents/data_sheet/BFU520A.pdf","SOT23","TO-236AB","5th","10","12","30","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU520W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU520W.html","http://www.nxp.com/documents/data_sheet/BFU520W.pdf","SOT323","SC-70","5th","10","12","30","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU520X","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU520X.html","http://www.nxp.com/documents/data_sheet/BFU520X.pdf","SOT143B","SOT143B","5th","10.5","12","30","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU520XR","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU520XR.html","http://www.nxp.com/documents/data_sheet/BFU520XR.pdf","SOT143R","SOT143R","5th","10.5","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU520Y","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU520Y.html","http://www.nxp.com/documents/data_sheet/BFU520Y.pdf","SOT363","TSSOP6","5th","10","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU530","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU530.html","http://www.nxp.com/documents/data_sheet/BFU530.pdf","SOT143B","SOT143B","5th","11","12","40","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU530A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU530A.html","http://www.nxp.com/documents/data_sheet/BFU530A.pdf","SOT23","TO-236AB","5th","11","12","40","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU530W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU530W.html","http://www.nxp.com/documents/data_sheet/BFU530W.pdf","SOT323","SC-70","5th","11","12","40","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU530X","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU530X.html","http://www.nxp.com/documents/data_sheet/BFU530X.pdf","SOT143B","SOT143B","5th","11","12","40","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU530XR","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU530XR.html","http://www.nxp.com/documents/data_sheet/BFU530XR.pdf","SOT143R","SOT143R","5th","11","12","40","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---< 1 GHz (VHF， UHF band)","BFU550","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/lt_1_ghz_vhf_uhf_band/BFU550.html","http://www.nxp.com/documents/data_sheet/BFU550.pdf","SOT143B","SOT143B","5th","11","12","50","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
