"brand","Series","PartNo","DetailLink","dataSheet","Package version"
"nxp","Interface and connectivity---PCI Express---PCIe physical layer (PHY) devices","PX1011B-EL1","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_physical_layer_phy_devices/PX1011B-EL1.html","http://www.nxp.com/documents/data_sheet/PX1011B.pdf","SOT643-1"
"nxp","Interface and connectivity---PCI Express---PCIe physical layer (PHY) devices","PX1011BI-EL1","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_physical_layer_phy_devices/PX1011BI-EL1.html","http://www.nxp.com/documents/data_sheet/PX1011B.pdf","SOT643-1"
