"brand","Series","PartNo","DetailLink","dataSheet","Package version","Operating Temperature","Memory size","No of Addresses","Operating voltage","I2C-bus"
"nxp","Interface and connectivity---I²C---I²C serial EEPROM/RAM","PCA24S08AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_serial_eeprom_ram/PCA24S08AD.html","http://www.nxp.com/documents/data_sheet/PCA24S08A.pdf","SOT96-1","-40~85","8","1","2.5~3.6","400"
"nxp","Interface and connectivity---I²C---I²C serial EEPROM/RAM","PCA24S08ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_serial_eeprom_ram/PCA24S08ADP.html","http://www.nxp.com/documents/data_sheet/PCA24S08A.pdf","SOT505-1","-40~85","8","1","2.5~3.6","400"
"nxp","Interface and connectivity---I²C---I²C serial EEPROM/RAM","PCF8570T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_serial_eeprom_ram/PCF8570T.html","http://www.nxp.com/documents/data_sheet/PCF8570.pdf","SOT176-1","","","","",""
"nxp","Interface and connectivity---I²C---I²C serial EEPROM/RAM","PCF8594C-2T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_serial_eeprom_ram/PCF8594C-2T.html","http://www.nxp.com/documents/data_sheet/PCF8594C_2.pdf","SOT96-1","","","","",""
"nxp","Interface and connectivity---I²C---I²C serial EEPROM/RAM","PCF85103C-2T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_serial_eeprom_ram/PCF85103C-2T.html","http://www.nxp.com/documents/data_sheet/PCF85103C_2.pdf","SOT96-1","","","","",""
