"brand","Series","PartNo","DetailLink","dataSheet","Package version","Application","Configuration","Package material","Function","Operating Temperature","Category"
"nxp","Power management---Lighting driver and controller ICs---Light position controllers","TDA3629","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/light_position_controllers/TDA3629.html","http://www.nxp.com/documents/data_sheet/TDA3629.pdf","SOT97-1","Control Devices","n.a.","DIL8","Microcontrollers","-40 ~ +105","ASIC"
"nxp","Power management---Lighting driver and controller ICs---Light position controllers","TDA3629T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/light_position_controllers/TDA3629T.html","http://www.nxp.com/documents/data_sheet/TDA3629.pdf","SOT109-1","Control Devices","n.a.","SO16","Microcontrollers","-40 ~ +105","ASIC"
