"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","IP4359CX4","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/IP4359CX4.html","http://www.nxp.com/documents/data_sheet/IP4359CX4.pdf","OL-IP4359CX4","WLCSP","0.76 x 0.76 x 0.66","2","Rail-to-Rail","1.3","1.5","5.5","15","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","IP4369CX4","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/IP4369CX4.html","http://www.nxp.com/documents/data_sheet/IP4369CX4.pdf","WLCSP","WLCSP","0.76 x 0.76 x 0.47","2","Rail-to-Rail","0.8","1","5.5","8","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","NUP1301","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/NUP1301.html","http://www.nxp.com/documents/data_sheet/NUP1301.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","1","Unidirectional","0.6","0.75","80","30","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","NUP1301U","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/NUP1301U.html","http://www.nxp.com/documents/data_sheet/NUP1301U.pdf","SOT323","SC-70","2 x 1.25 x 0.95","1","Unidirectional","0.6","0.75","80","30","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD3V3X1BL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD3V3X1BL.html","http://www.nxp.com/documents/data_sheet/PESD3V3X1BL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Bidirectional","1.3","1.6","3.3","9","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F1BL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F1BL.html","http://www.nxp.com/documents/data_sheet/PESD5V0F1BL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Bidirectional","0.4","0.55","5.5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F1BLD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F1BLD.html","http://www.nxp.com/documents/data_sheet/PESD5V0F1BLD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Bidirectional","0.4","0.55","5.5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F1BRLD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F1BRLD.html","http://www.nxp.com/documents/data_sheet/PESD5V0F1BRLD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Bidirectional","0.4","0.55","5.5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F1BRSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F1BRSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0F1BRSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","0.25","0.3","5.5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F5UF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F5UF.html","http://www.nxp.com/documents/data_sheet/PESD5V0F5UF.pdf","SOT886","XSON6","1.45 x 1 x 0.5","5","Unidirectional","0.55","0.7","5","10","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F5UV","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F5UV.html","http://www.nxp.com/documents/data_sheet/PESD5V0F5UV.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","5","Unidirectional","0.55","0.7","5","8","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0X1BCAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0X1BCAL.html","http://www.nxp.com/documents/data_sheet/PESD5V0X1BCAL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","","Bidirectional","0.85","","","15",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0X1BCL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0X1BCL.html","http://www.nxp.com/documents/data_sheet/PESD5V0X1BCL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Bidirectional","0.49","0.6","5.5","8","0.01"
