"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IF","VR","Configuration","VF [max]","IFSM [max]","Cd [max]","IR [max]","Remark"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG045T150EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG045T150EPD.html","http://www.nxp.com/documents/data_sheet/PMEG045T150EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","15","45","single","550@IF=15A","210","800@VR=10V","0,1@VR=45V","Trench technology, Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG045V050EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG045V050EPD.html","http://www.nxp.com/documents/data_sheet/PMEG045V050EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","5","45","single","490@IF=5A","160","580@VR=1V","0,3@VR=45V","Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG045V100EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG045V100EPD.html","http://www.nxp.com/documents/data_sheet/PMEG045V100EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","10","45","single","490@IF=10A","210","1190@VR=1V","0,6@VR=45V","Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG045V150EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG045V150EPD.html","http://www.nxp.com/documents/data_sheet/PMEG045V150EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","15","45","single","490@IF=15A","270","1870@VR=1V","0,9@VR=45V","Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG050T150EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG050T150EPD.html","http://www.nxp.com/documents/data_sheet/PMEG050T150EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","","","","","","","",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG050V150EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG050V150EPD.html","http://www.nxp.com/documents/data_sheet/PMEG050V150EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","15","50","single","500@IF=15A","240","1750@VR=1V","1@VR=50V","Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG060V050EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG060V050EPD.html","http://www.nxp.com/documents/data_sheet/PMEG060V050EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","5","60","single","560@IF=5A","160","510@VR=1V","0,4@VR=60V","Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG060V100EPD","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG060V100EPD.html","http://www.nxp.com/documents/data_sheet/PMEG060V100EPD.pdf","SOT1289","CFP15","5.8 x 4.3 x 0.78","10","60","single","560@IF=10A","210","1050@VR=1V","0,7@VR=60V","Tmax = 175°C"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG1020EA","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG1020EA.html","http://www.nxp.com/documents/data_sheet/PMEG1020EA.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","2","10","single","350@IF=1A","9","45@VR=5V","3@VR=10V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG1020EH","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG1020EH.html","http://www.nxp.com/documents/data_sheet/PMEG1020EH_EJ.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","2","10","single","460@IF=2A","9","50@VR=5V","3@VR=10V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG1020EJ","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG1020EJ.html","http://www.nxp.com/documents/data_sheet/PMEG1020EH_EJ.pdf","SOD323F","SOD323F","1.7 x 1.25 x 0.7","2","10","single","460@IF=2A","9","50@VR=5V","3@VR=10V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG1020EV","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG1020EV.html","http://www.nxp.com/documents/data_sheet/PMEG1020EV.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","2","10","single","350@IF=1A","9","45@VR=5V","3@VR=10V",""
