"brand","Series","PartNo","DetailLink","dataSheet","Package version","frange [min]","frange [max]","@VCC","@ICC [typ]","Grange","Gp [typ] @minimum attenuation","NF  [typ] @minimum attenuation","NF [typ] @maximum attenuation"
"nxp","RF---Amplifiers---Variable gain amplifiers","BGA2031","http://www.nxp.com/products/rf/amplifiers/variable_gain_amplifiers/BGA2031.html","http://www.nxp.com/documents/data_sheet/BGA2031_1.pdf","SOT363","800","2500","3","51","56","23","",""
"nxp","RF---Amplifiers---Variable gain amplifiers","BGA7204","http://www.nxp.com/products/rf/amplifiers/variable_gain_amplifiers/BGA7204.html","http://www.nxp.com/documents/data_sheet/BGA7204.pdf","SOT617-3","400","2750","5","115","30.5","17.5","7",""
"nxp","RF---Amplifiers---Variable gain amplifiers","BGA7210","http://www.nxp.com/products/rf/amplifiers/variable_gain_amplifiers/BGA7210.html","http://www.nxp.com/documents/data_sheet/BGA7210.pdf","SOT617-3","700","3800","5","195","30.5","28","7","28.5"
"nxp","RF---Amplifiers---Variable gain amplifiers","BGA7350","http://www.nxp.com/products/rf/amplifiers/variable_gain_amplifiers/BGA7350.html","http://www.nxp.com/documents/data_sheet/BGA7350.pdf","SOT617-1","50","250","5","245","24","","6","25.2"
"nxp","RF---Amplifiers---Variable gain amplifiers","BGA7351","http://www.nxp.com/products/rf/amplifiers/variable_gain_amplifiers/BGA7351.html","http://www.nxp.com/documents/data_sheet/BGA7351.pdf","SOT617-1","50","500","","280","","","",""
