"brand","Series","PartNo","DetailLink","dataSheet","Package version","VDS [max]","ID [max]","IDS [min]","IDS [max]","VGSth [min]","VGSth [max]","|yfs| [min]","|yfs| [max]","Ciss [typ]","Coss [typ]","NF [typ]","@f","VHF","UHF"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF904","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF904.html","http://www.nxp.com/documents/data_sheet/BF904_904R_N.pdf","SOT143B","7","30","8","13","0.3","1","22","30","2.2","1.3","2","800","Y; Y","Y; Y"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF908","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF908.html","http://www.nxp.com/documents/data_sheet/BF908-R_N.pdf","SOT143B","12","40","3","27","","-2","36","50","3.1","1.7","1.5","800","Y; Y","Y; Y"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF908R","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF908R.html","http://www.nxp.com/documents/data_sheet/BF908-R_N.pdf","SOT143R","12","40","3","27","","-2","36","50","3.1","1.7","1.5","800","Y; Y","Y; Y"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF908WR","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF908WR.html","http://www.nxp.com/documents/data_sheet/BF908WR.pdf","SOT343R","12","40","3","27","","-2","36","50","3.1","1.7","1.5","800","Y; Y","Y; Y"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF991","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF991.html","http://www.nxp.com/documents/data_sheet/BF991_N.pdf","SOT143B","20","20","4","25","","-2.5","10","","2.1","1.1","1","200","Y; Y","N; N"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF992","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF992.html","http://www.nxp.com/documents/data_sheet/BF992_N.pdf","SOT143B","20","40","","","","-1.3","20","","4","2","1.2","200","Y; Y","N; N"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF994S","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF994S.html","http://www.nxp.com/documents/data_sheet/BF994S.pdf","SOT143B","20","30","4","20","","-2.5","15","","2.5","1","1","200","Y; Y","N; N"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF996S","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF996S.html","http://www.nxp.com/documents/data_sheet/BF996S.pdf","SOT143B","20","30","4","20","","-2.5","15","","2.3","0.8","1.8","800","N; N","Y; Y"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， dual-gate MOSFETs","BF1105R","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_dual_gate_mosfets/BF1105R.html","http://www.nxp.com/documents/data_sheet/BF1105_R_WR.pdf","SOT143R","7","30","8","16","0.3","1.2","25","","2.2","1.2","1.7","800","Y; Y","Y; Y"
