"brand","Series","PartNo","DetailLink","dataSheet","Package version","Rise/fall time","Standby current","Operating Temperature","Data transfer rate","Operating frequency","RGB Output","Crystal oscillator","Output voltage (black-to-white) Vp-p typ","Supply current","Pixel frequency","Inputs","Outputs","Application"
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL04DP211BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL04DP211BS.html","http://www.nxp.com/documents/data_sheet/CBTL04DP211.pdf","SOT1185-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL04GP043EX","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL04GP043EX.html","http://www.nxp.com/documents/data_sheet/CBTL04GP043.pdf","","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL06DP211EE","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL06DP211EE.html","http://www.nxp.com/documents/data_sheet/CBTL06DP211.pdf","SOT918-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL06DP212EE","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL06DP212EE.html","http://www.nxp.com/documents/data_sheet/CBTL06DP212.pdf","SOT918-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL06DP213EE","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL06DP213EE.html","http://www.nxp.com/documents/data_sheet/CBTL06DP213.pdf","SOT918-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL06GP213EE","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL06GP213EE.html","http://www.nxp.com/documents/data_sheet/CBTL06GP213.pdf","SOT1345-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL08GP053EV","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL08GP053EV.html","No full datasheet available","","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL01023GM","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL01023GM.html","http://www.nxp.com/documents/data_sheet/CBTL01023.pdf","SOT1049-3","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL05023BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL05023BS.html","http://www.nxp.com/documents/data_sheet/CBTL05023.pdf","SOT905-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","CBTL06141EE","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/CBTL06141EE.html","http://www.nxp.com/documents/data_sheet/CBTL06141.pdf","SOT918-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3310D","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3310D.html","http://www.nxp.com/documents/data_sheet/PTN3310_PTN3311.pdf","SOT96-1","200","","-40~+85","1500","750","","","","","","1 x LVDS","1 x Differential PECL","high-speed serial logic translation"
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3355BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3355BS.html","http://www.nxp.com/documents/data_sheet/PTN3355.pdf","SOT618-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3356R1BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3356R1BS.html","http://www.nxp.com/documents/data_sheet/PTN3356R1.pdf","SOT617-3","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3360ABS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3360ABS.html","http://www.nxp.com/documents/data_sheet/PTN3360A.pdf","SOT619-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3360BBS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3360BBS.html","http://www.nxp.com/documents/data_sheet/PTN3360B.pdf","SOT619-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3360DBS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3360DBS.html","http://www.nxp.com/documents/data_sheet/PTN3360D.pdf","SOT619-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3361BBS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3361BBS.html","http://www.nxp.com/documents/data_sheet/PTN3361B.pdf","SOT619-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3361CBS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3361CBS.html","http://www.nxp.com/documents/data_sheet/PTN3361C.pdf","SOT617-3","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3363BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3363BS.html","http://www.nxp.com/documents/data_sheet/PTN3363.pdf","SOT617-3","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3365BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3365BS.html","http://www.nxp.com/documents/data_sheet/PTN3365.pdf","SOT617-3","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3366BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3366BS.html","http://www.nxp.com/documents/data_sheet/PTN3366.pdf","SOT617-3","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3381BBS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3381BBS.html","http://www.nxp.com/documents/data_sheet/PTN3381B.pdf","SOT619-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3381DBS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3381DBS.html","http://www.nxp.com/documents/data_sheet/PTN3381D.pdf","SOT619-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3392BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3392BS.html","http://www.nxp.com/documents/data_sheet/PTN3392.pdf","SOT619-1","","5","","5400","","8-bit per component","27 MHz","0.7","150","240","2-lane DisplayPort with AUX channel","",""
"nxp","Interface and connectivity---DisplayPort---High-speed multiplexer","PTN3393BS","http://www.nxp.com/products/interface_and_connectivity/displayport/high_speed_multiplexer/PTN3393BS.html","http://www.nxp.com/documents/data_sheet/PTN3393.pdf","SOT618-6","","","","","","","","","","","","",""
