"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","hFE max","fT min","Ptot max","IC max","VCEO max","Polarity"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium frequency transistors---PNP","BF550","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_frequency_transistors/pnp/BF550.html","http://www.nxp.com/documents/data_sheet/BF550.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","50",">50","325","250","25","40","PNP"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium frequency transistors---PNP","BF824","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_frequency_transistors/pnp/BF824.html","http://www.nxp.com/documents/data_sheet/BF824.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","25",">50","450","250","25","30","PNP"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium frequency transistors---PNP","BF824W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_frequency_transistors/pnp/BF824W.html","http://www.nxp.com/documents/data_sheet/BF824W.pdf","","","","25",">25","400","200","25","30","PNP"
