"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Digital multiplexers","74AHC157BQ","http://www.nxp.com/products/logic/digital_multiplexers/74AHC157BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT157.pdf","Production","AHC(T)","quad 2-input multiplexer","2.0 - 5.5","CMOS","+/- 8","3.2","low","","91","12.7","60","16","DHVQFN16","SOT763-1"
"nxp","Logic---Digital multiplexers","74AHC157D","http://www.nxp.com/products/logic/digital_multiplexers/74AHC157D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT157.pdf","Production","AHC(T)","quad 2-input multiplexer","2.0 - 5.5","CMOS","+/- 8","3.2","low","-40~125","91","8.9","50","16","SO16","SOT109-1"
"nxp","Logic---Digital multiplexers","74AHC157PW","http://www.nxp.com/products/logic/digital_multiplexers/74AHC157PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT157.pdf","Production","AHC(T)","quad 2-input multiplexer","2.0 - 5.5","CMOS","+/- 8","3.2","low","-40~125","123","4.21663473053892","52.9579640718563","16","TSSOP16","SOT403-1"
"nxp","Logic---Digital multiplexers","74AHCT157BQ","http://www.nxp.com/products/logic/digital_multiplexers/74AHCT157BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT157.pdf","Production","AHC(T)","quad 2-input multiplexer; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.2","low","-40~125","91","12.7","60","16","DHVQFN16","SOT763-1"
"nxp","Logic---Digital multiplexers","74AHCT157D","http://www.nxp.com/products/logic/digital_multiplexers/74AHCT157D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT157.pdf","Production","AHC(T)","quad 2-input multiplexer; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.2","low","-40~125","91","8.9","50","16","SO16","SOT109-1"
"nxp","Logic---Digital multiplexers","74AHCT157PW","http://www.nxp.com/products/logic/digital_multiplexers/74AHCT157PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT157.pdf","Production","AHC(T)","quad 2-input multiplexer; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.2","low","-40~125","123","4.21663473053892","52.9579640718563","16","TSSOP16","SOT403-1"
"nxp","Logic---Digital multiplexers","74AHC257D","http://www.nxp.com/products/logic/digital_multiplexers/74AHC257D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT257.pdf","Production","AHC(T)","quad 2-input multiplexer (3-State)","2.0 - 5.5","CMOS","+/- 8","2.9","low","-40~125","94","10.3","53","16","SO16","SOT109-1"
"nxp","Logic---Digital multiplexers","74AHC257PW","http://www.nxp.com/products/logic/digital_multiplexers/74AHC257PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT257.pdf","Production","AHC(T)","quad 2-input multiplexer (3-State)","2.0 - 5.5","CMOS","+/- 8","2.9","low","-40~125","126","4.89948502994012","56.2846706586826","16","TSSOP16","SOT403-1"
"nxp","Logic---Digital multiplexers","74AHCT257D","http://www.nxp.com/products/logic/digital_multiplexers/74AHCT257D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT257.pdf","Production","AHC(T)","quad 2-input multiplexer; TTL enabled (3-State)","4.5 - 5.5","TTL","+/- 8","3.7","low","-40~125","93","9.7","52","16","SO16","SOT109-1"
"nxp","Logic---Digital multiplexers","74AHCT257PW","http://www.nxp.com/products/logic/digital_multiplexers/74AHCT257PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT257.pdf","Production","AHC(T)","quad 2-input multiplexer; TTL enabled (3-State)","4.5 - 5.5","TTL","+/- 8","3.7","low","-40~125","125","4.61784431137725","54.9125748502994","16","TSSOP16","SOT403-1"
