"brand","Series","PartNo","DetailLink","dataSheet","Package version"
"nxp","Interface and connectivity---Analog watch motor drivers","PCA1462U","http://www.nxp.com/products/interface_and_connectivity/analog_watch_motor_drivers/PCA1462U.html","http://www.nxp.com/documents/data_sheet/PCA146X.pdf","NAU000"
"nxp","Interface and connectivity---Analog watch motor drivers","PCA2000U","http://www.nxp.com/products/interface_and_connectivity/analog_watch_motor_drivers/PCA2000U.html","http://www.nxp.com/documents/data_sheet/PCA2000_2001.pdf","NAU000"
"nxp","Interface and connectivity---Analog watch motor drivers","PCA2001U","http://www.nxp.com/products/interface_and_connectivity/analog_watch_motor_drivers/PCA2001U.html","http://www.nxp.com/documents/data_sheet/PCA2000_2001.pdf","NAU000"
"nxp","Interface and connectivity---Analog watch motor drivers","PCA2002U","http://www.nxp.com/products/interface_and_connectivity/analog_watch_motor_drivers/PCA2002U.html","http://www.nxp.com/documents/data_sheet/PCA2002.pdf","NAU000"
"nxp","Interface and connectivity---Analog watch motor drivers","PCA2003U","http://www.nxp.com/products/interface_and_connectivity/analog_watch_motor_drivers/PCA2003U.html","http://www.nxp.com/documents/data_sheet/PCA2003.pdf","NAU000"
"nxp","Interface and connectivity---Analog watch motor drivers","PCF2003DUS","http://www.nxp.com/products/interface_and_connectivity/analog_watch_motor_drivers/PCF2003DUS.html","http://www.nxp.com/documents/data_sheet/PCF2003.pdf",""
