"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","Product description","Input formats","Output formats","Control Interface","VP [min - max]","T[min] - [max]","Resolution [max]","Sampling rate [min] - [max]","Power dissipation [Typ]","DAC SNo [Typ]","Remarks"
"nxp","Data converters---Audio converters---Audio DACs","UDA1330ATS","http://www.nxp.com/products/data_converters/audio_converters/audio_dacs/UDA1330ATS.html","http://www.nxp.com/documents/data_sheet/UDA1330ATS.pdf","SOT369-1","SSOP16","Production","Stereo audio DAC (with 5 V Vdd support and volume control)","I2S","Analog","L3, Static","2.7 - 5.5","-40 - +85","20","8/1/1955","33","100","Digital logarithmic volume control"
"nxp","Data converters---Audio converters---Audio DACs","UDA1334ATS","http://www.nxp.com/products/data_converters/audio_converters/audio_dacs/UDA1334ATS.html","http://www.nxp.com/documents/data_sheet/UDA1334ATS.pdf","SOT369-1","SSOP16","Production","Low power stereo audio DAC including WordSelect PLL","I2S","Analog","","2.4 - 3.6","-40 - +85","24","16 - 100","18","100","WordSelect PLL is used to generate the systemclock: no need to route systemclock to the IC. Has video mode supporting 27 MHz input clocks"
"nxp","Data converters---Audio converters---Audio DACs","UDA1334BTS","http://www.nxp.com/products/data_converters/audio_converters/audio_dacs/UDA1334BTS.html","http://www.nxp.com/documents/data_sheet/UDA1334BTS.pdf","SOT369-1","SSOP16","Production","Low power stereo audio DAC (with lower Vdd support)","I2S","Analog","","1.8 - 3.6","-40 - +85","24","8 - 100","7.4","97",""
