"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","Ptot [max]","fT min","Polarity","IC max","VCEO max","Ptot max","Complement","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","hFE max"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD602AQL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD602AQL.html","http://www.nxp.com/documents/data_sheet/2PD602AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD602ARL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD602ARL.html","http://www.nxp.com/documents/data_sheet/2PD602AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD602ASL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD602ASL.html","http://www.nxp.com/documents/data_sheet/2PD602AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD1820AR","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD1820AR.html","http://www.nxp.com/documents/data_sheet/2PD1820A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","2PB1219AR","500","NPN","200","50","150","240","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD1820AS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD1820AS.html","http://www.nxp.com/documents/data_sheet/2PD1820A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","170","","150","NPN","500","50","200","2PB1219AS","","","","","","","","","","","","","","","","340"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","160","","100","NPN","500","45","370","BC807DS","","","","","","","","","","","","","","","","400"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-16","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-16.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","","100","NPN","500","45","250","BC807-16","","","","","","","","","","","","","","","","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-16W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-16W.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","","100","NPN","500","45","200","BC807-16W","","","","","","","","","","","","","","","","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-25","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-25.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","160","","100","NPN","500","45","250","BC807-25","","","","","","","","","","","","","","","","400"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-25QA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-25QA.html","http://www.nxp.com/documents/data_sheet/BC817-25QA_40QA.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-25W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-25W.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT323","SC-70","2 x 1.25 x 0.95","160","","100","NPN","500","45","200","BC807-25W","","","","","","","","","","","","","","","","400"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC817-40","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC817-40.html","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","250","","100","NPN","500","45","250","BC807-40","","","","","","","","","","","","","","","","600"
