"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@IC","@VCE","GUM [typ]","@f","@IC","@VCE","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---Oscillators---3.5 GHz -> 6 GHz (S， C band)","BFU660F","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/3_5_ghz_gt_6_ghz_s_c_band/BFU660F.html","http://www.nxp.com/documents/data_sheet/BFU660F.pdf","SOT343F","DFP4","6th","21","5.5","60","225","NPN","","","","","","","","","0.6","1.5","6","2","1.2","5.8","6","2"
"nxp","RF---Transistors---Bipolar---Oscillators---3.5 GHz -> 6 GHz (S， C band)","BFU690F","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/3_5_ghz_gt_6_ghz_s_c_band/BFU690F.html","http://www.nxp.com/documents/data_sheet/BFU690F.pdf","SOT343F","DFP4","6th","18","5.5","100","490","NPN","","","","","","","","","0.6","1.5","15","2","0.7","2.4","15","2"
"nxp","RF---Transistors---Bipolar---Oscillators---3.5 GHz -> 6 GHz (S， C band)","PBR941","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/3_5_ghz_gt_6_ghz_s_c_band/PBR941.html","http://www.nxp.com/documents/data_sheet/PBR941.pdf","SOT23","TO-236AB","4th","8","10","50","360","NPN","15","1000","15","6","9.5","2000","15","6","1.4","1000","5","6","2","2000","5","6"
"nxp","RF---Transistors---Bipolar---Oscillators---3.5 GHz -> 6 GHz (S， C band)","PBR941B","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/3_5_ghz_gt_6_ghz_s_c_band/PBR941B.html","http://www.nxp.com/documents/data_sheet/PBR941B_N.pdf","SOT23","TO-236AB","4th","9","10","50","360","NPN","16","1000","15","6","10","2000","15","6","1.5","1000","5","6","2.1","2000","5","6"
"nxp","RF---Transistors---Bipolar---Oscillators---3.5 GHz -> 6 GHz (S， C band)","PRF947","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/3_5_ghz_gt_6_ghz_s_c_band/PRF947.html","http://www.nxp.com/documents/data_sheet/PRF947.pdf","SOT323","SC-70","4th","8.5","10","50","250","NPN","16","1000","15","6","10","2000","15","6","1.5","1000","5","6","2.1","2000","5","6"
