"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Parity generators/checkers","74HC280D","http://www.nxp.com/products/logic/parity_generators_checkers/74HC280D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT280_CNV.pdf","Production","HC(T)","9-bit odd/even parity generator/checker","2.0 - 6.0","CMOS","+/- 5.2","17","low","-40~125","73","1.0","30","14","SO14","SOT108-1"
"nxp","Logic---Parity generators/checkers","74HCT280D","http://www.nxp.com/products/logic/parity_generators_checkers/74HCT280D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT280_CNV.pdf","Production","HC(T)","9-bit odd/even parity generator/checker; TTL enabled","4.5 - 5.5","TTL","+/- 4","18","low","-40~125","76","1.0","34","14","SO14","SOT108-1"
"nxp","Logic---Parity generators/checkers","74HCT280DB","http://www.nxp.com/products/logic/parity_generators_checkers/74HCT280DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT280_CNV.pdf","Production","HC(T)","9-bit odd/even parity generator/checker; TTL enabled","4.5 - 5.5","TTL","+/- 4","18","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
