"brand","Series","PartNo","DetailLink","dataSheet","Product status","Description","VCC","Logic switching levels","Output drive capability","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Printer interfaces","PDI1284P11DGG","http://www.nxp.com/products/logic/printer_interfaces/PDI1284P11DGG.html","http://www.nxp.com/documents/data_sheet/PDI1284P11.pdf","Production","parallel interface transceiver/buffer","3.0 - 3.6","LVTTL","- 14 / 14","13.9","low","0~70","82","1.9","36","48","TSSOP48","SOT362-1"
"nxp","Logic---Printer interfaces","PDI1284P11DL","http://www.nxp.com/products/logic/printer_interfaces/PDI1284P11DL.html","http://www.nxp.com/documents/data_sheet/PDI1284P11.pdf","Production","parallel interface transceiver/buffer","3.0 - 3.6","LVTTL","- 14 / 14","13.9","low","0~70","88","25.0","","48","SSOP48","SOT370-1"
