"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","VR [max]","IF [max]","IFSM [max]","Configuration","VF [max]","Cd [max]","IR [max]","IR [max]"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS70SB46","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS70SB46.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","40","120","0.2","dual c.a.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS76SB40","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS76SB40.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","40","120","0.2","single","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS79SB40","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS79SB40.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","40","120","0.2","single","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS88SB48","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS88SB48.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","40","120","0.2","quad c.c./c.c.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","120","0.2","single","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-04","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-04.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","120","0.2","dual series","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-04W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-04W.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","40","120","0.2","dual series","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-05","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-05.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","120","0.2","dual c.c.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-05V","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-05V.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","40","120","0.2","dual c.c.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-05W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-05W.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","40","120","0.2","dual c.c.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-06","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-06.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","120","0.2","dual c.a.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-06W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-06W.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","40","120","0.2","dual c.a.","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-07","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-07.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","40","120","0.2","dual isolated","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40-07V","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40-07V.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","40","120","0.2","dual isolated","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40H","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40H.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","40","120","0.2","single","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40L","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40L.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","40","120","0.2","single","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40W.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","40","120","0.2","single","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS40XY","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS40XY.html","http://www.nxp.com/documents/data_sheet/BAS40_1PSXXSB4X_SER.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","40","120","0.2","quad 2x series","500@IF=10mA","5@VR=0V","0.01@VR=40V","1@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS76SB70","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS76SB70.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","70","70","0.1","single","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS79SB70","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS79SB70.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","70","70","0.1","single","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","70","70","0.1","single","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-04","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-04.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","70","70","0.1","dual series","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-04W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-04W.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","70","70","0.1","dual series","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-05","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-05.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","70","70","0.1","dual c.c.","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-05W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-05W.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","70","70","0.1","dual c.c.","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-06","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-06.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","70","70","0.1","dual c.a.","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-06W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-06W.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","70","70","0.1","dual c.a.","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-07","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-07.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","70","70","0.1","dual isolated","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-07S","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-07S.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","70","70","0.1","dual isolated","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70-07V","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70-07V.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","70","70","0.1","dual isolated","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70H","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70H.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","70","70","0.1","single","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70L","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70L.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","70","70","0.1","single","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70VV","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70VV.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","70","70","0.1","triple isolated","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70W","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70W.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","70","70","0.1","single","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS70XY","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS70XY.html","http://www.nxp.com/documents/data_sheet/BAS70_1PS7XSB70_SER.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","70","70","0.1","quad 2x series","750@IF=10mA","2@VR=0V","0.01@VR=70V","0.1@VR=50V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS85","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS85.html","http://www.nxp.com/documents/data_sheet/BAS85.pdf","SOD80C","LLDS; MiniMelf","3.5 x 1.5","30","200","0.3","single","400@IF=10mA","10@VR=1V","","2.3@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAS86","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAS86.html","http://www.nxp.com/documents/data_sheet/BAS86.pdf","SOD80C","LLDS; MiniMelf","3.5 x 1.5","50","200","5","single","450@IF=10mA","8@VR=1V","","5@VR=40V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54.html","http://www.nxp.com/documents/data_sheet/BAT54_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54A","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54A.html","http://www.nxp.com/documents/data_sheet/BAT54_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","30","200","0.6","dual c.a.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54C","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54C.html","http://www.nxp.com/documents/data_sheet/BAT54_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","30","200","0.6","dual c.c.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54S","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54S.html","http://www.nxp.com/documents/data_sheet/BAT54_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","30","200","0.6","dual series","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT54CM","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT54CM.html","http://www.nxp.com/documents/data_sheet/BAT54CM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
