"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","Ptot [max]"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","2PB710ASL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/2PB710ASL.html","http://www.nxp.com/documents/data_sheet/2PB710AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","2PB1219AQ","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/2PB1219AQ.html","http://www.nxp.com/documents/data_sheet/2PB1219A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","2PD1820AQ","500","PNP","250","50","100","170","85","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","2PB1219AR","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/2PB1219AR.html","http://www.nxp.com/documents/data_sheet/2PB1219A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","2PD1820AR","500","PNP","250","50","120","240","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","2PB1219AS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/2PB1219AS.html","http://www.nxp.com/documents/data_sheet/2PB1219A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","2PD1820AS","500","PNP","250","50","140","340","170","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-25QA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-25QA.html","http://www.nxp.com/documents/data_sheet/BC807-25QA_40QA.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-40QA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-40QA.html","http://www.nxp.com/documents/data_sheet/BC807-25QA_40QA.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC817","500","PNP","250","45","80","600","100","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-16","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-16.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC817-16","500","PNP","250","45","80","250","100","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-16W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-16W.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC817-16W","500","PNP","200","45","80","250","100","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-25","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-25.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC817-25","500","PNP","250","45","80","400","160","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-25W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-25W.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC817-25W","500","PNP","200","45","80","400","160","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-40","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-40.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC817-40","500","PNP","250","45","80","600","250","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807-40W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807-40W.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC817-40W","500","PNP","200","45","80","600","250","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC807W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC807W.html","http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf","SOT323","SC-70","2 x 1.25 x 0.95","BC817W","500","PNP","200","45","80","600","100","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC846","100","PNP","250","65","100","475","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856A.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC846A","100","PNP","250","65","100","250","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC856B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC856B.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC846B","100","PNP","250","65","100","475","220","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC847","100","PNP","250","45","100","800","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857A.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC847A","100","PNP","250","45","100","250","125","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors PNP","BC857B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_pnp/BC857B.html","http://www.nxp.com/documents/data_sheet/BC856_BC857_BC858.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BC847B","100","PNP","250","45","100","475","220","","","","","","","",""
