"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD5Z12","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD5Z12.html","http://www.nxp.com/documents/data_sheet/PESD5ZX_SER.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","35","75","12","30","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD12VS1ULD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD12VS1ULD.html","http://www.nxp.com/documents/data_sheet/PESD12VS1ULD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Unidirectional","38","75","12","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD12VV1BL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD12VV1BL.html","http://www.nxp.com/documents/data_sheet/PESD12VV1BL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Bidirectional","17","25","12","30","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD15VS1ULD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD15VS1ULD.html","http://www.nxp.com/documents/data_sheet/PESD15VS1ULD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Unidirectional","32","70","15","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD24VS1UA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD24VS1UA.html","http://www.nxp.com/documents/data_sheet/PESD24VS1UA.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Unidirectional","23","50","24","23","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD24VS1ULD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD24VS1ULD.html","http://www.nxp.com/documents/data_sheet/PESD24VS1ULD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Unidirectional","23","50","24","23","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD36VS1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD36VS1UL.html","http://www.nxp.com/documents/data_sheet/PESD36VS1UL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","18","30","36","30","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD36VS2UT","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD36VS2UT.html","http://www.nxp.com/documents/data_sheet/PESD36VS2UT.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","2","Unidirectional","17","35","36","30","1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD3V3S1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD3V3S1UB.html","http://www.nxp.com/documents/data_sheet/PESDXS1UB_SERIES.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","207","300","3.3","30","2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD5V0S1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD5V0S1UB.html","http://www.nxp.com/documents/data_sheet/PESDXS1UB_SERIES.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","152","200","5","30","1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD12VS1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD12VS1UB.html","http://www.nxp.com/documents/data_sheet/PESDXS1UB_SERIES.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","38","75","12","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD15VS1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD15VS1UB.html","http://www.nxp.com/documents/data_sheet/PESDXS1UB_SERIES.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","32","70","15","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD24VS1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD24VS1UB.html","http://www.nxp.com/documents/data_sheet/PESDXS1UB_SERIES.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","23","50","24","23","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD3V3S1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD3V3S1UL.html","http://www.nxp.com/documents/data_sheet/PESDXS1UL_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","207","300","3.3","30","2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD5V0S1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD5V0S1UL.html","http://www.nxp.com/documents/data_sheet/PESDXS1UL_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","152","200","5","30","1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD12VS1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD12VS1UL.html","http://www.nxp.com/documents/data_sheet/PESDXS1UL_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","38","75","12","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD15VS1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD15VS1UL.html","http://www.nxp.com/documents/data_sheet/PESDXS1UL_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","32","70","15","30","0.05"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD24VS1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD24VS1UL.html","http://www.nxp.com/documents/data_sheet/PESDXS1UL_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","23","50","24","23","0.05"
