"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","hFE max","fT min","Polarity","Complement","IC max","VCES max","Ptot max","toff"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BCV27","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BCV27.html","http://www.nxp.com/documents/data_sheet/BCV27_BCV47.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","20000",">20000","220","NPN","BCV26","500","30","250",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BCV47","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BCV47.html","http://www.nxp.com/documents/data_sheet/BCV27_BCV47.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","10000",">10000","220","NPN","BCV46","500","60","250",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BCV29","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BCV29.html","http://www.nxp.com/documents/data_sheet/BCV29_49.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","20000",">20000","220","NPN","BCV28","500","30","1300",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BCV49","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BCV49.html","http://www.nxp.com/documents/data_sheet/BCV29_49.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","10000",">10000","220","NPN","BCV48","500","60","1300",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BSP50","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BSP50.html","http://www.nxp.com/documents/data_sheet/BSP50_51_52.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","2000",">2000","200","NPN","BSP60","1000","45","1250","1300"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BSP51","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BSP51.html","http://www.nxp.com/documents/data_sheet/BSP50_51_52.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","2000",">2000","200","NPN","BSP61","1000","60","1250","1300"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BSP52","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BSP52.html","http://www.nxp.com/documents/data_sheet/BSP50_51_52.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","2000",">2000","200","NPN","BSP62","1000","80","1250","1300"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BST50","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BST50.html","http://www.nxp.com/documents/data_sheet/BST50_51_52.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","2000",">2000","200","NPN","BST60","500","45","1300","1500"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BST51","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BST51.html","http://www.nxp.com/documents/data_sheet/BST50_51_52.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","2000",">2000","200","NPN","BST61","500","60","1300","1500"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","BST52","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/BST52.html","http://www.nxp.com/documents/data_sheet/BST50_51_52.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","2000",">2000","200","NPN","BST62","500","80","1300","1500"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","PMBTA13","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/PMBTA13.html","http://www.nxp.com/documents/data_sheet/PMBTA13_PMBTA14.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","5000",">5000","125","NPN","","500","30","250",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","PMBTA14","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/PMBTA14.html","http://www.nxp.com/documents/data_sheet/PMBTA13_PMBTA14.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","10000",">10000","125","NPN","PMBTA64","500","30","250",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","PXTA14","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/PXTA14.html","http://www.nxp.com/documents/data_sheet/PXTA14.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","20000",">20000","125","NPN","","500","30","1300",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---NPN","PZTA14","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/npn/PZTA14.html","http://www.nxp.com/documents/data_sheet/PZTA14.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","10000",">10000","125","NPN","","500","30","1250",""
