"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---Oscillators---6 GHz -> 12 GHz (X， Ku low band)","BFU660F","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/6_ghz_gt_12_ghz_x_ku_low_band/BFU660F.html","http://www.nxp.com/documents/data_sheet/BFU660F.pdf","SOT343F","DFP4","6th","21","5.5","60","225","NPN","0.6","1.5","6","2","1.2","5.8","6","2"
"nxp","RF---Transistors---Bipolar---Oscillators---6 GHz -> 12 GHz (X， Ku low band)","BFU690F","http://www.nxp.com/products/rf/transistors/bipolar/oscillators/6_ghz_gt_12_ghz_x_ku_low_band/BFU690F.html","http://www.nxp.com/documents/data_sheet/BFU690F.pdf","SOT343F","DFP4","6th","18","5.5","100","490","NPN","0.6","1.5","15","2","0.7","2.4","15","2"
