"brand","Series","PartNo","DetailLink","dataSheet","Package version","@VCC [min]","@VCC [max]","@ICC [typ]","Gp [typ]","NF [typ]","Pi(1dB) [min]","Pi(1dB) [typ]","IP3i [min]","IP3i [typ]","@VCC","Pi(1dB) [typ]","IP3i [typ]","@VCC","Pi(1dB) [min]","Pi(1dB) [typ]","IP3i [min]","IP3i [typ]","@VCC","@f"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU7003","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU7003.html","http://www.nxp.com/documents/data_sheet/BGU7003.pdf","SOT891","2.2","2.85","5","18","0.85","","","","","","-180","-60","2.5","","","","","","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU7003W","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU7003W.html","http://www.nxp.com/documents/data_sheet/BGU7003W.pdf","SOT886","2.2","2.85","","13","1.2","","","","","","-230","","","","-230","","-150","2.85","100"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU7004","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU7004.html","http://www.nxp.com/documents/data_sheet/BGU7004.pdf","SOT886","1.5","2.85","4.5","16.5","0.85","-150","-120","50","80","1.5","-120","","","-150","-120","50","80","1.5","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU7005","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU7005.html","http://www.nxp.com/documents/data_sheet/BGU7005.pdf","SOT886","1.5","3.1","4.5","16.5","0.85","-150","-120","50","90","1.8","-120","","","-150","-120","50","90","1.8","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU7007","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU7007.html","http://www.nxp.com/documents/data_sheet/BGU7007.pdf","SOT886","1.5","3.1","4.8","18.5","0.85","-160","-130","10","40","1.5","-130","","","","","10","40","1.5","1559"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU7008","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU7008.html","http://www.nxp.com/documents/data_sheet/BGU7008.pdf","SOT886","1.5","2.85","","18.5","0.85","-160","-130","10","40","1.5","-130","","","-160","-130","10","40","1.5","1559"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8004","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8004.html","http://www.nxp.com/documents/data_sheet/BGU8004.pdf","OL-BGU8004","1.5","3.1","","19","0.6","","-100","","40","1.8","-100","","","","","","","","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8006","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8006.html","http://www.nxp.com/documents/data_sheet/BGU8006.pdf","OL-BGU8006","1.5","3.1","","17.2","0.6","","","","","","-75","","","","-75","","","","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8007","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8007.html","http://www.nxp.com/documents/data_sheet/BGU8007.pdf","SOT886","1.5","2.5","4.6","19","0.75","-150","-120","10","40","1.5","-120","","","","","","","","1559"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8009","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8009.html","http://www.nxp.com/documents/data_sheet/BGU8009.pdf","SOT1230","1.5","3.1","","17.8","0.65","","","","30","1.8","","","","","","","30","1.8","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8010","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8010.html","http://www.nxp.com/documents/data_sheet/BGU8010.pdf","SOT1230","1.5","3.1","","16.1","0.85","","","","","","-90","","","","-90","","","","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8011","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8011.html","http://www.nxp.com/documents/data_sheet/BGU8011.pdf","SOT1230","1.5","3.1","","16.3","0.65","","","","","","-50","","","","-50","","70","2.85","1575"
"nxp","RF---Amplifiers---LNAs---LNAs for portable devices","BGU8019","http://www.nxp.com/products/rf/amplifiers/lnas/lnas_for_portable_devices/BGU8019.html","http://www.nxp.com/documents/data_sheet/BGU8019.pdf","SOT1232","1.5","3.1","","18.5","0.55","","","","","","-70","","","","-70","","","","1575"
