"brand","Series","PartNo","DetailLink","dataSheet","Package version","Application","Function","Clock type","Number of pins","Operating Temperature"
"nxp","Interface and connectivity---Clocks with LCD drivers","PCF1175CT","http://www.nxp.com/products/interface_and_connectivity/clocks_with_lcd_drivers/PCF1175CT.html","http://www.nxp.com/documents/data_sheet/PCF1175C.pdf","SOT136-1","","","","",""
"nxp","Interface and connectivity---Clocks with LCD drivers","PCF1179CT","http://www.nxp.com/products/interface_and_connectivity/clocks_with_lcd_drivers/PCF1179CT.html","http://www.nxp.com/documents/data_sheet/PCF1179C.pdf","SOT136-1","CMOS ICs for Clocks, Watches and Real Time Clocks","Clocks","4-digit duplex LCD Car Clock","28","-40~85"
