"brand","Series","PartNo","DetailLink","dataSheet","Package version","VDS [max]","ID [max]","VSG [max]","RDSon [max]","|S21on|<sup>2</sup> [max]","|S21off|<sup>2</sup> [min]"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1107","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1107.html","http://www.nxp.com/documents/data_sheet/BF1107.pdf","SOT23","3","10","7","20","2.5","30"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1108","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1108.html","http://www.nxp.com/documents/data_sheet/BF1108_BF1108R.pdf","SOT143B","3","10","7","20","3","30"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1108R","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1108R.html","http://www.nxp.com/documents/data_sheet/BF1108_BF1108R.pdf","SOT143R","3","10","7","20","3","30"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1118","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1118.html","http://www.nxp.com/documents/data_sheet/BF1118_1118R_1118W_1118WR.pdf","SOT143B","3","10","7","23.3","2.5","30"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1118R","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1118R.html","http://www.nxp.com/documents/data_sheet/BF1118_1118R_1118W_1118WR.pdf","SOT143R","3","10","7","23.3","2.5","30"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1118W","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1118W.html","http://www.nxp.com/documents/data_sheet/BF1118_1118R_1118W_1118WR.pdf","SOT343N","3","10","7","23.3","2.5","30"
"nxp","RF---Transistors---MOSFET---MOSFETs---N-channel， single MOSFETs for switching","BF1118WR","http://www.nxp.com/products/rf/transistors/mosfet/mosfets/n_channel_single_mosfets_for_switching/BF1118WR.html","http://www.nxp.com/documents/data_sheet/BF1118_1118R_1118W_1118WR.pdf","SOT343R","3","10","7","23.3","2.5","30"
