"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---Configurable gates","74AUP2G98GM","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP2G98GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G98.pdf","Production","AUP","Configurable gates","Configurable","1.1 - 3.6","CMOS","1.9/-1.9","8.9","70","2","ultra low","-40~125","178","87.0","","10","XQFN10","SOT1049-3"
"nxp","Logic---Gates---Configurable gates","74AUP2G98GU","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP2G98GU.html","http://www.nxp.com/documents/data_sheet/74AUP2G98.pdf","Production","AUP","Configurable gates","Configurable","1.1 - 3.6","CMOS","1.9/-1.9","8.9","70","2","ultra low","-40~125","142","48.0","","10","XQFN10","SOT1160-1"
"nxp","Logic---Gates---Configurable gates","74AXP1G57GM","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G57GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G57.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.6","70","1","ultra low","-40~85","322","8.3","164","6","XSON6","SOT886"
"nxp","Logic---Gates---Configurable gates","74AXP1G57GN","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G57GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G57.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.6","70","1","ultra low","-40~85","366","28.6","226","6","XSON6","SOT1115"
"nxp","Logic---Gates---Configurable gates","74AXP1G57GS","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G57GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G57.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.6","70","1","ultra low","-40~85","347","36.3","235","6","XSON6","SOT1202"
"nxp","Logic---Gates---Configurable gates","74AXP1G57GX","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G57GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G57.pdf","Qualification","","","","","","","","","","","","","","","6","X2SON6","SOT1255"
"nxp","Logic---Gates---Configurable gates","74AXP1G58GM","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G58GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G58.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.5","70","1","ultra low","-40~85","322","8.3","164","6","XSON6","SOT886"
"nxp","Logic---Gates---Configurable gates","74AXP1G58GN","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G58GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G58.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.5","70","1","ultra low","-40~85","366","28.6","226","6","XSON6","SOT1115"
"nxp","Logic---Gates---Configurable gates","74AXP1G58GS","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G58GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G58.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.5","70","1","ultra low","-40~85","347","36.3","235","6","XSON6","SOT1202"
"nxp","Logic---Gates---Configurable gates","74AXP1G58GX","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G58GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G58.pdf","Development","","","","","","","","","","","","","","","6","X2SON6","SOT1255"
"nxp","Logic---Gates---Configurable gates","74AXP1G97GM","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G97GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G97.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.5","70","1","ultra low","-40~85","322","8.3","164","6","XSON6","SOT886"
"nxp","Logic---Gates---Configurable gates","74AXP1G97GN","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G97GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G97.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.5","70","1","ultra low","-40~85","366","28.6","226","6","XSON6","SOT1115"
"nxp","Logic---Gates---Configurable gates","74AXP1G97GS","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G97GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G97.pdf","Production","AXP","Configurable gates","configurable gate; Schmitt trigger","0.7 - 2.75","CMOS","4.5/-4.5","4.5","70","1","ultra low","-40~85","347","36.3","235","6","XSON6","SOT1202"
"nxp","Logic---Gates---Configurable gates","74AXP1G97GX","http://www.nxp.com/products/logic/gates/configurable_gates/74AXP1G97GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G97.pdf","Development","","","","","","","","","","","","","","","6","X2SON6","SOT1255"
