"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","transistor polarity","Ptot [max]","VCEO [max]","IC [max]","VCEsat [max]","VCEsat [max] (trans 2)","RCEsat@IC [max]; IC/IB =10 [typ]","hFE [min]","fT [typ]"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS1501V","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS1501V.html","http://www.nxp.com/documents/data_sheet/PBLS1501Y_PBLS1501V.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","NPN/PNP","300","50","0","-150","-250","300","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS1501Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS1501Y.html","http://www.nxp.com/documents/data_sheet/PBLS1501Y_PBLS1501V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-250","300","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS1502Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS1502Y.html","http://www.nxp.com/documents/data_sheet/PBLS1502Y_PBLS1502V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-250","300","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS1503Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS1503Y.html","http://www.nxp.com/documents/data_sheet/PBLS1503Y_PBLS1503V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-250","300","30","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS1504Y","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS1504Y.html","http://www.nxp.com/documents/data_sheet/PBLS1504Y_PBLS1504V.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","NPN/PNP","300","50","","-150","-250","300","60","100"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2001D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2001D.html","http://www.nxp.com/documents/data_sheet/PBLS2001D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-150","185","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2002D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2002D.html","http://www.nxp.com/documents/data_sheet/PBLS2002D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-300","185","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2003D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2003D.html","http://www.nxp.com/documents/data_sheet/PBLS2003D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-300","185","30","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2004D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2004D.html","http://www.nxp.com/documents/data_sheet/PBLS2004D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-300","185","60","150"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low VCEsat (BISS) load switches","PBLS2021D","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_vcesat_biss_load_switches/PBLS2021D.html","http://www.nxp.com/documents/data_sheet/PBLS2021D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","NPN/PNP","600","50","","-150","-70","80","30","130"
