"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","generation","fT [typ]","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@IC","@VCE","GUM [typ]","@f","@IC","@VCE","NF","@f","@IC","@VCE","NF","@f","@IC","@VCE"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFG403W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFG403W.html","http://www.nxp.com/documents/data_sheet/BFG403W.pdf","SOT343R","CMPAK-4","5th","17","4.5","3.6","16","NPN","22","2000","3","2","22","","","","1","900","1","2","1.6","2000","1","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFG410W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFG410W.html","http://www.nxp.com/documents/data_sheet/BFG410W.pdf","SOT343R","CMPAK-4","5th","22","4.5","12","54","NPN","21","2000","10","2","21","","","","0.9","900","1","2","1.2","2000","1","2"
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU520","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU520.html","http://www.nxp.com/documents/data_sheet/BFU520.pdf","SOT143B","SOT143B","5th","10.5","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU520A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU520A.html","http://www.nxp.com/documents/data_sheet/BFU520A.pdf","SOT23","TO-236AB","5th","10","12","30","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU520W","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU520W.html","http://www.nxp.com/documents/data_sheet/BFU520W.pdf","SOT323","SC-70","5th","10","12","30","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU520X","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU520X.html","http://www.nxp.com/documents/data_sheet/BFU520X.pdf","SOT143B","SOT143B","5th","10.5","12","30","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU520XR","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU520XR.html","http://www.nxp.com/documents/data_sheet/BFU520XR.pdf","SOT143R","SOT143R","5th","10.5","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU520Y","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU520Y.html","http://www.nxp.com/documents/data_sheet/BFU520Y.pdf","SOT363","TSSOP6","5th","10","12","30","450","NPN","","","","","","","","","0.65","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU530","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU530.html","http://www.nxp.com/documents/data_sheet/BFU530.pdf","SOT143B","SOT143B","5th","11","12","40","450","NPN","","","","","","","","","0.7","900","1","8","","","",""
"nxp","RF---Transistors---Bipolar---LNAs， Mixers， Frequency Multipliers， Buffers---1 GHz -> + 2 GHz (L band)","BFU530A","http://www.nxp.com/products/rf/transistors/bipolar/lnas_mixers_frequency_multipliers_buffers/1_ghz_gt_2_ghz_l_band/BFU530A.html","http://www.nxp.com/documents/data_sheet/BFU530A.pdf","SOT23","TO-236AB","5th","11","12","40","450","NPN","","","","","","","","","0.6","900","1","8","","","",""
