"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Output drive capability","Logic switching levels","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC161BQ","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC161BQ.html","http://www.nxp.com/documents/data_sheet/74LVC161.pdf","Production","LVC","asynchronous reset; presettable synchronous 4-bit binary counter","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","93","13.8","62","16","DHVQFN16","SOT763-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC161D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC161D.html","http://www.nxp.com/documents/data_sheet/74LVC161.pdf","Production","LVC","asynchronous reset; presettable synchronous 4-bit binary counter","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","92","9.64862275449102","51.7419760479042","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC161DB","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC161DB.html","http://www.nxp.com/documents/data_sheet/74LVC161.pdf","Production","LVC","asynchronous reset; presettable synchronous 4-bit binary counter","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC161PW","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC161PW.html","http://www.nxp.com/documents/data_sheet/74LVC161.pdf","Production","LVC","asynchronous reset; presettable synchronous 4-bit binary counter","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","125","4.57726796407186","54.7148952095808","16","TSSOP16","SOT403-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC163BQ","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC163BQ.html","http://www.nxp.com/documents/data_sheet/74LVC163.pdf","Production","LVC","presettable synchronous 4-bit binary counter; synchronous reset","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","93","13.8","62","16","DHVQFN16","SOT763-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC163D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC163D.html","http://www.nxp.com/documents/data_sheet/74LVC163.pdf","Production","LVC","presettable synchronous 4-bit binary counter; synchronous reset","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","92","9.64862275449102","51.7419760479042","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC163DB","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC163DB.html","http://www.nxp.com/documents/data_sheet/74LVC163.pdf","Production","LVC","presettable synchronous 4-bit binary counter; synchronous reset","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74LVC163PW","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74LVC163PW.html","http://www.nxp.com/documents/data_sheet/74LVC163.pdf","Production","LVC","presettable synchronous 4-bit binary counter; synchronous reset","1.2 - 3.6","+/- 24","CMOS/LVTTL","4.9","low","-40~125","125","4.57726796407186","54.7148952095808","16","TSSOP16","SOT403-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","HEF4020BT","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/HEF4020BT.html","http://www.nxp.com/documents/data_sheet/HEF4020B.pdf","Production","HEF4000B","14-stage binary ripple counter","4.5 - 15.5","+/- 2.4","CMOS","35","medium","-40~85","56","1.0","12.9991137724551","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","HEF4040BT","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/HEF4040BT.html","http://www.nxp.com/documents/data_sheet/HEF4040B.pdf","Production","HEF4000B","12-stage binary ripple counter","4.5 - 15.5","+/- 2.4","CMOS","35","medium","-40~85","78","3.45522155688623","36.9280299401198","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","HEF4520BT","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/HEF4520BT.html","http://www.nxp.com/documents/data_sheet/HEF4520B.pdf","Production","HEF4000B","dual 4-bit synchronous binary counter","4.5 - 15.5","+/- 2.4","CMOS","15","medium","-40~85","90","8.72041017964072","49.5217919161677","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","HEF4521BT","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/HEF4521BT.html","http://www.nxp.com/documents/data_sheet/HEF4521B.pdf","Production","HEF4000B","24-stage frequency divider and oscillator","4.5-15.5 V","+/- 2.4","CMOS","220","medium","-40~85","65","1.0","22.7924071856287","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","HEF4541BT","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/HEF4541BT.html","http://www.nxp.com/documents/data_sheet/HEF4541B.pdf","Production","HEF4000B","programmable timer","4.5 - 15.5","- 4/ + 2.7","CMOS","38","medium","-40~85","53","1.0","10","14","SO14","SOT108-1"
