"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---Automotive high-speed network protection","PESD1LVDS","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/automotive_high_speed_network_protection/PESD1LVDS.html","http://www.nxp.com/documents/data_sheet/PESD1LVDS.pdf","SOT1165-1","DFN2510-10","2.5 x 1 x 0.5"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---Automotive high-speed network protection","PRTR5V0U4D","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/automotive_high_speed_network_protection/PRTR5V0U4D.html","http://www.nxp.com/documents/data_sheet/PRTR5V0U4D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1"
