"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","VCEO [max]","IC [max]","Ptot [max]","Polarity","GUM [typ]","@f","@VCE"
"nxp","RF---Transistors---Bipolar---RF power transistors for portable equipment (UHF)","BLT50","http://www.nxp.com/products/rf/transistors/bipolar/rf_power_transistors_for_portable_equipment_uhf/BLT50.html","http://www.nxp.com/documents/data_sheet/BLT50_CNV.pdf","SOT223","SC-73","10","500","2000","NPN","11.2","470","7.5"
"nxp","RF---Transistors---Bipolar---RF power transistors for portable equipment (UHF)","BLT81","http://www.nxp.com/products/rf/transistors/bipolar/rf_power_transistors_for_portable_equipment_uhf/BLT81.html","http://www.nxp.com/documents/data_sheet/BLT81.pdf","SOT223","SC-73","9.5","500","2000","NPN","8","900","7.5"
