"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","IF(AV) [max]","Tj [max]","VRRM [max]","VF [typ] @ Tj = 25 °C","@ IF","Qr [typ]"
"nxp","Diodes---Silicon Carbide diodes","NXPSC04650","http://www.nxp.com/products/diodes/silicon_carbide_diodes/NXPSC04650.html","http://www.nxp.com/documents/data_sheet/NXPSC04650.pdf","SOD59A","TO-220AC","Production","4","175","650","1.5","4","7"
"nxp","Diodes---Silicon Carbide diodes","NXPSC06650","http://www.nxp.com/products/diodes/silicon_carbide_diodes/NXPSC06650.html","http://www.nxp.com/documents/data_sheet/NXPSC06650.pdf","SOD59A","TO-220AC","Production","6","175","650","1.5","6","10"
"nxp","Diodes---Silicon Carbide diodes","NXPSC08650","http://www.nxp.com/products/diodes/silicon_carbide_diodes/NXPSC08650.html","http://www.nxp.com/documents/data_sheet/NXPSC08650.pdf","SOD59A","TO-220AC","Production","8","175","650","1.5","8","13"
"nxp","Diodes---Silicon Carbide diodes","NXPSC10650","http://www.nxp.com/products/diodes/silicon_carbide_diodes/NXPSC10650.html","http://www.nxp.com/documents/data_sheet/NXPSC10650.pdf","SOD59A","TO-220AC","Production","10","175","650","1.5","10","15"
