"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","Channel type","Number of transistors","VDS [max]","RDSon [max] @ VGS = 10 V","RDSon [max] @ VGS = 5 V","RDSon [max] @ VGS = 4.5 V","RDSon [max] @ VGS = 2.5 V","RDSon [typ] @ VGS = 10 V","RDSon [typ] @ VGS = 5 V","RDSon [typ] @ VGS = 4.5 V","RDSon [typ] @ VGS = 2.5 V","RDSon [max] @ Tj = 175 °C","ID [max]","ID [max] @ T = 100 °C","IDM [max]","QGD [typ]","QG(tot) [typ]","Ptot [max]","Qr [typ]","VGSth [typ]","Automotive qualified","Ciss [typ]","Coss [typ]","Rth(j-mb) [max]","Date"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K13-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K13-60E.html","http://www.nxp.com/documents/data_sheet/BUK7K13-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","10","","","","8","","","","22","40","38","213","9.7","30.1","64","23.5","3","Y","1622","229","2.36","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K134-100E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K134-100E.html","http://www.nxp.com/documents/data_sheet/BUK7K134-100E.pdf","SOT1205","LFPAK56D","Production","N","2","100","121","","","","97","","","","335","9.8","6.9","39","4.3","10.5","32","45.1","3","Y","423","57","4.68","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K29-100E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K29-100E.html","http://www.nxp.com/documents/data_sheet/BUK7K29-100E.pdf","SOT1205","LFPAK56D","Production","N","2","100","24.5","","","","19.5","","","","68","29.5","22","126","13.1","38.1","68","62.2","3","Y","1827","181","2.21","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K32-100E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K32-100E.html","http://www.nxp.com/documents/data_sheet/BUK7K32-100E.pdf","SOT1205","LFPAK56D","Production","N","2","100","27.5","","","","21.5","","","","76","29","20.4","116","12.9","34","64","52.8","3","Y","1603","164","2.36","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K45-100E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K45-100E.html","http://www.nxp.com/documents/data_sheet/BUK7K45-100E.pdf","SOT1205","LFPAK56D","Production","N","2","100","37.6","","","","30","","","","104","21.4","15","84","9.7","25.9","53","44","3","Y","1150","122","2.84","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK7K89-100E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK7K89-100E.html","http://www.nxp.com/documents/data_sheet/BUK7K89-100E.pdf","SOT1205","LFPAK56D","Production","N","2","100","82.5","","","","61","","","","228","13","9","51","5.3","13.6","38","39.1","3","Y","608","74","3.96","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K13-60E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K13-60E.html","http://www.nxp.com/documents/data_sheet/BUK9K13-60E.pdf","SOT1205","LFPAK56D","Production","N","2","60","11.2","12.5","","","9","10","","","28.3","40","33","190","7.9","22.4","64","18.9","1.7","Y","2215","225","2.36","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K5R1-30E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K5R1-30E.html","http://www.nxp.com/documents/data_sheet/BUK9K5R1-30E.pdf","SOT1205","LFPAK56D","Production","N","2","30","4.4","5.3","","","3.5","4.2","","","10","40","40","329","11","26.7","68","16.2","1.7","Y","2300","421","2.21","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","BUK9K5R6-30E","http://www.nxp.com/products/mosfets/automotive_mosfets/BUK9K5R6-30E.html","http://www.nxp.com/documents/data_sheet/BUK9K5R6-30E.pdf","SOT1205","LFPAK56D","Production","N","2","30","4.7","5.8","","","3.9","4.7","","","11","40","40","305","9.2","22.6","64","26.7","1.7","Y","1860","391","2.36","2015-08-28"
"nxp","MOSFETs---Automotive MOSFETs","PMV65XPEA","http://www.nxp.com/products/mosfets/automotive_mosfets/PMV65XPEA.html","http://www.nxp.com/documents/data_sheet/PMV65XPEA.pdf","SOT23","TO-236AB","Production","P","1","-20","","","78","125","","","67","99","","-3.3","-1.8","-12","1.1","5","0.48","","-1","Y","618","80","","2014-11-27"
