"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IC [max]","R1 (typ)","R2 (typ)","channel type","Ptot","VCEO"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH15","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH15.html","http://www.nxp.com/documents/data_sheet/PEMH15_PUMH15.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","4.7","4.7","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH15","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH15.html","http://www.nxp.com/documents/data_sheet/PEMH15_PUMH15.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","4.7","4.7","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH16","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH16.html","http://www.nxp.com/documents/data_sheet/PEMH16_PUMH16.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","22","47","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH16","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH16.html","http://www.nxp.com/documents/data_sheet/PEMH16_PUMH16.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","22","47","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH17","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH17.html","http://www.nxp.com/documents/data_sheet/PEMH17_PUMH17.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","47","22","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH17","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH17.html","http://www.nxp.com/documents/data_sheet/PEMH17_PUMH17.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","47","22","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH18","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH18.html","http://www.nxp.com/documents/data_sheet/PEMH18_PUMH18.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","4.7","10","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH18","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH18.html","http://www.nxp.com/documents/data_sheet/PEMH18_PUMH18.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","4.7","10","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH19","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH19.html","http://www.nxp.com/documents/data_sheet/PEMH19_PUMH19.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","22","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH19","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH19.html","http://www.nxp.com/documents/data_sheet/PEMH19_PUMH19.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","22","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH20","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH20.html","http://www.nxp.com/documents/data_sheet/PEMH20_PUMH20.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","2.2","2.2","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH20","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH20.html","http://www.nxp.com/documents/data_sheet/PEMH20_PUMH20.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","2.2","2.2","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH24","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH24.html","http://www.nxp.com/documents/data_sheet/PEMH24_PUMH24.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","100","100","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH24","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH24.html","http://www.nxp.com/documents/data_sheet/PEMH24_PUMH24.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","100","100","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH30","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH30.html","http://www.nxp.com/documents/data_sheet/PEMH30_PUMH30.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","2.2","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH30","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH30.html","http://www.nxp.com/documents/data_sheet/PEMH30_PUMH30.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","2.2","","NPN/NPN","300","50"
