"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","PPPM @10/1000 µs [max] (W)","Configuration","No of protected lines","VRWM (V)","VBR [min] (V)","VBR [typ] (V)","VBR [max] (V)","IRM [max] (µA)","Vcl @ IPPM 10/1000 µs [max] (V)","IPPM @10/1000 µs [max] (W)","VESD IEC61000-4-2 (kV)","Tj [max]"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS3V3S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS3V3S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","350","Unidirectional","1","3.5","5.2","5.6","6","600","8","43.8","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS5V0S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS5V0S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","5","6.4","6.7","7","400","9.2","43.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS6V0S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS6V0S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","6","6.67","7.02","7.37","400","10.3","38.8","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS6V5S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS6V5S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","6.5","7.22","7.6","7.98","250","11.2","35.7","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS7V0S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS7V0S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","7","7.78","8.2","8.6","100","12","33.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS7V5S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS7V5S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","7.5","8.33","8.77","9.21","50","12.9","31","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS8V0S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS8V0S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","8","8.89","9.36","9.83","25","13.6","29.4","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS8V5S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS8V5S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","8.5","9.44","9.92","10.4","10","14.4","27.8","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS9V0S1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS9V0S1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","9","10","10.55","11.1","5","15.4","26","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS10VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS10VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","10","11.1","11.7","12.3","2.5","17","23.5","30","150"
