"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","PPPM @10/1000 µs [max] (W)","Configuration","No of protected lines","VRWM (V)","VBR [min] (V)","VBR [typ] (V)","VBR [max] (V)","IRM [max] (µA)","Vcl @ IPPM 10/1000 µs [max] (V)","IPPM @10/1000 µs [max] (W)","VESD IEC61000-4-2 (kV)","Tj [max]"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS11VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS11VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","11","12.2","12.85","13.5","2.5","18.2","22","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS12VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS12VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","12","13.3","14","14.7","2.5","19.9","20.1","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS13VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS13VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","13","14.4","15.15","15.9","0.1","21.5","18.6","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS14VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS14VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","14","15.6","16.4","17.2","0.1","23.2","17.2","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS15VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS15VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","15","16.7","17.6","18.5","0.1","24.4","16.4","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS16VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS16VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","16","17.8","18.75","19.7","0.1","26","15.4","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS17VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS17VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","17","18.9","19.9","20.9","0.1","27.6","14.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS18VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS18VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","18","20","21","22.1","0.1","29.2","13.7","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS20VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS20VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","20","22.2","23.35","24.5","0.1","32.4","12.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS22VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS22VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","22","24.4","25.6","26.9","0.1","35.5","11.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS24VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS24VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","24","26.7","28.1","29.5","0.1","38.9","10.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS26VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS26VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","26","28.9","30.4","31.9","0.1","42.1","9.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS28VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS28VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","28","31.1","32.8","34.4","0.1","45.4","8.8","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS30VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS30VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","30","33.3","35.1","36.8","0.1","48.4","8.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS33VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS33VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","33","36.7","38.7","40.6","0.1","53.3","7.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS36VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS36VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","36","40","42.1","44.2","0.1","58.1","6.9","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS40VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS40VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","40","44.4","46.8","49.1","0.1","64.5","6.2","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS43VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS43VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","43","47.8","50.3","52.8","0.1","69.4","5.8","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS45VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS45VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","45","50","52.65","55.3","0.1","72.7","5.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS48VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS48VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","48","53.3","56.1","58.9","0.1","77.4","5.2","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS51VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS51VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","51","56.7","59.7","62.7","0.1","82.4","4.9","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS54VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS54VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","54","60","63.15","66.3","0.1","87.1","4.6","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS58VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS58VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","58","64.4","67.8","71.2","0.1","93.6","4.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS60VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS60VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","60","66.7","70.2","73.7","0.1","96.8","4.1","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS64VS1UR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS64VS1UR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","64","71.1","74.85","78.6","0.1","103","3.9","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS3V3S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS3V3S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","350","Unidirectional","1","3.5","5.2","5.6","6","600","8","43.8","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS5V0S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS5V0S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","5","6.4","6.7","7","400","9.2","43.5","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS6V0S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS6V0S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","6","6.67","7.02","7.37","400","10.3","38.8","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS6V5S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS6V5S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","6.5","7.22","7.6","7.98","250","11.2","35.7","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS7V0S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS7V0S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","7","7.78","8.2","8.6","100","12","33.3","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS7V5S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS7V5S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","7.5","8.33","8.77","9.21","50","12.9","31","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS8V0S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS8V0S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","8","8.89","9.36","9.83","25","13.6","29.4","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS8V5S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS8V5S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","8.5","9.44","9.92","10.4","10","14.4","27.8","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS9V0S1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS9V0S1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","9","10","10.55","11.1","5","15.4","26","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS10VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS10VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","10","11.1","11.7","12.3","2.5","17","23.5","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS11VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS11VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","11","12.2","12.85","13.5","2.5","18.2","22","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS12VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS12VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","12","13.3","14","14.7","2.5","19.9","20.1","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS13VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS13VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","13","14.4","15.15","15.9","0.1","21.5","18.6","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS14VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS14VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","14","15.6","16.4","17.2","0.1","23.2","17.2","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS15VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS15VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","15","16.7","17.6","18.5","0.1","24.4","16.4","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS16VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS16VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","16","17.8","18.75","19.7","0.1","26","15.4","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS17VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS17VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","17","18.9","19.9","20.9","0.1","27.6","14.5","30","185"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 400 W","PTVS18VS1UTR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_400_w/PTVS18VS1UTR.html","http://www.nxp.com/documents/data_sheet/PTVSXS1UTR_SER.pdf","SOD123W","SOD123W","2.6 x 1.7 x 1","400","Unidirectional","1","18","20","21","22.1","0.1","29.2","13.7","30","185"
