"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U1BLD","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U1BLD.html","http://www.nxp.com/documents/data_sheet/PESD5V0U1BLD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","1","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U1UA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U1UA.html","http://www.nxp.com/documents/data_sheet/PESD5V0U1UA_UB_UL.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Unidirectional","2","2.6","5","9","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U1UB.html","http://www.nxp.com/documents/data_sheet/PESD5V0U1UA_UB_UL.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","2","2.6","5","9","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U1UL.html","http://www.nxp.com/documents/data_sheet/PESD5V0U1UA_UB_UL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","2","2.6","5","9","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U2BM","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U2BM.html","http://www.nxp.com/documents/data_sheet/PESD5V0U2BM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","2","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U2BMB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U2BMB.html","http://www.nxp.com/documents/data_sheet/PESD5V0U2BMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","2","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U2BT","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U2BT.html","http://www.nxp.com/documents/data_sheet/PESD5V0U2BT.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","2","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U4BF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U4BF.html","http://www.nxp.com/documents/data_sheet/PESD5V0U4BF_PESD5V0U4BW.pdf","SOT886","XSON6","1.45 x 1 x 0.5","4","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U4BW","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U4BW.html","http://www.nxp.com/documents/data_sheet/PESD5V0U4BF_PESD5V0U4BW.pdf","SOT665","SOT665","1.6 x 1.2 x 0.55","4","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U5BF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U5BF.html","http://www.nxp.com/documents/data_sheet/PESD5V0U5BF_PESD5V0U5BV.pdf","SOT886","XSON6","1.45 x 1 x 0.5","5","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0U5BV","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0U5BV.html","http://www.nxp.com/documents/data_sheet/PESD5V0U5BF_PESD5V0U5BV.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","5","Bidirectional","2.9","3.5","5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1BA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1BA.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1BA_BB_BL.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Bidirectional","11","13","5","30","0.01"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1BB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1BB.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1BA_BB_BL.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Bidirectional","11","13","5","30","0.01"
