"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","Configuration","VCC","Logic switching levels","RON","RON(FLAT)","f(-3dB)","THD","Xtalk","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Analog switches","74HC4016D","http://www.nxp.com/products/logic/analog_switches/74HC4016D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4016_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch","SPST-NO","2.0 - 10.0","CMOS","300","80","160","0.4","-60","very low","-40~125","82","3.2","40","14","SO14","SOT108-1"
"nxp","Logic---Analog switches","74HC4016PW","http://www.nxp.com/products/logic/analog_switches/74HC4016PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4016_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch","SPST-NO","2.0 - 10.0","CMOS","300","80","160","0.4","-60","very low","-40~125","124","2.09732743362832","48.1345309734513","14","TSSOP14","SOT402-1"
"nxp","Logic---Analog switches","74HC4051BQ","http://www.nxp.com/products/logic/analog_switches/74HC4051BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","","very low","-40~125","87","9.5","55","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HC4051D","http://www.nxp.com/products/logic/analog_switches/74HC4051D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","","very low","-40~125","86","6.9","45","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HC4051DB","http://www.nxp.com/products/logic/analog_switches/74HC4051DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HC4051PW","http://www.nxp.com/products/logic/analog_switches/74HC4051PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","","very low","-40~125","119","3.15359281437126","47.7790419161677","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HCT4051BQ","http://www.nxp.com/products/logic/analog_switches/74HCT4051BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","225","20","170","0.04","","very low","-40~125","87","9.5","55","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HCT4051D","http://www.nxp.com/products/logic/analog_switches/74HCT4051D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","225","20","170","0.04","","very low","-40~125","86","6.88625149700599","45.1346826347305","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HCT4051DB","http://www.nxp.com/products/logic/analog_switches/74HCT4051DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","225","20","170","0.04","","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HCT4051PW","http://www.nxp.com/products/logic/analog_switches/74HCT4051PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4051.pdf","Production","HC(T)","single-pole, octal-throw analog switch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","225","20","170","0.04","","very low","-40~125","119","3.15359281437126","47.7790419161677","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HC4052BQ","http://www.nxp.com/products/logic/analog_switches/74HC4052BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch","SP4T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","-60","very low","-40~125","87","9.5","55","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HC4052D","http://www.nxp.com/products/logic/analog_switches/74HC4052D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4052.pdf","Production","HC(T)","dual single-pole, quad-throw analog switch","SP4T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","-60","very low","-40~125","86","6.8","45","16","SO16","SOT109-1"
