"brand","Series","PartNo","DetailLink","dataSheet","Package version","Remarks","Product status","THD","RMS power","Gain","VP","Stereo inputs","S","Voltage","Package material","Amplifier type","Power","Channel configuration","Card supply current (Icc)","Output Impedance","THD %","Output power","Switching current","Switching transistor","Vout1","Vout2","Vout3","Vout4","Vout5","Vout6","Package name"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDA8595TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDA8595TH.html","http://www.nxp.com/documents/data_sheet/TDA8595.pdf","SOT851-2","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","HSOP36"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDA8596TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDA8596TH.html","http://www.nxp.com/documents/data_sheet/TDA8596.pdf","SOT851-2","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","HSOP36"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8541J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8541J.html","No full datasheet available","SOT827-1","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","DBS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8541JS","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8541JS.html","No full datasheet available","SOT1154-1","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","DBSMS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8541SD","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8541SD.html","No full datasheet available","SOT878-1","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","RDBS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8541TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8541TH.html","No full datasheet available","SOT851-2","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","HSOP36"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8544J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8544J.html","No full datasheet available","SOT827-1","I2C Bus diagnostic","Production","","4 x 28","26","","","","","","","","BTL/quad","","","","","","","","","","","","","DBS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8544SD","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8544SD.html","No full datasheet available","SOT878-1","I2C Bus diagnostic","Production","","4 x 28","26","","","","","","class-AB","","BTL/quad","","","","","","","","","","","","","RDBS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8544TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8544TH.html","No full datasheet available","SOT851-2","I2C Bus diagnostic","Production","","4 x 28","26","","","","","","","","BTL/quad","","","","","","","","","","","","","HSOP36"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8546J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8546J.html","No full datasheet available","SOT827-1","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","DBS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8546JS","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8546JS.html","No full datasheet available","SOT1154-1","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","DBSMS27P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8546TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8546TH.html","No full datasheet available","SOT851-2","I2C Bus diagnostic","Production","","4 x 25","26","","","","","","","","BTL/quad","","","","","","","","","","","","","HSOP36"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8554J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8554J.html","No full datasheet available","SOT725-1","","Production","","","","","","","","","","4 x 25W,THD10%, V14V","","","","","","","","8.5","5","3.3","8.6","12.5","","DBS37P"
"nxp","Amplifiers---Audio amplifiers---Class-AB (car radio)","TDF8555J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_ab_car_radio/TDF8555J.html","No full datasheet available","SOT725-1","","Production","","","","","","","Dc DC input","","","4 x 25W,THD 10%, 6V - 18V","","","","","","400","400","8.6","3.3","3.3","8.300000000000002","10","5","DBS37P"
