"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---AND gates","74AHC08D","http://www.nxp.com/products/logic/gates/and_gates/74AHC08D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT08.pdf","Production","AHC(T)","AND gates","quad 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.5","","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---AND gates","74AHC08PW","http://www.nxp.com/products/logic/gates/and_gates/74AHC08PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT08.pdf","Production","AHC(T)","AND gates","quad 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.5","","4","low","-40~125","138","6.91114601769911","64.2503584070796","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---AND gates","74AHCT08BQ","http://www.nxp.com/products/logic/gates/and_gates/74AHCT08BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT08.pdf","Production","AHC(T)","AND gates","quad 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","5","","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---AND gates","74AHCT08D","http://www.nxp.com/products/logic/gates/and_gates/74AHCT08D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT08.pdf","Production","AHC(T)","AND gates","quad 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","5","","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---AND gates","74AHCT08PW","http://www.nxp.com/products/logic/gates/and_gates/74AHCT08PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT08.pdf","Production","AHC(T)","AND gates","quad 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","5","","4","low","-40~125","138","6.91114601769911","64.2503584070796","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---AND gates","74ALVC08BQ","http://www.nxp.com/products/logic/gates/and_gates/74ALVC08BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC08.pdf","Production","ALVC","AND gates","quad 2-input AND gate","1.65 - 3.6","TTL","+/- 24","2","","4","low","-40~85","103","18.3","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---AND gates","74ALVC08D","http://www.nxp.com/products/logic/gates/and_gates/74ALVC08D.html","http://www.nxp.com/documents/data_sheet/74ALVC08.pdf","Production","ALVC","AND gates","quad 2-input AND gate","1.65 - 3.6","TTL","+/- 24","2","","4","low","-40~85","103","17.1","62","14","SO14","SOT108-1"
"nxp","Logic---Gates---AND gates","74ALVC08PW","http://www.nxp.com/products/logic/gates/and_gates/74ALVC08PW.html","http://www.nxp.com/documents/data_sheet/74ALVC08.pdf","Production","ALVC","AND gates","quad 2-input AND gate","1.65 - 3.6","TTL","+/- 24","2","","4","low","-40~85","138","6.87359292035398","64.1246371681416","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---AND gates","74AUP1G08GF","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G08GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G08.pdf","Production","AUP","AND gates","single 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Gates---AND gates","74AUP1G08GM","http://www.nxp.com/products/logic/gates/and_gates/74AUP1G08GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G08.pdf","Production","AUP","AND gates","single 2-input AND gate","1.1 - 3.6","CMOS","+/- 1.9","8.2","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
