"brand","Series","PartNo","DetailLink","dataSheet","Package version"
"nxp","Sensors---Rotational sensors","KMI16","http://www.nxp.com/products/sensors/rotational_sensors/KMI16.html","http://www.nxp.com/documents/data_sheet/KMI16_1.pdf","SOT477B"
"nxp","Sensors---Rotational sensors","KMI17","http://www.nxp.com/products/sensors/rotational_sensors/KMI17.html","http://www.nxp.com/documents/data_sheet/KMI17_4.pdf","SOT453E"
