"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Description","Dimming","Isolated/non-isolated","Topology","Power level [max]","Nominal mains","Internal MOSFET","Short Winding Protection","Product status"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL2109AT","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL2109AT.html","http://www.nxp.com/documents/data_sheet/SSL2109AT.pdf","SOT96-1","SO8","Compact non-dimmable LED controller IC","PWM Dimming","Isolated; non-isolated","Buck / Flyback","","100; 230","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL2109T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL2109T.html","http://www.nxp.com/documents/data_sheet/SSL2109T.pdf","SOT96-1","SO8","Compact non-dimmable LED controller IC","PWM Dimming","Isolated; non-isolated","Buck / Flyback","","100; 230","N","Y","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL21151T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL21151T.html","http://www.nxp.com/documents/data_sheet/SSL2115X.pdf","SOT1175-1","SO7","Low-cost non-dimmable LED driver IC","Non dimming","Isolated; non-isolated","Flyback / Buck Boost","5","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL21153T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL21153T.html","http://www.nxp.com/documents/data_sheet/SSL2115X.pdf","SOT1175-1","SO7","Low-cost non-dimmable LED driver IC","Non dimming","Isolated; non-isolated","Flyback / Buck Boost","10","100; 230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL5001T","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL5001T.html","http://www.nxp.com/documents/data_sheet/SSL5001T.pdf","SOT96-1","SO8","Compact non-dimmable LED controller IC","Non dimming","Isolated; non-isolated","Buck / Flyback / Buck Boost","","100; 230","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL5015TE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL5015TE.html","http://www.nxp.com/documents/data_sheet/SSL5015TE.pdf","SOT786-3","HSO8","Compact non-dimmable LED driver IC","PWM Dimming","Non-isolated","Buck","18","100; 120","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL5018TE","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL5018TE.html","http://www.nxp.com/documents/data_sheet/SSL5018TE.pdf","SOT786-3","HSO8","Compact non-dimmable LED driver IC","PWM Dimming","","Buck","","230","Y","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL5021BTS","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL5021BTS.html","http://www.nxp.com/documents/data_sheet/SSL5021BTS.pdf","SOT457","TSOP6","Compact low-ripple buck LED driver IC","Non dimming","Non-isolated","Buck","25","100; 277","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL5031BTS","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL5031BTS.html","http://www.nxp.com/documents/data_sheet/SSL5031BTS.pdf","SOT457","TSOP6","Compact high power factor/low-THD buck LED driver IC","Non dimming","Non-isolated","Buck","25","100; 277","N","N","Production"
"nxp","Power management---Lighting driver and controller ICs---AC LED driver ICs， non-dimmable","SSL5031CTS","http://www.nxp.com/products/power_management/lighting_driver_and_controller_ics/ac_led_driver_ics_non_dimmable/SSL5031CTS.html","http://www.nxp.com/documents/data_sheet/SSL5031CTS.pdf","SOT457","TSOP6","Compact high power factor/low-THD buck LED driver IC","Non dimming","Non-isolated","Buck","25","100; 277","N","N","Production"
