"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","Channel type","Number of transistors","VDS [max]","RDSon [max] @ VGS = 10 V","RDSon [max] @ VGS = 5 V","RDSon [max] @ VGS = 4.5 V","RDSon [max] @ VGS = 2.5 V","Tj [max]","ID [max]","QGD [typ]","QG(tot) [typ]","Ptot [max]","Qr [typ]","VGSth [typ]","Automotive qualified","Ciss [typ]","Coss [typ]","Date"
"nxp","MOSFETs---Standard MOSFETs","PMCM6501VPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMCM6501VPE.html","http://www.nxp.com/documents/data_sheet/PMCM6501VPE.pdf","OL-PMCM6501VPE","WLCSP6","Production","P","1","-12","","","25","33","150","-8.2","5","19.6","0.556","","-0.6","N","1400","430","2015-07-29"
"nxp","MOSFETs---Standard MOSFETs","PMCM4401VNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMCM4401VNE.html","http://www.nxp.com/documents/data_sheet/PMCM4401VNE.pdf","OL-PMCM4401VNE","WLCSP4","Production","N","1","12","","","42","54","150","6","1.8","6","0.4","","0.6","N","335","130","2015-07-24"
"nxp","MOSFETs---Standard MOSFETs","NX7002BKS","http://www.nxp.com/products/mosfets/standard_mosfets/NX7002BKS.html","http://www.nxp.com/documents/data_sheet/NX7002BKS.pdf","SOT363","TSSOP6","Production","N","2","60","2800","3200","","","150","0.33","0.18","1","0.285","","1.6","N","23.6","4.6","2015-05-12"
"nxp","MOSFETs---Standard MOSFETs","PMCM440VNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMCM440VNE.html","http://www.nxp.com/documents/data_sheet/PMCM440VNE.pdf","OL-PMCM440VNE","WLCSP4","Production","N","1","12","","","67","88","150","5","1.5","5.5","0.4","","0.6","N","360","160","2015-04-07"
"nxp","MOSFETs---Standard MOSFETs","PMCM650VNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMCM650VNE.html","http://www.nxp.com/documents/data_sheet/PMCM650VNE.pdf","OL-PMCM440VNE","WLCSP6","Production","N","1","12","","","25","32","150","8.4","3.6","15.4","0.556","","0.6","N","1060","330","2015-04-07"
"nxp","MOSFETs---Standard MOSFETs","PMDXB1200UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMDXB1200UPE.html","http://www.nxp.com/documents/data_sheet/PMDXB1200UPE.pdf","SOT1216","DFN1010B-6","Production","P","2","-30","","","1400","2300","150","-0.41","0.16","0.7","0.285","","-0.7","N","43.2","5.9","2015-03-25"
"nxp","MOSFETs---Standard MOSFETs","PMDXB550UNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMDXB550UNE.html","http://www.nxp.com/documents/data_sheet/PMDXB550UNE.pdf","SOT1216","DFN1010B-6","Production","N","2","30","","","670","900","150","0.59","0.1","0.6","0.285","","0.7","N","30.3","5.8","2015-03-25"
"nxp","MOSFETs---Standard MOSFETs","NX7002BKXB","http://www.nxp.com/products/mosfets/standard_mosfets/NX7002BKXB.html","http://www.nxp.com/documents/data_sheet/NX7002BKXB.pdf","SOT1216","DFN1010B-6","Production","N","2","60","2800","3200","","","150","0.33","0.18","1","0.285","","1.6","N","23.6","4.6","2014-12-15"
"nxp","MOSFETs---Standard MOSFETs","PMXB65UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB65UPE.html","http://www.nxp.com/documents/data_sheet/PMXB65UPE.pdf","SOT1215","DFN1010D-3","Production","P","1","-12","","","72","98","150","-3.2","1.9","6.7","0.317","","-0.68","N","634","167","2014-02-04"
"nxp","MOSFETs---Standard MOSFETs","PMXB75UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB75UPE.html","http://www.nxp.com/documents/data_sheet/PMXB75UPE.pdf","SOT1215","DFN1010D-3","Production","P","1","-20","","","85","110","150","-2.9","2.1","6.8","0.317","","-0.68","N","608","75","2014-02-04"
"nxp","MOSFETs---Standard MOSFETs","PMCXB900UE","http://www.nxp.com/products/mosfets/standard_mosfets/PMCXB900UE.html","http://www.nxp.com/documents/data_sheet/PMCXB900UE.pdf","SOT1216","DFN1010B-6","Production","N/P","2","-20","","","1400","850","150","0.6","0.1","0.4","0.265","","0.7","N","43","5.4","2013-10-07"
"nxp","MOSFETs---Standard MOSFETs","PMXB56EN","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB56EN.html","http://www.nxp.com/documents/data_sheet/PMXB56EN.pdf","SOT1215","DFN1010D-3","Production","N","1","30","55","","65","","150","3.2","0.4","3.6","0.4","","1.5","N","209","50","2013-09-23"
"nxp","MOSFETs---Standard MOSFETs","PMXB40UNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB40UNE.html","http://www.nxp.com/documents/data_sheet/PMXB40UNE.pdf","SOT1215","DFN1010D-3","Production","N","1","12","","","45","64","150","3.2","1.7","6.6","0.4","","0.65","N","556","107","2013-09-20"
"nxp","MOSFETs---Standard MOSFETs","PMXB350UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB350UPE.html","http://www.nxp.com/documents/data_sheet/PMXB350UPE.pdf","SOT1215","DFN1010D-3","Production","P","1","-20","","","447","645","150","-1.2","0.28","1.25","0.36","","-0.7","N","116","16.5","2013-09-19"
"nxp","MOSFETs---Standard MOSFETs","PMXB43UNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB43UNE.html","http://www.nxp.com/documents/data_sheet/PMXB43UNE.pdf","SOT1215","DFN1010D-3","Production","N","1","20","","","54","68","150","3.2","0.9","5.7","0.4","","0.65","N","551","57","2013-09-19"
"nxp","MOSFETs---Standard MOSFETs","PMXB120EPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB120EPE.html","http://www.nxp.com/documents/data_sheet/PMXB120EPE.pdf","SOT1215","DFN1010D-3","Production","P","1","-30","120","","170","","150","-2.4","1.1","6.2","0.4","","-1.5","N","309","41","2013-09-17"
"nxp","MOSFETs---Standard MOSFETs","PMDXB600UNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMDXB600UNE.html","http://www.nxp.com/documents/data_sheet/PMDXB600UNE.pdf","SOT1216","DFN1010B-6","Production","N","2","20","","","620","850","150","0.6","0.1","0.4","0.265","","0.7","N","21.3","5.4","2013-09-16"
"nxp","MOSFETs---Standard MOSFETs","PMXB360ENEA","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB360ENEA.html","http://www.nxp.com/documents/data_sheet/PMXB360ENEA.pdf","SOT1215","DFN1010D-3","Production","N","1","80","450","","540","","150","1.1","0.6","3","0.4","","1.7","Y","130","20","2013-09-16"
"nxp","MOSFETs---Standard MOSFETs","PMDXB950UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMDXB950UPE.html","http://www.nxp.com/documents/data_sheet/PMDXB950UPE.pdf","SOT1216","DFN1010B-6","Production","P","2","-20","","","1400","2200","150","-0.5","0.1","1.19","0.265","","-0.7","N","43","14","2013-09-12"
"nxp","MOSFETs---Standard MOSFETs","PMXB65ENE","http://www.nxp.com/products/mosfets/standard_mosfets/PMXB65ENE.html","http://www.nxp.com/documents/data_sheet/PMXB65ENE.pdf","SOT1215","DFN1010D-3","Production","N","1","30","67","","","","150","3.2","0.9","6","0.4","","1.4","N","295","40","2013-09-10"
"nxp","MOSFETs---Standard MOSFETs","PMZ1200UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMZ1200UPE.html","http://www.nxp.com/documents/data_sheet/PMZ1200UPE.pdf","SOT883","DFN1006-3","Production","P","1","-30","","","1400","2300","150","-0.41","0.2","0.7","0.31","","-0.7","N","43.2","5.9","2015-03-25"
"nxp","MOSFETs---Standard MOSFETs","PMZ550UNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMZ550UNE.html","http://www.nxp.com/documents/data_sheet/PMZ550UNE.pdf","SOT883","DFN1006-3","Production","N","1","30","","","670","900","150","0.59","0.1","0.6","0.31","","0.7","N","30.3","5.8","2015-03-25"
"nxp","MOSFETs---Standard MOSFETs","PMZB1200UPE","http://www.nxp.com/products/mosfets/standard_mosfets/PMZB1200UPE.html","http://www.nxp.com/documents/data_sheet/PMZB1200UPE.pdf","SOT883B","DFN1006B-3","Production","P","1","-30","","","1400","2300","150","-0.41","0.2","0.7","0.31","","-0.7","N","43.2","5.9","2015-03-25"
"nxp","MOSFETs---Standard MOSFETs","PMZB550UNE","http://www.nxp.com/products/mosfets/standard_mosfets/PMZB550UNE.html","http://www.nxp.com/documents/data_sheet/PMZB550UNE.pdf","SOT883B","DFN1006B-3","Production","N","1","30","","","670","900","150","0.59","0.1","0.6","0.31","","0.7","N","30.3","5.8","2015-03-25"
