"brand","Series","PartNo","DetailLink","dataSheet","Package version","@f [min]","@f [max]","ICC @VCC=@8V","Gain @VCC=8V","NF @VCC=8V","P1dB @VCC=8V","IP3O@VCC=8V","IP2O @VCC=8V","CTB @VCC=8V","CSO @VCC=8V","ICC @VCC=@5V","Gain @VCC=5V","NF @VCC=5V","P1dB @VCC=5V","IP3O @VCC=5V","IP2O @VCC=5V","CTB @VCC=5V","CSO @VCC=5V"
"nxp","RF---Amplifiers---Wideband amplifiers (75 Ohm)","BGA3012","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers_75_ohm/BGA3012.html","http://www.nxp.com/documents/data_sheet/BGA3012.pdf","SOT89","40","1006","110","12","3.1","215","400","600","-750","-600","70","12","2.9","180","360","540","-700","-540"
"nxp","RF---Amplifiers---Wideband amplifiers (75 Ohm)","BGA3015","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers_75_ohm/BGA3015.html","http://www.nxp.com/documents/data_sheet/BGA3015.pdf","SOT89","40","1006","110","15","2.5","225","400","600","-750","-600","70","15","2.3","180","360","550.0000000000001","-700","-550"
"nxp","RF---Amplifiers---Wideband amplifiers (75 Ohm)","BGA3018","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers_75_ohm/BGA3018.html","http://www.nxp.com/documents/data_sheet/BGA3018.pdf","SOT89","40","1006","120","18","2.1","235","400","600","-750","-600","75","18","2.2","180","360","540","-700","-540"
"nxp","RF---Amplifiers---Wideband amplifiers (75 Ohm)","BGA3021","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers_75_ohm/BGA3021.html","http://www.nxp.com/documents/data_sheet/BGA3021.pdf","SOT786-2","","","350","","","","470","850","","","","","","","","","",""
"nxp","RF---Amplifiers---Wideband amplifiers (75 Ohm)","BGA3022","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers_75_ohm/BGA3022.html","http://www.nxp.com/documents/data_sheet/BGA3022.pdf","SOT786-2","","","350","","","","470","850","","","","","","","","","",""
"nxp","RF---Amplifiers---Wideband amplifiers (75 Ohm)","BGA3023","http://www.nxp.com/products/rf/amplifiers/wideband_amplifiers_75_ohm/BGA3023.html","http://www.nxp.com/documents/data_sheet/BGA3023.pdf","SOT786-2","","","350","","","","465.0000000000001","850","","","","","","","","","",""
