"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name"
"nxp","Power management---Linear voltage regulators---Multiple output regulators","TDA3681J","http://www.nxp.com/products/power_management/linear_voltage_regulators/multiple_output_regulators/TDA3681J.html","http://www.nxp.com/documents/data_sheet/TDA3681.pdf","SOT243-3","DBS17P"
"nxp","Power management---Linear voltage regulators---Multiple output regulators","TDA3681JR","http://www.nxp.com/products/power_management/linear_voltage_regulators/multiple_output_regulators/TDA3681JR.html","http://www.nxp.com/documents/data_sheet/TDA3681.pdf","SOT475-1","DBS17P"
"nxp","Power management---Linear voltage regulators---Multiple output regulators","TDA3681TH","http://www.nxp.com/products/power_management/linear_voltage_regulators/multiple_output_regulators/TDA3681TH.html","http://www.nxp.com/documents/data_sheet/TDA3681.pdf","SOT418-3","HSOP20"
"nxp","Power management---Linear voltage regulators---Multiple output regulators","TDA3681ATH","http://www.nxp.com/products/power_management/linear_voltage_regulators/multiple_output_regulators/TDA3681ATH.html","http://www.nxp.com/documents/data_sheet/TDA3681A.pdf","SOT418-3","HSOP20"
"nxp","Power management---Linear voltage regulators---Multiple output regulators","TDA3683J","http://www.nxp.com/products/power_management/linear_voltage_regulators/multiple_output_regulators/TDA3683J.html","http://www.nxp.com/documents/data_sheet/TDA3683.pdf","SOT411-1","DBS23P"
