"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---EXCLUSIVE-NOR gates","74HC7266D","http://www.nxp.com/products/logic/gates/exclusive_nor_gates/74HC7266D.html","http://www.nxp.com/documents/data_sheet/74HC7266_CNV.pdf","Development","HC(T)","EXCLUSIVE-NOR gates","quad 2-input EXCLUSIVE-NOR gate","2.0 - 6.0","CMOS","+/- 5.2","11","4","low","-40~125","82","3.2","40","14","SO14","SOT108-1"
"nxp","Logic---Gates---EXCLUSIVE-NOR gates","HEF4077BT","http://www.nxp.com/products/logic/gates/exclusive_nor_gates/HEF4077BT.html","http://www.nxp.com/documents/data_sheet/HEF4077B.pdf","Production","HEF4000B","EXCLUSIVE-NOR gates","quad 2-input EXCLUSIVE-NOR gate","4.5 - 15.5","CMOS","+/- 2.4","30","4","medium","-40~85","93","10.0","51","14","SO14","SOT108-1"
