"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Description"
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM61B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM61B.html","http://www.nxp.com/documents/data_sheet/BCM61B.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM62B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM62B.html","http://www.nxp.com/documents/data_sheet/BCM62B.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM846BS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM846BS.html","http://www.nxp.com/documents/data_sheet/BCM846BS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM847BS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM847BS.html","http://www.nxp.com/documents/data_sheet/BCM847BV_BS_DS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM847BV","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM847BV.html","http://www.nxp.com/documents/data_sheet/BCM847BV_BS_DS.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM847DS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM847DS.html","http://www.nxp.com/documents/data_sheet/BCM847BV_BS_DS.pdf","SOT457","TSOP6","2.9 x 1.5 x 1",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM856BS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM856BS.html","http://www.nxp.com/documents/data_sheet/BCM856BS_BCM856DS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM856DS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM856DS.html","http://www.nxp.com/documents/data_sheet/BCM856BS_BCM856DS.pdf","SOT457","TSOP6","2.9 x 1.5 x 1",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM857BS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM857BS.html","http://www.nxp.com/documents/data_sheet/BCM857BV_BS_DS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Matched pair transistors","BCM857BV","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/matched_pair_transistors/BCM857BV.html","http://www.nxp.com/documents/data_sheet/BCM857BV_BS_DS.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55",""
