"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","互调失真 - IMD (Typ) (dBc) ","替代部件"
"FSL","射频---射频广播","MRFE6VP100H","MRFE6VP100HSR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6VP100H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-industrial-scientific-and-medical/1.8-2000-mhz-100-w-50-v-broadband-rf-power-ldmos-transistors:MRFE6VP100H?&fpsp=1&tab=Documentation_Tab#MRFE6VP100HSR5","Broadband RF Power LDMOS Transistor, 1.8-2000 MHz, 100 W, 50 V","-","-","1.8","2000","50","50","100","100 @ CW","1-Tone","27.2 @ 512","70","0.38","Unmatched","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","0.0000018 to 2000","-","10-YEARS APPLICATION LIFE","-","70","0 to 2000","-","-"
"FSL","射频---射频广播","MRFE6S9060NR1","MRFE6S9060NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9060NR1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/470-960-mhz-14-w-avg.-28-v-broadband-rf-power-ldmos-transistor:MRFE6S9060NR1?&fpsp=1&tab=Documentation_Tab#MRFE6S9060NR1","Single N-CDMA Lateral N-Channel Broadband RF Power MOSFET, 880 MHz, 14 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9060NR1');trackRFAnalytics('MRFE6S9060NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","960","28","47.8","60","14 @ AVG","N-CDMA","21.1 @ 880","33","0.88","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","470 to 960","-","10-YEARS APPLICATION LIFE","-","55","450 to 1100","-","-"
"FSL","射频---射频广播","MRFE6S9045NR1","MRFE6S9045NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9045NR1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-10-w-avg.-28-v-broadband-rf-power-ldmos-transistor:MRFE6S9045NR1?&fpsp=1&tab=Documentation_Tab#MRFE6S9045NR1","Single N-CDMA Lateral N-Channel Broadband RF Power MOSFET, 880 MHz, 10 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9045NR1');trackRFAnalytics('MRFE6S9045NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","865","960","28","46.5","45","10 @ AVG","N-CDMA","22.1 @ 880","32","1.1","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","865 to 960","-","10-YEARS APPLICATION LIFE","-","60","450 to 1000","-","-"
"FSL","射频---射频广播","MRFE6P3300H","MRFE6P3300HR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6P3300H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/470-860-mhz-300-w-32-v-lateral-n-channel-rf-power-mosfet:MRFE6P3300H?&fpsp=1&tab=Documentation_Tab#MRFE6P3300HR3","Lateral N-Channel RF Power MOSFET, 860 MHz, 300 W, 32 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6P3300HR3');trackRFAnalytics('MRFE6P3300HR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","860","32","54.8","300","270 @ PEP","2-Tone","20.4 @ 860","44.8","0.23","I/O","AB","LDMOS","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","470 to 860","-","10-YEARS APPLICATION LIFE","-","44.8","450 to 860","-28.8","-"
"FSL","射频---射频广播","MRF6VP3091N","MRF6VP3091NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6VP3091N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/470-860-mhz-90-w-50-v-broadband-rf-power-ldmos-transistors:MRF6VP3091N?&fpsp=1&tab=Documentation_Tab#MRF6VP3091NBR1","Broadband RF Power LDMOS Transistor, 470-860 MHz, 90 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6VP3091NBR1');trackRFAnalytics('MRF6VP3091NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","1215","50","49.5","90","18 @ AVG","OFDM","22 @ 860","28.5","0.79","Input","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","470 to 1215","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MRF6VP3091N","MRF6VP3091NBR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6VP3091N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/470-860-mhz-90-w-50-v-broadband-rf-power-ldmos-transistors:MRF6VP3091N?&fpsp=1&tab=Documentation_Tab#MRF6VP3091NBR5","Broadband RF Power LDMOS Transistor, 470-860 MHz, 90 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6VP3091NBR5');trackRFAnalytics('MRF6VP3091NBR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","1215","50","49.5","90","18 @ AVG","OFDM","22 @ 860","28.5","0.79","Input","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","470 to 1215","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MRF6VP3091N","MRF6VP3091NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6VP3091N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/470-860-mhz-90-w-50-v-broadband-rf-power-ldmos-transistors:MRF6VP3091N?&fpsp=1&tab=Documentation_Tab#MRF6VP3091NR1","Broadband RF Power LDMOS Transistor, 470-860 MHz, 90 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6VP3091NR1');trackRFAnalytics('MRF6VP3091NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","1215","50","49.5","90","18 @ AVG","OFDM","22 @ 860","28.5","0.79","Input","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","470 to 1215","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MRF6VP3091N","MRF6VP3091NR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6VP3091N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/470-860-mhz-90-w-50-v-broadband-rf-power-ldmos-transistors:MRF6VP3091N?&fpsp=1&tab=Documentation_Tab#MRF6VP3091NR5","Broadband RF Power LDMOS Transistor, 470-860 MHz, 90 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6VP3091NR5');trackRFAnalytics('MRF6VP3091NR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","1215","50","49.5","90","18 @ AVG","OFDM","22 @ 860","28.5","0.79","Input","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","470 to 1215","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","射频---射频广播","MRF6VP3450H","MRF6VP3450HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6VP3450H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/860-mhz-450-w-50-v-lateral-n-channel-broadband-rf-power-mosfets:MRF6VP3450H?&fpsp=1&tab=Documentation_Tab#MRF6VP3450HR5","Lateral N-Channel Broadband RF Power MOSFET, 860 MHz, 450 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6VP3450HR5');trackRFAnalytics('MRF6VP3450HR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","860","50","56.5","450","90 @ AVG","OFDM","22.5 @ 860","28","0.27","Input","AB","LDMOS","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","470 to 860","-","10-YEARS APPLICATION LIFE","-","28","470 to 860","-","-"
"FSL","射频---射频广播","MRF6VP3450H","MRF6VP3450HR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6VP3450H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-broadcast/860-mhz-450-w-50-v-lateral-n-channel-broadband-rf-power-mosfets:MRF6VP3450H?&fpsp=1&tab=Documentation_Tab#MRF6VP3450HR6","Lateral N-Channel Broadband RF Power MOSFET, 860 MHz, 450 W, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6VP3450HR6');trackRFAnalytics('MRF6VP3450HR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","470","860","50","56.5","450","90 @ AVG","OFDM","22.5 @ 860","28","0.27","Input","AB","LDMOS","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","470 to 860","-","10-YEARS APPLICATION LIFE","-","28","470 to 860","-","-"
