"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Min-Max) (V) ","P1dB (Typ) (dBm) ","应用","供电电压 (Typ) (V) ","PLC代码","输出截取点 (Typ) (dBm)  @ f (MHz)","三阶交调截取点 (Typ) (dBm) ","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","模具技术","旁路三阶交调截取点 (Typ) (dBm)  @ f (MHz)","LNA波段蜂窝应用","电源电流 (Typ) (mA) ","偏置","三阶输入交截点 (Typ) (dBm)  @ f (MHz)","输入P1dB (Typ) (dBm)  @  (MHz)","旁路增益 (dBm)  @ f (MHz)","噪声系数 (Typ) (dB)  @ f (MHz)","增益 (Typ) (dB)  @ f (MHz)","功率增益 (Typ) (dB)  @ f (MHz)","模式","待机电流 (Typ) (uA) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","输出功率 (Typ) (dBm)  @ f (MHz)","热阻 (Spec)(&#176;C/W)","类型","ACPR (Typ) (dBc)  @  (dBm)","测试信号","效率 (Typ) (%)  @  (dBm)","可选的测试信号","匹配","宽带效率 (Typ) (%) ","效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","P1dB (Typ) (W) "
"FSL","射频---射频低功率器件","MMZ09312B","MMZ09312BT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMZ09312B&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/linear-amplifiers/400-1000-mhz-31.7-db-29.6-dbm-ingap-hbt-linear-amplifier:MMZ09312B?&fpsp=1&tab=Documentation_Tab#MMZ09312BT1","InGaP HBT Linear Amplifier, 400-1000 MHz, 31.7 dB, 29.6 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMZ09312BT1');trackRFAnalytics('MMZ09312BT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","400","1000","3 to 5","29.6","-","-","2","-","42","-","QFN 12","12","PRODUCT RAPID GROWTH(2)","InGaP HBT","-","-","74","-","-","-","-","4 @ 900","31.7 @ 900","-","-","-","400 to 1000","-","10-YEARS APPLICATION LIFE","-","29.6 @ 900","56","AB","-50 @ 24","IS-95 CDMA","26 @ 24","LTE 10/20 MHz, ZigBee","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3H21NT1","MMG3H21NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3H21NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/0-6000-mhz-19.3-db-20.5-dbm-ingap-hbt-gpa:MMG3H21NT1?&fpsp=1&tab=Documentation_Tab#MMG3H21NT1","InGaP HBT GPA, 0-6000 MHz, 19.3 dB, 20.5 dBm","-","-","1","6000","5 to 5","20.5","-","5","4","-","37","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","90","-","-","-","-","5.5 @ 900","-","19.3 @ 900","-","-","0.000001 to 6000","-","10-YEARS APPLICATION LIFE","-","20.5 @ 900","38.6","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MML09231H","MML09231HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MML09231H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/700-1400-mhz-17.2-db-24.5-dbm-0.36-db-nf-e-phemt-lna:MML09231H?&fpsp=1&tab=Documentation_Tab#MML09231HT1","E-pHEMT LNA, 700-1400 MHz, 17.2 dB, 24.5 dBm, 0.36 dB  NF","-","-","700","1400","5 to 5","-","900 MHz ISM, GSM, LTE, W-CDMA","5","2","37.4 @ 900","-","-","QFN 8","8","PRODUCT RAPID GROWTH(2)","E-pHEMT","-","-","55","-","20.2 @ 900","-","-","0.36 @ 900","17.2 @ 900","-","-","-","700 to 1400","-","10-YEARS APPLICATION LIFE","-","24.5 @ 900","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MML09212H","MML09212HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MML09212H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/400-1400-mhz-37.5-db-22.8-dbm-0.52-db-nf-e-phemt-lna:MML09212H?&fpsp=1&tab=Documentation_Tab#MML09212HT1","E-pHEMT LNA, 400-1400 MHz, 37.5 dB, 22.8 dBm, 0.52 dB NF","-","-","400","1400","5 to 5","-","900 MHz ISM, GSM, LTE, W-CDMA","5","2","37 @ 900","-","-","QFN 12","12","PRODUCT RAPID GROWTH(2)","E-pHEMT","-","-","150","-","-0.5 @ 900","-","-","0.52 @ 900","37.5 @ 900","-","-","-","400 to 1400","-","10-YEARS APPLICATION LIFE","-","22.8 @ 900","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3015NT1","MMG3015NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3015NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/0-6000-mhz-15.5-db-20.5-dbm-ingap-hbt-gpa:MMG3015NT1?&fpsp=1&tab=Documentation_Tab#MMG3015NT1","InGaP HBT GPA, 0-6000 MHz, 15.5 dB, 20.5 dBm","-","-","1","6000","5 to 5","20.5","-","5","4","-","36","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","95","-","-","-","-","5.6 @ 900","-","15.5 @ 900","-","-","0.000001 to 6000","-","10-YEARS APPLICATION LIFE","-","20.5 @ 900","41.5","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3012NT1","MMG3012NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3012NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/0-6000-mhz-19-db-18.5-dbm-ingap-hbt-gpa:MMG3012NT1?&fpsp=1&tab=Documentation_Tab#MMG3012NT1","InGaP HBT GPA, 0-6000 MHz, 19 dB, 18.5 dBm","-","-","1","6000","5 to 5","18.5","-","5","4","-","34","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","70","-","-","-","-","3.8 @ 900","-","19 @ 900","-","-","0.000001 to 6000","-","10-YEARS APPLICATION LIFE","-","18.5 @ 900","85","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG38151B","MMG38151BT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG38151B&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/0-6000-mhz-bts-driver:MMG38151B?&fpsp=1&tab=Documentation_Tab#MMG38151BT1","InGaP HBT GPA, 0-6000 MHz, 19 dB, 16 dBm","-","-","1","6000","5 to 5","13.4","-","5","4","-","25","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","47","-","-","-","-","3.5 @ 3800","-","17.1 @ 3800","-","-","0.000001 to 6000","-","10-YEARS APPLICATION LIFE","-","-","57","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3005NT1","MMG3005NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3005NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/800-2200-mhz-15-db-30-dbm-ingap-hbt-gpa:MMG3005NT1?&fpsp=1&tab=Documentation_Tab#MMG3005NT1","InGaP HBT GPA, 800-2200 MHz, 15 dB, 30 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMG3005NT1');trackRFAnalytics('MMG3005NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","800","2200","5 to 5","30","-","5","4","-","47","-","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","480","-","-","-","-","5 @ 2140","-","15 @ 2140","-","-","800 to 2200","-","10-YEARS APPLICATION LIFE","-","30 @ 2140","21.5","A","-","-","-","-","I/O","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3014NT1","MMG3014N-EVKB1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3014NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/40-4000-mhz-19.5-db-25-dbm-ingap-hbt:MMG3014NT1?&fpsp=1&tab=Documentation_Tab#MMG3014N-EVKB1","Evaluation kit MMG3014N optimized for 1800-2200 MHz, used for Band 1","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY635.85 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3014NT1","MMG3014N-EVKB3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3014NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/40-4000-mhz-19.5-db-25-dbm-ingap-hbt:MMG3014NT1?&fpsp=1&tab=Documentation_Tab#MMG3014N-EVKB3","Evaluation Kit MMG3014N optimized for 1800-2200 MHz, used for Band 3","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY635.85 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
