"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Min-Max) (V) ","P1dB (Typ) (dBm) ","应用","供电电压 (Typ) (V) ","PLC代码","输出截取点 (Typ) (dBm)  @ f (MHz)","三阶交调截取点 (Typ) (dBm) ","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","模具技术","旁路三阶交调截取点 (Typ) (dBm)  @ f (MHz)","LNA波段蜂窝应用","电源电流 (Typ) (mA) ","偏置","三阶输入交截点 (Typ) (dBm)  @ f (MHz)","输入P1dB (Typ) (dBm)  @  (MHz)","旁路增益 (dBm)  @ f (MHz)","噪声系数 (Typ) (dB)  @ f (MHz)","增益 (Typ) (dB)  @ f (MHz)","功率增益 (Typ) (dB)  @ f (MHz)","模式","待机电流 (Typ) (uA) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","输出功率 (Typ) (dBm)  @ f (MHz)","热阻 (Spec)(&#176;C/W)","类型","ACPR (Typ) (dBc)  @  (dBm)","测试信号","效率 (Typ) (%)  @  (dBm)","可选的测试信号","匹配","宽带效率 (Typ) (%) ","效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","P1dB (Typ) (W) "
"FSL","射频---射频低功率器件","MMG3014NT1","MMG3014N-EVKB7","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3014NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/40-4000-mhz-19.5-db-25-dbm-ingap-hbt:MMG3014NT1?&fpsp=1&tab=Documentation_Tab#MMG3014N-EVKB7","Evaluation Kit MMG3014N optimized for 2300-2700 MHz, used for Band 7","-","-","-","-","-","-","-","-","1","-","-","1 @ CNY635.85 each","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3014NT1","MMG3014NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3014NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/40-4000-mhz-19.5-db-25-dbm-ingap-hbt:MMG3014NT1?&fpsp=1&tab=Documentation_Tab#MMG3014NT1","InGaP HBT GPA, 40-4000 MHz, 19.5 dB, 25 dBm","-","-","40","4000","5 to 5","25","-","5","4","-","40.5","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","135","-","-","-","-","5.7 @ 900","-","19.5 @ 900","-","-","40 to 4000","-","10-YEARS APPLICATION LIFE","-","25 @ 900","27.4","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3004NT1","MMG3004NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3004NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/400-2200-mhz-17-db-27-dbm-ingap-hbt-gpa:MMG3004NT1?&fpsp=1&tab=Documentation_Tab#MMG3004NT1","InGaP HBT GPA, 400-2200 MHz, 17 dB, 27 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMG3004NT1');trackRFAnalytics('MMG3004NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","400","2200","5 to 5","27","-","5","4","-","44","-","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","250","-","-","-","-","3.4 @ 2140","-","17 @ 2140","-","-","400 to 2200","-","10-YEARS APPLICATION LIFE","-","27 @ 2140","23.2","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3003NT1","MMG3003NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3003NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/40-3600-mhz-20-db-24-dbm-ingap-hbt-gpa:MMG3003NT1?&fpsp=1&tab=Documentation_Tab#MMG3003NT1","InGaP HBT GPA, 40-3600 MHz, 20 dB, 24 dBm","-","-","40","3600","6.2 to 6.2","24","-","6.2","4","-","40.5","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","180","-","-","-","-","4 @ 900","-","20 @ 900","-","-","40 to 3600","-","5-YEARS APPLICATION LIFE","-","24 @ 900","31.6","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG20271H9","MMG20271H9T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG20271H9&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/1500-2700-mhz-16-db-27.5-dbm-e-phemt-lna-gpa:MMG20271H9?&fpsp=1&tab=Documentation_Tab#MMG20271H9T1","E-pHEMT GPA/LNA, 1500-2700 MHz, 16 dB, 27.5 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMG20271H9T1');trackRFAnalytics('MMG20271H9T1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1500","2700","5 to 5","27.5","Cellular, PCS, LTE, WLAN, TD-SCDMA, W-CDMA","5","2","43.1 @ 2140","43.1","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","E-pHEMT","-","-","215","-","27.1 @ 2140","-","-","1.5 @ 2140","16 @ 2140","16 @ 2140","-","-","1500 to 2700","-","10-YEARS APPLICATION LIFE","-","27.5 @ 2140","29","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3006NT1","MMG3006NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3006NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/400-2400-mhz-17.5-db-33-dbm-ingap-hbt-gpa:MMG3006NT1?&fpsp=1&tab=Documentation_Tab#MMG3006NT1","InGaP HBT GPA, 400-2400 MHz, 17.5 dB, 33 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMG3006NT1');trackRFAnalytics('MMG3006NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","400","2400","5 to 5","33","-","5","4","-","49","-","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","850","-","-","-","-","6.6 @ 900","-","17.5 @ 900","-","-","400 to 2400","-","10-YEARS APPLICATION LIFE","-","33 @ 900","7.8","A","-","-","-","-","I/O","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG20271H","MMG20271HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG20271H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/1500-2700-mhz-16-db-27.5-dbm-e-phemt-lna-gpa:MMG20271H?&fpsp=1&tab=Documentation_Tab#MMG20271HT1","E-pHEMT GPA/LNA, 1500-2700 MHz, 16 dB, 27.5 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMG20271HT1');trackRFAnalytics('MMG20271HT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1500","2700","5 to 5","27.5","Cellular, PCS, LTE, WLAN, TD-SCDMA","5","3","42 @ 2140","42","-","QFN 12","12","PRODUCT STABLE GROWTH/MATURITY(3)","E-pHEMT","-","-","180","-","26 @ 2140","-","-","1.7 @ 2140","16 @ 2140","16 @ 2140","-","-","1500 to 2700","-","10-YEARS APPLICATION LIFE","-","27.5 @ 2140","38","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG20241H","MMG20241HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG20241H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/450-3800-mhz-17.8-db-2655-mhz-24.5-dbm-driver-amplifier:MMG20241H?&fpsp=1&tab=Documentation_Tab#MMG20241HT1","E-pHEMT GPA/LNA, 450-2800 MHz, 20 dB, 20 dBm","-","-","450","3800","5 to 5","23.9","CDMA, LTE, W-CDMA","5","2","-","38","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","E-pHEMT","-","-","78","-","-","-","-","2.1 @ 2655","-","17.8 @ 2655","-","-","450 to 3800","-","10-YEARS APPLICATION LIFE","-","23.9 @ 2655","57","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMDS25254H","MMDS25254HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMDS25254H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/advanced-doherty-alignment-module-adam/2300-2700-mhz-advanced-doherty-alignment-module-adam:MMDS25254H?&fpsp=1&tab=Documentation_Tab#MMDS25254HT1","ADAM - Advanced Doherty Alignment Module, 2400-2800 MHz","-","-","2300","2700","-","-","-","-","2","-","-","-","QFN 32","32","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMDS20254H","MMDS20254HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMDS20254H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/advanced-doherty-alignment-module-adam/1800-2200-mhz-advanced-doherty-alignment-module:MMDS20254H?&fpsp=1&tab=Documentation_Tab#MMDS20254HT1","ADAM - Advanced Doherty Alignment Module, 1800-2200 MHz","-","-","1800","2200","-","-","-","-","2","-","-","-","QFN 32","32","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMDS09254H","MMDS09254HT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMDS09254H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/advanced-doherty-alignment-module-adam/700-1000-mhz-advanced-doherty-alignment-module-adam:MMDS09254H?&fpsp=1&tab=Documentation_Tab#MMDS09254HT1","ADAM - Advanced Doherty Alignment Module, 700-1000 MHz","-","-","700","1000","-","-","-","-","2","-","-","-","QFN 32","32","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMA25312B","MMA25312BT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA25312B&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/linear-amplifiers/2300-2700-mhz-26-db-31-dbm-ingap-hbt-linear-amplifier:MMA25312B?&fpsp=1&tab=Documentation_Tab#MMA25312BT1","InGaP HBT Linear Amplifier, 2300-2700 MHz, 26 dB, 31 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMA25312BT1');trackRFAnalytics('MMA25312BT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","2300","2700","3 to 5","31","-","-","2","-","40","-","QFN 12","12","PRODUCT RAPID GROWTH(2)","InGaP HBT","-","-","124","-","-","-","-","3.8 @ 2500","26 @ 2500","-","-","-","2300 to 2700","-","10-YEARS APPLICATION LIFE","-","-","92","AB","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMA20312B","MMA20312BT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA20312B&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/linear-amplifiers/1800-2200-mhz-27.2-db-30.5-dbm-ingap-hbt-linear-amplifier:MMA20312B?&fpsp=1&tab=Documentation_Tab#MMA20312BT1","InGaP HBT Linear Amplifier, 1800-2200 MHz, 27.2 dB, 30.5 dBm","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMA20312BT1');trackRFAnalytics('MMA20312BT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","-","1800","2200","5 to 5","30.5","-","5","3","-","44.5","-","QFN 12","12","PRODUCT STABLE GROWTH/MATURITY(3)","InGaP HBT","-","-","70","-","-","-","-","3.3 @ 2140","27.2 @ 2140","-","-","-","1800 to 2200","-","10-YEARS APPLICATION LIFE","-","30.5 @ 2140","52","AB","-52 @ 17","TD-SCDMA","9.3 @ 17","W-CDMA","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13852","MC13852-434EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13852&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13852?&fpsp=1&tab=Documentation_Tab#MC13852-434EVK","MC13852 eSiGe LNA Evaluation Kit for 434 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13852","MC13852-900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13852&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13852?&fpsp=1&tab=Documentation_Tab#MC13852-900EVK","MC13852 eSiGe LNA Evaluation Kit for 900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13852","MC13852EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13852&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13852?&fpsp=1&tab=Documentation_Tab#MC13852EPR2","eSiGe LNA with Active, Bypass and Standby Modes, 400-1000 MHz Applications","-","-","400","1000","2.3 to 3","-","900 MHz ISM, CDMA, Cellular, LNAs, PCS, Smart Metering, RKE, UHF","2.75","2","7.9 @ 434, 13.1 @ 900","-","-","DFN-EP 8","8","PRODUCT RAPID GROWTH(2)","eSiGe BiCMOS","24.9 @ 434, 26.7 @ 900","900","4.4","External Rbias","-11.6 @ 434, -5.1 @ 900","-13.3 @ 434, -8.4 @ 900","-8.3 @ 434, -5.7 @ 900","1.6 @ 434, 1.18 @ 900","19.3 @ 434, 18.2 @ 900","-","Active, Bypass, Standby","4","400 to 1000","-","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13851","MC13851-1575EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13851&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13851?&fpsp=1&tab=Documentation_Tab#MC13851-1575EVK","MC13851 eSiGe LNA Evaluation Kit for 1575 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13851","MC13851-1960EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13851&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13851?&fpsp=1&tab=Documentation_Tab#MC13851-1960EVK","MC13851 eSiGe LNA Evaluation Kit for 1960 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13851","MC13851-2140EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13851&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13851?&fpsp=1&tab=Documentation_Tab#MC13851-2140EVK","MC13851 eSiGe LNA Evaluation Kit for 2140 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13851","MC13851-2400EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13851&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13851?&fpsp=1&tab=Documentation_Tab#MC13851-2400EVK","MC13851 eSiGe LNA Evaluation Kit for 2400 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13851","MC13851EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13851&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13851?&fpsp=1&tab=Documentation_Tab#MC13851EPR2","eSiGe LNA with Active, Bypass and Standby Modes, 1000-2500 MHz Applications","-","-","1000","2500","2.3 to 3","-","2.4 GHz ISM, Cellular, GPS, PCS, W-CDMA, WLAN","2.75","2","15.9 @ 1575, 17.1 @ 1960","-","-","DFN-EP 8","8","PRODUCT RAPID GROWTH(2)","eSiGe BiCMOS","26 @ 1575, 26 @ 1960","1960, 2140, 2400","3.8","External Rbias","-3.2 @ 1575, -1.5 @ 1960","-11.5 @ 1575, -10.5 @ 1960","-5.5 @ 1575, -5 @ 1960","1.27 @ 1575, 1.35 @ 1960","18.9 @ 1575, 18 @ 1960","-","Active, Bypass, Standby","4","1000 to 2500","-","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13850","MC13850-1960EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13850&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13850?&fpsp=1&tab=Documentation_Tab#MC13850-1960EVK","MC13850 SiGe LNA Evaluation Kit for 1900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13850","MC13850-2400EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13850&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13850?&fpsp=1&tab=Documentation_Tab#MC13850-2400EVK","MC13850 SiGe LNA Evaluation Kit for 2400 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13850","MC13850-470EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13850&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13850?&fpsp=1&tab=Documentation_Tab#MC13850-470EVK","MC13850 SiGe LNA Evaluation Kit for 470 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13850","MC13850-900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13850&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13850?&fpsp=1&tab=Documentation_Tab#MC13850-900EVK","MC13850 SiGe LNA Evaluation Kit for 900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13850","MC13850-900HEVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13850&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13850?&fpsp=1&tab=Documentation_Tab#MC13850-900HEVK","MC13850 SiGe LNA Evaluation Kit for 900 MHz Applications with Higher IP3","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MC13850","MC13850EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC13850&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/low-noise-amplifiers/general-purpose-low-noise-amplifier-with-bypass-switch:MC13850?&fpsp=1&tab=Documentation_Tab#MC13850EPR2","SiGe LNA with Active, Bypass and Standby Modes and Two IP3 Modes, MLP8 package,  400-2500 MHz","-","-","400","2500","2.3 to 3","4","WLAN, UHF, TPMS, RKE, Smart Metering, PCS, LNAs, Cellular, CDMA, 900 MHz ISM, 2.4 GHz ISM","2.7","2","16.4 @ 470, 24.5 @ 1960","25.3","-","DFN-EP 8","8","PRODUCT RAPID GROWTH(2)","SiGe BiCMOS","27.7 @ 470, 23.6 @ 1960","900, 1960, 2400","4.7, 9.9","Internal","-8 @ 470, 9.6 @ 1960","-14.8 @ 470, -10.9 @ 1960","-6.9 @ 470, -3.5 @ 1960","1.33 @ 470, 1.75 @ 1960","24.1 @ 470, 15 @ 1960","21.8 @ 900, 14.9 @ 1960","2 IP3 Modes, Active, Bypass, Standby","2","400 to 2500","-","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MMG3007NT1","MMG3007NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMG3007NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/0-6000-mhz-19-db-16-dbm-ingap-hbt-gpa:MMG3007NT1?&fpsp=1&tab=Documentation_Tab#MMG3007NT1","InGaP HBT GPA, 0-6000 MHz, 19 dB, 16 dBm","-","-","1","6000","5 to 5","16","-","5","4","-","30","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","InGaP HBT","-","-","47","-","-","-","-","3.8 @ 900","-","19 @ 900","-","-","0.000001 to 6000","-","10-YEARS APPLICATION LIFE","-","16 @ 900","77","A","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13916","MBC13916-1900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13916&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/general-purpose-sigec-rf-cascode-amplifier:MBC13916?&fpsp=1&tab=Documentation_Tab#MBC13916-1900EVK","MBC13916 SiGe LNA Evaluation Kit for 1900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13916","MBC13916-350EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13916&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/general-purpose-sigec-rf-cascode-amplifier:MBC13916?&fpsp=1&tab=Documentation_Tab#MBC13916-350EVK","MBC13916 SiGe LNA Evaluation Kit for 350 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频低功率器件","MBC13916","MBC13916-900EVK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MBC13916&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-low-power/general-purpose-amplifiers/general-purpose-sigec-rf-cascode-amplifier:MBC13916?&fpsp=1&tab=Documentation_Tab#MBC13916-900EVK","MBC13916 SiGe LNA Evaluation Kit for 900 MHz Applications","-","-","-","-","-","-","-","-","1","-","-","-","Hardware Only","-","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
