"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","压力检测类型","压力范围 最小值-最大值 (Min-Max) (kPa) ","压力等级 (Max) (kPa) ","压力等级 (Max) (psi) ","精度(% 误差率) (Max) (%) ","输出类型","移植","集成度","工作环境温度 (Min-Max) (°C) ","Z轴加速 (Min-Max) (g) ","Pressure offset accuracy (kPa)   (0C &lt;= Ta &lt;= 70C)","GPIOs","供电电压 (Typ) (V) ","Accelerometer (Z Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","PLC代码","感应轴","Accelerometer (X Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","封装类型和焊端数","Pin count","PLC描述","LF灵敏度 (Min-Max) (V) ","X轴加速 (Min-Max)","射频输出功率 (Min-Max) (dBm) ","MCU内部用户闪存 (Spec) (kByte) ","无铅","供电电压 (Min-Max) (V) ","加速度传感器输出","加速度特性","认证级别","RoHS","特性","灵敏度数字Z轴 (Typ) (Cnts/g) ","状态","替代部件"
"FSL","传感器---压力传感器","MPXx6115","MPXH6115AC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXH6115AC6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY33.51 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXHZ6115A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXHZ6115A6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY32.81 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXHZ6115A6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXHZ6115A6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY32.81 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXHZ6115AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXHZ6115AC6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Port, Reel","-","1000 @ CNY34.15 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXHZ6115AC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXHZ6115AC6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Port, Rail","-","1000 @ CNY34.15 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXV6115V6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXV6115V6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY41.08 each","Vacuum","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXV6115V6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXV6115V6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY41.08 each","Vacuum","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXV6115VC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXV6115VC6U","Pressure Sensor, 5V, 15/115kPa, SOP 8, Port, Rail","-","1000 @ CNY47.31 each","Vacuum","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MP3V5050DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MP3V5050DP","Pressure Sensor, 3V, 0/50kPa, SOP 8, Dual Port, Tray","-","1000 @ CNY34.72 each","Differential","0 to 50","50","7.25","2.5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MP3V5050GC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MP3V5050GC6T1","Pressure Sensor, 3V, 0/50kPa, SOP 8, Axial Port,  Reel","-","1000 @ CNY34.72 each","Gauge","0 to 50","50","7.25","2.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MP3V5050GC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MP3V5050GC6U","Pressure Sensor, 3V, 0/50kPa, SOP 8, Axial Port,  Rail","-","1000 @ CNY34.72 each","Gauge","0 to 50","50","7.25","2.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MP3V5050GP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MP3V5050GP","Pressure Sensor, 3V, 0/50kPa, SOP 8, Top Port, Tray","-","1000 @ CNY34.72 each","Gauge","0 to 50","50","7.25","2.5","Analog","Side Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MP3V5050VC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MP3V5050VC6U","Pressure Sensor, 3V, 0/50kPa, SOP 8, Vented Axial Port, Rail","-","1000 @ CNY36.43 each","Vacuum","0 to 50","50","7.25","2.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPVZ5050GW7U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPVZ5050GW7U","Pressure Sensor, 5V, 0/50kPa, SOP 8, Port, Rail","-","1000 @ CNY47.56 each","Gauge","0 to 50","50","7.5","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPX5050D","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPX5050D","Pressure Sensor, 5V, 0/50kPa, Sensor 6, Tray","-","1000 @ CNY52.65 each","Differential","0 to 50","50","7.25","2.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 6","6","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPX5050DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPX5050DP","Pressure Sensor, 5V, 0/50kPa, Sensor 6, Port, Tray","-","1000 @ CNY52.65 each","Differential","0 to 50","50","7.25","2.5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 6","6","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPX5050GP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPX5050GP","Pressure Sensor, 5V, 0/50kPa, Sensor 6, Port, Tray","-","1000 @ CNY52.65 each","Gauge","0 to 50","50","7.25","2.5","Analog","Side Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 6","6","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPX5050GP1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPX5050GP1","Pressure Sensor, 5V, 0/50kPa, Sensor 6, Port, Tray","-","1000 @ CNY52.65 each","Gauge","0 to 50","50","7.25","2.5","Analog","Side Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 6","6","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPXV5050DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPXV5050DP","Pressure Sensor, 5V, 0/50kPa, SOP 8, Dual Port, Tray","-","1000 @ CNY45.65 each","Differential","0 to 50","50","7.25","2.5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPXV5050GC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPXV5050GC6T1","Pressure Sensor, 5V, 0/50kPa, SOP 8, Port, Reel","-","1000 @ CNY40.31 each","Gauge","0 to 50","50","7.25","2.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPXV5050GC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPXV5050GC6U","Pressure Sensor, 5V, 0/50kPa, SOP 8, Port, Rail","-","1000 @ CNY40.31 each","Gauge","0 to 50","50","7.25","2.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPXV5050GP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPXV5050GP","Pressure Sensor, 5V, 0/50kPa, SOP 8, Port, Tray","-","1000 @ CNY45.65 each","Gauge","0 to 50","50","7.25","2.5","Analog","Side Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5050","MPXV5050VC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5050&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/-50-to-50kpa-differential-and-gauge-pressure-sensor:MPXx5050?&fpsp=1&tab=Documentation_Tab#MPXV5050VC6T1","Pressure Sensor, 5V, 0/50kPa, SOP 8, Reel","-","1000 @ CNY41.08 each","Absolute","0 to 50","50","7.25","2.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","5-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MP3V5010DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MP3V5010DP","Pressure Sensor, 3V, 0/10kPa, SOP 8, Dual Port, Tray","-","1000 @ CNY34.72 each","Differential","0 to 10","10","1.45","5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MP3V5010GC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MP3V5010GC6T1","Pressure Sensor, 3V, 0/10kPa, SOP 8, Reel","-","1000 @ CNY34.72 each","Gauge","0 to 10","10","1.45","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MP3V5010GC6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MP3V5010GC6U","Pressure Sensor, 3V, 0/10kPa, SOP 8, Axial Port,  Rail","-","1000 @ CNY34.72 each","Gauge","0 to 10","10","1.45","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPVZ5010G6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPVZ5010G6U","Pressure Sensor, 5V, 0/10kPa, SOP 8, Rail","-","1000 @ CNY47.56 each","Gauge","0 to 10","10","1.45","5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPVZ5010GW6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPVZ5010GW6U","Pressure Sensor, 5V, 0/10kPa, SOP 8, Port, Rail","-","1000 @ CNY47.56 each","Gauge","0 to 10","10","1.45","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPVZ5010GW7U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPVZ5010GW7U","Pressure Sensor, 5V, 0/10kPa, SOP 8, Port, Rail","-","1000 @ CNY47.56 each","Gauge","0 to 10","10","1.45","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPX5010DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPX5010DP","Pressure Sensor, 5V, 0/10kPa, Sensor 6, Port, Tray","-","1000 @ CNY41.97 each","Differential","0 to 10","10","1.45","5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 6","6","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPX5010GP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPX5010GP","Pressure Sensor, 5V, 0/10kPa, Sensor 6, Port, Tray","-","1000 @ CNY52.65 each","Gauge","0 to 10","10","1.45","5","Analog","Side Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","Sensor 6","6","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPX5010GS","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPX5010GS","Pressure Sensor, 5V, 0/10kPa, Port, Tray","-","1000 @ CNY52.65 each","Gauge","0 to 10","10","1.45","5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","6PIN UNIBDY STOVPIPE PRT","-","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPXV5010DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPXV5010DP","Pressure Sensor, 5V, 0/10kPa, SOP 8, Dual Port,Tray","-","1000 @ CNY45.65 each","Differential","0 to 10","10","1.45","5","Analog","Dual Side Ports","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx5010","MPXV5010G6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx5010&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-10-kpa/0-to-10kpa-differential-and-gauge-integrated-pressure-sensor:MPXx5010?&fpsp=1&tab=Documentation_Tab#MPXV5010G6U","Pressure Sensor, 5V, 0/10kPa, SOP 8, Rail","-","1000 @ CNY45.65 each","Gauge","0 to 10","10","1.45","5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
