"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","压力检测类型","压力范围 最小值-最大值 (Min-Max) (kPa) ","压力等级 (Max) (kPa) ","压力等级 (Max) (psi) ","精度(% 误差率) (Max) (%) ","输出类型","移植","集成度","工作环境温度 (Min-Max) (°C) ","Z轴加速 (Min-Max) (g) ","Pressure offset accuracy (kPa)   (0C &lt;= Ta &lt;= 70C)","GPIOs","供电电压 (Typ) (V) ","Accelerometer (Z Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","PLC代码","感应轴","Accelerometer (X Axis) offset accuracy (g) (0C &lt;= Ta &lt;= 70C)","封装类型和焊端数","Pin count","PLC描述","LF灵敏度 (Min-Max) (V) ","X轴加速 (Min-Max)","射频输出功率 (Min-Max) (dBm) ","MCU内部用户闪存 (Spec) (kByte) ","无铅","供电电压 (Min-Max) (V) ","加速度传感器输出","加速度特性","认证级别","RoHS","特性","灵敏度数字Z轴 (Typ) (Cnts/g) ","状态","替代部件"
"FSL","传感器---压力传感器","MPXx6250","MPXHZ6250A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXHZ6250A6T1","Pressure Sensor, 5V, 20/250kPa, SOP 8, Reel","-","1000 @ CNY31.92 each","Absolute","20 to 250","250","36","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6250","MPXHZ6250A6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXHZ6250A6U","Pressure Sensor, 5V, 20/250kPa, SOP 8, Rail","-","1000 @ CNY31.92 each","Absolute","20 to 250","250","36","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6250","MPXHZ6250AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6250&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/lpg-and-cng-gas-15-to-400-kpa/absolute-integrated-pressure-sensor-15-to-250kpa:MPXx6250?&fpsp=1&tab=Documentation_Tab#MPXHZ6250AC6T1","Pressure Sensor, 5V, 20/250kPa, SOP 8, Reel","-","1000 @ CNY32.49 each","Absolute","20 to 250","250","36","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx53","MPX53D","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx53&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/differential-and-gauge-uncompensated-pressure-sensor-0-to-50kpa:MPXx53?&fpsp=1&tab=Documentation_Tab#MPX53D","Pressure Sensor, 3V, 0/50kPa, Sensor 4, Rail","-","1000 @ CNY28.42 each","Differential","0 to 50","50","7","-","Analog","Unported","Uncompensated","-40 to 125","-","-","-","3","-","4","-","-","Sensor 4","4","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","1 to 6","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx53","MPX53DP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx53&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/differential-and-gauge-uncompensated-pressure-sensor-0-to-50kpa:MPXx53?&fpsp=1&tab=Documentation_Tab#MPX53DP","Pressure Sensor, 3V, 0/50kPa, Sensor 4, Dual Port, Rail","-","1000 @ CNY28.42 each","Differential","0 to 50","50","7","-","Analog","Dual Side Ports","Uncompensated","-40 to 125","-","-","-","3","-","4","-","-","Sensor 4","4","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","1 to 6","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx53","MPX53GP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx53&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/differential-gauge-up-to-115-kpa/differential-and-gauge-uncompensated-pressure-sensor-0-to-50kpa:MPXx53?&fpsp=1&tab=Documentation_Tab#MPX53GP","Pressure Sensor, 3V, 0/50kPa, Sensor 4, Port, Rail","-","1000 @ CNY28.42 each","Gauge","0 to 50","50","7","-","Analog","Side Port","Uncompensated","-40 to 125","-","-","-","3","-","4","-","-","Sensor 4","4","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","1 to 6","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MP3H6115A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MP3H6115A6T1","Pressure Sensor, 3V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY36.31 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MP3H6115A6U","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MP3H6115A6U","Pressure Sensor, 3V, 15/115kPa, SOP 8, Rail","-","1000 @ CNY36.31 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MP3H6115AC6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MP3H6115AC6T1","Pressure Sensor, 3V, 15/115kPa, SOP 8, Port, Reel","-","1000 @ CNY37.64 each","Absolute","15 to 115","115","16.7","1.5","Analog","Axial Port","Integrated","-40 to 125","-","-","-","3","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","2.7 to 3.3","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-"
"FSL","传感器---压力传感器","MPXx6115","MPXA6115A6T1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPXx6115&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/pressure-sensors/barometric-pressure-15-to-115-kpa/-115-to-115kpa-gauge-and-absolute-pressure-sensor:MPXx6115?&fpsp=1&tab=Documentation_Tab#MPXA6115A6T1","Pressure Sensor, 5V, 15/115kPa, SOP 8, Reel","-","1000 @ CNY39.74 each","Absolute","15 to 115","115","16.7","1.5","Analog","Unported","Integrated","-40 to 125","-","-","-","5","-","4","-","-","SOP 8","8","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","4.75 to 5.25","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-"
