"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","宽带效率 (Typ) (%) ","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","频率 (Min-Max) (MHz) ","宽带频率 (Min-Max) (MHz) (f)","互调失真 - IMD (Typ) (dBc) ","无铅","认证级别","RoHS","应用","替代部件"
"FSL","射频---射频(军用)","MMRF5015N","MMRF5015NR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF5015N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1-2700-mhz-125-w-cw-50-v-wideband-rf-power-gan-on-sic-transistor:MMRF5015N?&fpsp=1&tab=Documentation_Tab#MMRF5015NR5","Wideband RF Power GaN Transistor 1-2700 MHz, 125 W CW, 50 V","-","1","2700","50","51","125","125 @ CW","CW","16 @ 2500","64.2","0.66","Input","AB","GaN","-","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","1 to 2700","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF5014H","MMRF5014HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF5014H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1-2700-mhz-125-w-cw-50-v-wideband-rf-power-gan-on-sic-transistor:MMRF5014H?&fpsp=1&tab=Documentation_Tab#MMRF5014HR5","WIDEBAND RF POWER GaN ON SiC TRANSISTOR, 1-2700 MHz, 125 W CW, 50 V","-","1","2700","50","51","125","125 @ CW","CW","16 @ 2500","64.2","0.86","Input","AB","GaN","-","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","1 to 2700","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF5011N","PMRF5011N","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF5011N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1-3000-mhz-12-w-cw-28-v-wideband-rf-power-gan-on-sic-transistor:MMRF5011N?&fpsp=1&tab=Documentation_Tab#PMRF5011N","1-3000 MHz, 12 W, 28 V, Wideband RF Power GaN on SiC Transistor","-","1","3000","28","40.8","12","12 @ CW","CW","13 @ 2500","40","-","Input","AB","GaN","-","0","-","High Pwr RF SMT 9","9","PRODUCT INTRODUCTION PENDING(0)","1 to 3000","-","-","-","-","-","-","-"
"FSL","射频---射频(军用)","MMRF2006N","MMRF2006NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF2006N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/1805-2170-mhz-20-w-cw-28-v-rf-ldmos-wideband-integrated-power-amplifier:MMRF2006N?&fpsp=1&tab=Documentation_Tab#MMRF2006NT1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1805-2170 MHz, 2.4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF2006NT1');trackRFAnalytics('MMRF2006NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","43","20","2.4 @ AVG","W-CDMA","32.6 @ 2140","17","1.9","I/O","AB","LDMOS","-","2","-","QFN-EP 24","24","PRODUCT RAPID GROWTH(2)","1805 to 2170","-","-","-","10-YEARS APPLICATION LIFE","-","W-CDMA","-"
"FSL","射频---射频(军用)","MMRF2004NB","MMRF2004NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF2004NB&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/general-purpose-drivers/2500-2700-mhz-4-w-avg.-28-v-wimax-rf-ldmos-wideband-integrated-power-amplifier:MMRF2004NB?&fpsp=1&tab=Documentation_Tab#MMRF2004NBR1","WiMax RF LDMOS Wideband Integrated Power Amplifier, 2500-2700 MHz, 4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF2004NBR1');trackRFAnalytics('MMRF2004NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","44","25","4 @ AVG","WiMAX","28.5 @ 2700","17","1.4","I/O","AB","LDMOS","17","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","2500 to 2700","2700 to 2700","-","-","10-YEARS APPLICATION LIFE","-","WiMAX","-"
"FSL","射频---射频(军用)","MMRF1320N","MMRF1320GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1320N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-150-w-cw-50-v-rf-power-ldmos-transistor:MMRF1320N?&fpsp=1&tab=Documentation_Tab#MMRF1320GNR1","WIDEBAND RF POWER LDMOS TRANSISTORS, 1.8--600 MHz, 150 W CW, 50 V","-","1.8","600","50","51.8","150","150 @ CW","CW","26.3 @ 230","72","0.21","Unmatched","AB","LDMOS","-","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1320N","MMRF1320NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1320N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-150-w-cw-50-v-rf-power-ldmos-transistor:MMRF1320N?&fpsp=1&tab=Documentation_Tab#MMRF1320NR1","WIDEBAND RF POWER LDMOS TRANSISTORS, 1.8--600 MHz, 150 W CW, 50 V","-","1.8","600","50","51.8","150","150 @ CW","CW","26.3 @ 230","72","0.21","Unmatched","AB","LDMOS","-","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF2007N","MMRF2007GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF2007N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/136-940-mhz-35-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MMRF2007N?&fpsp=1&tab=Documentation_Tab#MMRF2007GNR1","RF LDMOS Wideband Integrated Power Amplifier, 850-940 MHz, 35 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF2007GNR1');trackRFAnalytics('MMRF2007GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","136","940","28","49","79","35 @ AVG","2-Tone","32.6 @ 940","42.1","0.6","I/O","AB","LDMOS","-","3","-","High Pwr RF SMT 17","17","PRODUCT STABLE GROWTH/MATURITY(3)","136 to 940","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF2007N","MMRF2007NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF2007N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/136-940-mhz-35-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MMRF2007N?&fpsp=1&tab=Documentation_Tab#MMRF2007NR1","RF LDMOS Wideband Integrated Power Amplifier, 850-940 MHz, 35 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF2007NR1');trackRFAnalytics('MMRF2007NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","136","940","28","49","79","35 @ AVG","2-Tone","32.6 @ 940","42.1","0.6","I/O","AB","LDMOS","-","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","136 to 940","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1318N","MMRF1318NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1318N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/10-600-mhz-300-w-cw-50-v-broadband-rf-power-ldmos-transistor:MMRF1318N?&fpsp=1&tab=Documentation_Tab#MMRF1318NR1","Broadband RF Power LDMOS Transistor 10-600 MHz, 300 W CW, 50 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MMRF1318NR1');trackRFAnalytics('MMRF1318NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","10","600","50","54.8","300","300 @ CW","CW","22 @ 450","60","0.24","Unmatched","AB","LDMOS","-","4","-","High Pwr RF SMT 5","5","PRODUCT MATURITY/SATURATION(4)","10 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1316N","MMRF1316NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1316N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-300-w-cw-50-v-wideband-rf-power-ldmos-transistor:MMRF1316N?&fpsp=1&tab=Documentation_Tab#MMRF1316NR1","WIDEBAND RF POWER LDMOS TRANSISTOR, 1.8--600 MHz, 300 W CW, 50 V","-","1.8","600","50","54.8","300","300 @ CW","CW","25 @ 230","70","0.22","Unmatched","AB","LDMOS","-","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1310H","MMRF1310HR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1310H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-300-w-cw-50-v-broadband-rf-power-mosfets:MMRF1310H?&fpsp=1&tab=Documentation_Tab#MMRF1310HR5","Lateral N-Channel Broadband RF Power MOSFET, 1.8-600 MHz, 300 W, 50 V","-","1.8","600","50","54.8","300","300 @ CW","1-Tone","25 @ 130","80","0.19","Unmatched","AB","LDMOS","-","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","射频---射频(军用)","MMRF1310H","MMRF1310HSR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMRF1310H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-military/radio-communications/1.8-600-mhz-300-w-cw-50-v-broadband-rf-power-mosfets:MMRF1310H?&fpsp=1&tab=Documentation_Tab#MMRF1310HSR5","Lateral N-Channel Broadband RF Power MOSFET, 1.8-600 MHz, 300 W, 50 V","-","1.8","600","50","54.8","300","300 @ CW","1-Tone","25 @ 130","80","0.19","Unmatched","AB","LDMOS","-","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","1.8 to 600","-","-","-","10-YEARS APPLICATION LIFE","-","-","-"
