"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Rail to Rail","Channels","VCC Min (V)","VCC Max (V)","IO Min (mA)","IO Typ (mA)","ID Typ (mA)","GBW Typ (MHz)","SR Typ (V/uS)","VIO Max (mV)","Package Type"
"on","放大器和比较器---运算放大器","LM2904V","LM2904VDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904VDR2G","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM2904V","LM2904VNG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2904VNG","http://www.onsemi.com/pub/Collateral/LM358-D.PDF","Operational Amplifier, Single Supply, Dual","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Dual","No","2","3","32","20","40","1.5","1","0.6","7","Micro8™
PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","LM324","LM324DG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324DG","http://www.onsemi.com/pub/Collateral/LM324-D.PDF","Operational Amplifier, Single Supply, Quad","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","20","40","1.4","1","0.6","7","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LM324","LM324DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324DR2G","http://www.onsemi.com/pub/Collateral/LM324-D.PDF","Operational Amplifier, Single Supply, Quad","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","20","40","1.4","1","0.6","7","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LM324","LM324DTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324DTBG","http://www.onsemi.com/pub/Collateral/LM324-D.PDF","Operational Amplifier, Single Supply, Quad","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","20","40","1.4","1","0.6","7","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LM324","LM324DTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324DTBR2G","http://www.onsemi.com/pub/Collateral/LM324-D.PDF","Operational Amplifier, Single Supply, Quad","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","20","40","1.4","1","0.6","7","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LM324","LM324NG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324NG","http://www.onsemi.com/pub/Collateral/LM324-D.PDF","Operational Amplifier, Single Supply, Quad","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","20","40","1.4","1","0.6","7","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LM324S","LM324SNG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM324SNG","http://www.onsemi.com/pub/Collateral/LM324S-D.PDF","Operational Amplifier, Single Supply, Quad, Bipolar Value Line - Quad Channel Op Amp","Pb-free
Halide free","Active","Operational Amplifier, Single Supply, Quad","No","4","3","32","5","20","1.2","null",,"9","PDIP-14"
"on","放大器和比较器---运算放大器","LM358S","LM358SNG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM358SNG","http://www.onsemi.com/pub/Collateral/LM358S-D.PDF","Single Supply Dual Operational Amplifiers, Bipolar Value Line - Dual Channel Operational Amplifier","Pb-free
Halide free","Active","Single Supply Dual Operational Amplifiers","No","2","3","32","10","30","0.5",,,"10","PDIP-8"
"on","放大器和比较器---运算放大器","LM7301","LM7301SN1T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM7301SN1T1G","http://www.onsemi.com/pub/Collateral/LM7301-D.PDF","32V Rail-to-Rail Input & Output, 4MHz, Single Op-Amp, SINGLE, Rail to Rail, 4MHZ OPAMP","Pb-free
Halide free","Active","32V Rail-to-Rail Input & Output, 4MHz, Single Op-Amp","Input/Output","1","1.8","32","5.5
8","9.8
10.5",,"4","1.25","6","TSOP-5 / SOT-23-5"
"on","放大器和比较器---运算放大器","LMV301","LMV301SN3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV301SN3T1G","http://www.onsemi.com/pub/Collateral/LMV301-D.PDF","Ultra Low Input Bias Current, Rail-Rail Output, Single Op-Amp","Pb-free
Halide free","Active","Ultra Low Input Bias Current, Rail-Rail Output, Single Op-Amp","Output","1","1.8","5.5","10","60","0.2","1","1","9","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","放大器和比较器---运算放大器","LMV301","LMV301SQ3T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV301SQ3T2G","http://www.onsemi.com/pub/Collateral/LMV301-D.PDF","Ultra Low Input Bias Current, Rail-Rail Output, Single Op-Amp","Pb-free
Halide free","Active","Ultra Low Input Bias Current, Rail-Rail Output, Single Op-Amp","Output","1","1.8","5.5","10","60","0.2","1","1","9","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","放大器和比较器---运算放大器","LMV324","LMV324DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV324DR2G","http://www.onsemi.com/pub/Collateral/LMV321-LMV358-LMV324-D.PDF","Ultra Low Cost & Power, Rail-Rail Output, Quad Op-Amp","Pb-free
Halide free","Active","Ultra Low Cost & Power, Rail-Rail Output, Quad Op-Amp","Output","4","2.5","5.5","10","160","0.08","1","1","9","SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LMV324","LMV324DTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV324DTBR2G","http://www.onsemi.com/pub/Collateral/LMV321-LMV358-LMV324-D.PDF","Ultra Low Cost & Power, Rail-Rail Output, Quad Op-Amp","Pb-free
Halide free","Active","Ultra Low Cost & Power, Rail-Rail Output, Quad Op-Amp","Output","4","2.5","5.5","10","160","0.08","1","1","9","SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","LMV821","LMV821SQ3T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV821SQ3T2G","http://www.onsemi.com/pub/Collateral/LMV821-D.PDF","Low Power, Rail-Rail Output, High Output Drive, Large CL stable, Single Op-Amp","Pb-free
Halide free","Active","Low Power, Rail-Rail Output, High Output Drive, Large CL stable, Single Op-Amp","Output","1","2.5","5.5","12","26","0.3","5","2","3.5","SC-88A-5 / SC-70-5 / SOT-323-5"
"on","放大器和比较器---运算放大器","LMV931","LMV931SN3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV931SN3T1G","http://www.onsemi.com/pub/Collateral/LMV931-D.PDF","Low Cost, Low Power 75µA, Rail to Rail I/O, Single Op-Amp","Pb-free
Halide free","Active","Low Cost, Low Power 75µA, Rail to Rail I/O, Single Op-Amp","Input/Output","1","1.8","5","68","80","0.075","1.4","0.48","6","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","放大器和比较器---运算放大器","LMV931","LMV931SQ3T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV931SQ3T2G","http://www.onsemi.com/pub/Collateral/LMV931-D.PDF","Low Cost, Low Power 75µA, Rail to Rail I/O, Single Op-Amp","Pb-free
Halide free","Active","Low Cost, Low Power 75µA, Rail to Rail I/O, Single Op-Amp","Input/Output","1","1.8","5","68","80","0.075","1.4","0.48","6","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","放大器和比较器---运算放大器","LMV982","LMV982MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=LMV982MUTAG","http://www.onsemi.com/pub/Collateral/LMV981-D.PDF","Low Cost, Low Power 1µA, Rail to Rail I/O, Dual Op-Amp with Shutdown","Pb-free
Halide free","Active"," Low Cost, Low Power 1µA, Rail to Rail I/O, Dual Op-Amp with Shutdown  ","Input/Output","2","1.8","5","58","80","0.001","1.5","0.48","7.5","UQFN-10"
"on","放大器和比较器---运算放大器","MC33071","MC33071ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33071ADG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","Pb-free
Halide free","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","No","1","3","44","10","30","1.9","4.5","10","5","SOIC-8"
"on","放大器和比较器---运算放大器","MC33071","MC33071ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33071ADR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","Pb-free
Halide free","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","No","1","3","44","10","30","1.9","4.5","10","5","SOIC-8"
"on","放大器和比较器---运算放大器","MC33071","MC33071DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33071DG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","Pb-free
Halide free","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","No","1","3","44","10","30","1.9","4.5","10","5","SOIC-8"
"on","放大器和比较器---运算放大器","MC33071","MC33071DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33071DR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","Pb-free
Halide free","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Single","No","1","3","44","10","30","1.9","4.5","10","5","SOIC-8"
"on","放大器和比较器---运算放大器","MC33074","MC33074ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074ADG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074ADR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074ADTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074ADTBG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074ADTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074ADTBR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074APG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074APG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074DG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074DR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074DTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074DTBG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074DTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074DTBR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","MC33074PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33074PG","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","NCV33074ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV33074ADR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","NCV33074ADTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV33074ADTBR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33074","NCV33074DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV33074DR2G","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Quad","No","4","3","44","10","30","7.6","4.5","10","3","PDIP-14
SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33078","MC33078DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33078DG","http://www.onsemi.com/pub/Collateral/MC33078-D.PDF","Operational Amplifier, Low Noise, Dual","Pb-free
Halide free","Active","Operational Amplifier, Low Noise, Dual","No","2","5","18","15","29","4","16","7","2","PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","MC33078","MC33078DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33078DR2G","http://www.onsemi.com/pub/Collateral/MC33078-D.PDF","Operational Amplifier, Low Noise, Dual","Pb-free
Halide free","Active","Operational Amplifier, Low Noise, Dual","No","2","5","18","15","29","4","16","7","2","PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","MC33078","MC33078PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33078PG","http://www.onsemi.com/pub/Collateral/MC33078-D.PDF","Operational Amplifier, Low Noise, Dual","Pb-free
Halide free","Active","Operational Amplifier, Low Noise, Dual","No","2","5","18","15","29","4","16","7","2","PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","MC33078","NCV33078DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV33078DR2G","http://www.onsemi.com/pub/Collateral/MC33078-D.PDF","Operational Amplifier, Low Noise, Dual","Pb-free
Halide free","Active","Operational Amplifier, Low Noise, Dual","No","2","5","18","15","29","4","16","7","2","PDIP-8
SOIC-8"
"on","放大器和比较器---运算放大器","MC33171","MC33171DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33171DG","http://www.onsemi.com/pub/Collateral/MC33171-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Single","Pb-free
Halide free","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Single","No","1","3","44","3","5","0.22","1.8","2.1","4.5","SOIC-8"
"on","放大器和比较器---运算放大器","MC33171","MC33171DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33171DR2G","http://www.onsemi.com/pub/Collateral/MC33171-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Single","Pb-free
Halide free","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Single","No","1","3","44","3","5","0.22","1.8","2.1","4.5","SOIC-8"
"on","放大器和比较器---运算放大器","MC33174","MC33174DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33174DG","http://www.onsemi.com/pub/Collateral/MC33171-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad, Quad; T","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad","No","4","3","44","3","5","0.88","1.8","2.1","4.5","SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33174","MC33174DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33174DR2G","http://www.onsemi.com/pub/Collateral/MC33171-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad, Quad; T","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad","No","4","3","44","3","5","0.88","1.8","2.1","4.5","SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33174","MC33174DTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33174DTBG","http://www.onsemi.com/pub/Collateral/MC33171-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad, Quad; T","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad","No","4","3","44","3","5","0.88","1.8","2.1","4.5","SOIC-14
TSSOP-14"
"on","放大器和比较器---运算放大器","MC33174","MC33174DTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33174DTBR2G","http://www.onsemi.com/pub/Collateral/MC33171-D.PDF","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad, Quad; T","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Operational Amplifier, Single Supply 3.0 V to 44 V, Low Power, Quad","No","4","3","44","3","5","0.88","1.8","2.1","4.5","SOIC-14
TSSOP-14"
