"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","Configuration","V(BR)DSS Min (V)","VGS Max (V)","VGS(th) Max (V)","ID Max (A)","PD Max (W)","rDS(on) Max @ VGS = 2.5 V  (mOhms)","rDS(on) Max @ VGS = 4.5 V  (mOhms)","rDS(on) Max @ VGS = 10 V  (mOhms)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Ciss Typ (pF)","Coss Typ (pF)","Crss Typ (pF)","Package Type"
"on","IGBT 和 FET---MOSFET","ECH8651R","ECH8651R-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8651R-TL-H","http://www.onsemi.com/pub/Collateral/ECH8651R-D.PDF","N-Channel Power MOSFET, 24V, 10A, 14mΩ, Dual ECH8","Pb-free
Halide free","Active","N-Channel Power MOSFET, 24V, 10A, 14mΩ, Dual ECH8","N-Channel","Dual","24","12","1.3","10","1.4","21","14",,,"24","4.5",,,,,"SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8654","ECH8654-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8654-TL-H","http://www.onsemi.com/pub/Collateral/ENA0981-D.PDF","P-Channel Power MOSFET, -20V, -5A, 38mΩ, Dual ECH8","Pb-free
Halide free","Active","P-Channel Power MOSFET, -20V, -5A, 38mΩ, Dual ECH8","P-Channel","Dual","-20","10","-1.3","-5","1.3","58","38",,"11",,"2.8",,"960","180","140","SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8657","ECH8657-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8657-TL-H","http://www.onsemi.com/pub/Collateral/ECH8657-D.PDF","N-Channel Power MOSFET, 35V, 4.5A, 59mΩ, Dual ECH8","Pb-free
Halide free","Active","N-Channel Power MOSFET, 35V, 4.5A, 59mΩ, Dual ECH8","N-Channel","Dual","35","20","2.6","4.5","1.3",,"119","59",,"4.6","1",,"230","37","25","SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8660","ECH8660-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8660-TL-H","http://www.onsemi.com/pub/Collateral/ECH8660-D.PDF","Power MOSFET, -30V, -4.5A, 59mΩ, Complementary Dual ECH8","Pb-free
Halide free","Active","Power MOSFET, -30V, -4.5A, 59mΩ, Complementary Dual ECH8","Complementary","Dual","30","20","2.6","4.5","1.3",,"119","59",,"4.4","0.64",,"240","45","30","SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8662","ECH8662-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8662-TL-H","http://www.onsemi.com/pub/Collateral/ECH8662-D.PDF","N-Channel Power MOSFET, 40V, 6.5A, 30mΩ, Dual ECH8","Pb-free
Halide free","Active","N-Channel Power MOSFET, 40V, 6.5A, 30mΩ, Dual ECH8","N-Channel","Dual","40","10","1.3","6.5","1.3","42","30",,"12",,"3.4",,"1130","77","60","SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8667","ECH8667-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8667-TL-H","http://www.onsemi.com/pub/Collateral/ECH8667-D.PDF","P-Channel Power MOSFET, -30V, -5.5A, 39mΩ, Dual ECH8","Pb-free
Halide free","Active","P-Channel Power MOSFET, -30V, -5.5A, 39mΩ, Dual ECH8","P-Channel","Dual","-30","20","-2.6","-5.5","1.3",,"77","39",,"13","3.2",,"600","145","110","SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8690","ECH8690-TL-H","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8690-TL-H","http://www.onsemi.com/pub/Collateral/ENA2185-D.PDF","Power MOSFET, 60V, 4.7A, 55mΩ, -60V, -3.5A, 94mΩ, Complememtary Dual ECH8","Pb-free
Halide free","Active","Power MOSFET, 60V, 4.7A, 55mΩ, -60V, -3.5A, 94mΩ, Complememtary Dual ECH8","Complementary","Dual","60","20","2.6","4.7","1.5",,"74","55",,"18","2.8",,"955","58","45","SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","ECH8695R","ECH8695R-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=ECH8695R-TL-W","http://www.onsemi.com/pub/Collateral/ENA2314-D.PDF","N-Channel Power MOSFET, 24V, 11A, 9.1mΩ, Dual ECH8 Common Drain","Pb-free
Halide free","Active","N-Channel Power MOSFET, 24V, 11A, 9.1mΩ, Dual ECH8 Common Drain","N-Channel","Dual","24","12.5","1.3","11","1.4","13.3","9.1",,"10",,"1.5",,,,,"SOT-28 FL / ECH-8"
"on","IGBT 和 FET---MOSFET","EFC4619R","EFC4619R-TR","http://www.onsemi.cn/PowerSolutions/product.do?id=EFC4619R-TR","http://www.onsemi.com/pub/Collateral/ENA2179-D.PDF","N-Channel Power MOSFET, 24V, 6A, 23mΩ Dual EFCP","Pb-free
Halide free","Active","N-Channel Power MOSFET, 24V, 6A, 23mΩ Dual EFCP","N-Channel","Dual","24","12","1.3","6","1.6","35","23",,"21.7",,,,,,,"XFLGA-4"
"on","IGBT 和 FET---MOSFET","EFC4626R","EFC4626R-TR","http://www.onsemi.cn/PowerSolutions/product.do?id=EFC4626R-TR","http://www.onsemi.com/pub/Collateral/ENA2292-D.PDF","N-Channel Power MOSFET, 24V, 5A, 46.2mΩ, Dual EFCP","Pb-free
Halide free","Active","N-Channel Power MOSFET, 24V, 5A, 46.2mΩ, Dual EFCP","N-Channel","Dual","24","10","1.3","5","1.4","72.4","46.2",,"7.5",,,,,,,"CSP-4"
