"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","IC Continuous (A)","V(BR)CEO Min (V)","VCE(sat) Max (V)","hFE Min (k)","hFE Max (k)","fT Min (MHz)","Package Type"
"on","双极晶体管---达林顿晶体管","2N6034","2N6034G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6034G","http://www.onsemi.com/pub/Collateral/2N6035-D.PDF","4.0 A, 40 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 40 V PNP Darlington Bipolar Power Transistor","PNP","4","40","2","0.75","15","25","TO-225-3"
"on","双极晶体管---达林顿晶体管","2N6036","2N6036G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6036G","http://www.onsemi.com/pub/Collateral/2N6035-D.PDF","4.0 A, 80 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 80 V PNP Darlington Bipolar Power Transistor","PNP","4","80","2","0.75","15","25","TO-225-3"
"on","双极晶体管---达林顿晶体管","2N6039","2N6039G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6039G","http://www.onsemi.com/pub/Collateral/2N6035-D.PDF","4.0 A, 80 V NPN Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 80 V NPN Darlington Bipolar Power Transistor","NPN","4","80","2","0.75","15","25","TO-225-3"
"on","双极晶体管---达林顿晶体管","2N6042","2N6042G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6042G","http://www.onsemi.com/pub/Collateral/2N6040-D.PDF","8.0 A, 100 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","8.0 A, 100 V PNP Darlington Bipolar Power Transistor","PNP","8","100","2","1","20","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","2N6045","2N6045G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6045G","http://www.onsemi.com/pub/Collateral/2N6040-D.PDF","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","8.0 A, 100 V NPN Darlington Bipolar Power Transistor","NPN","8","100","2","1","20","4","TO-220-3"
"on","双极晶体管---达林顿晶体管","2N6284","2N6284G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6284G","http://www.onsemi.com/pub/Collateral/2N6284-D.PDF","20 A, 100 V NPN Darlington Bipolar Power Transistor","Pb-free","Active","20 A, 100 V NPN Darlington Bipolar Power Transistor","NPN","20","100","2","0.75","18","4","TO-204-2"
"on","双极晶体管---达林顿晶体管","2N6287","2N6287G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6287G","http://www.onsemi.com/pub/Collateral/2N6284-D.PDF","20 A, 100 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","20 A, 100 V PNP Darlington Bipolar Power Transistor","PNP","20","100","2","0.75","18","4","TO-204-2"
"on","双极晶体管---达林顿晶体管","2N6667","2N6667G","http://www.onsemi.cn/PowerSolutions/product.do?id=2N6667G","http://www.onsemi.com/pub/Collateral/2N6667-D.PDF","10 A, 60 V PNP Darlington Bipolar Power Transistor","Pb-free","Active","10 A, 60 V PNP Darlington Bipolar Power Transistor","PNP","10","60","2","1","20","20","TO-220-3"
"on","双极晶体管---达林顿晶体管","BD675A","BD675AG","http://www.onsemi.cn/PowerSolutions/product.do?id=BD675AG","http://www.onsemi.com/pub/Collateral/BD675-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN","4","45","2.8","0.75","-","1","TO-225-3"
"on","双极晶体管---达林顿晶体管","BD676A","BD676AG","http://www.onsemi.cn/PowerSolutions/product.do?id=BD676AG","http://www.onsemi.com/pub/Collateral/BD676-D.PDF","4.0 A,  45 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A,  45 V PNP Darlington Bipolar Power Transistor","PNP","4","45","2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","BD677A","BD677AG","http://www.onsemi.cn/PowerSolutions/product.do?id=BD677AG","http://www.onsemi.com/pub/Collateral/BD675-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN","4","60","2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","BD678A","BD678AG","http://www.onsemi.cn/PowerSolutions/product.do?id=BD678AG","http://www.onsemi.com/pub/Collateral/BD676-D.PDF","4.0 A, 60 V PNP Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","4.0 A, 60 V PNP Darlington Bipolar Power Transistor","PNP","4","60","2.8","0.75","-","-","TO-225-3"
"on","双极晶体管---达林顿晶体管","BD679A","BD679AG","http://www.onsemi.cn/PowerSolutions/product.do?id=BD679AG","http://www.onsemi.com/pub/Collateral/BD675-D.PDF","Medium Power NPN Darlington Bipolar Power Transistor","Pb-free
Halide free","Active","Medium Power NPN Darlington Bipolar Power Transistor","NPN","4","80","2.8","0.75","-","-","TO-225-3"
