"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","VI Max (V)","IO Max (mA)","LEDs in Series, Max #","LEDs in Parallel, Max #","Package Type"
"on","LED Drivers---LED驱动器","NSI45020J","NSI45020JZT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI45020JZT1G","http://www.onsemi.com/pub/Collateral/NSI45020JZ-D.PDF","LED Driver, Adjustable Constant Current Regulator, 45 V, 20 mA","AEC Qualified
Pb-free
Halide free","Active","LED Driver, Adjustable Constant Current Regulator, 45 V, 20 mA","45","40","80","16","SOT-223-4 / TO-261-4"
"on","LED Drivers---LED驱动器","NSI45025A","NSI45025AT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI45025AT1G","http://www.onsemi.com/pub/Collateral/NSI45025A-D.PDF","LED Driver, Constant Current Regulator, 25 mA, 45 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 25 mA, 45 V","45","25","80","16","SOD-123"
"on","LED Drivers---LED驱动器","NSI45025A","NSV45025AT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSV45025AT1G","http://www.onsemi.com/pub/Collateral/NSI45025A-D.PDF","LED Driver, Constant Current Regulator, 25 mA, 45 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 25 mA, 45 V","45","25","80","16","SOD-123"
"on","LED Drivers---LED驱动器","NSI45025Z","NSI45025ZT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI45025ZT1G","http://www.onsemi.com/pub/Collateral/NSI45025Z-D.PDF","LED Driver, Constant Current Regulator, 25 mA, 45 V","AEC Qualified
Pb-free
Halide free","Active","LED Driver, Constant Current Regulator, 25 mA, 45 V","45","25","80","16","SOT-223-4 / TO-261-4"
"on","LED Drivers---LED驱动器","NSI45030A","NSI45030AT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI45030AT1G","http://www.onsemi.com/pub/Collateral/NSI45030A-D.PDF","LED Driver, Constant Current Regulator, 30 mA, 45 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 30 mA, 45 V","45","30","80","16","SOD-123"
"on","LED Drivers---LED驱动器","NSI45030A","NSV45030AT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSV45030AT1G","http://www.onsemi.com/pub/Collateral/NSI45030A-D.PDF","LED Driver, Constant Current Regulator, 30 mA, 45 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 30 mA, 45 V","45","30","80","16","SOD-123"
"on","LED Drivers---LED驱动器","NSI45030Z","NSI45030ZT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI45030ZT1G","http://www.onsemi.com/pub/Collateral/NSI45030Z-D.PDF","LED Driver, Constant Current Regulator, 30 mA, 45 V","AEC Qualified
Pb-free
Halide free","Active","LED Driver, Constant Current Regulator, 30 mA, 45 V","45","30","80","16","SOT-223-4 / TO-261-4"
"on","LED Drivers---LED驱动器","NSI45060JD","NSI45060JDT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI45060JDT4G","http://www.onsemi.com/pub/Collateral/NSI45060JD-D.PDF","LED Driver, Adjustable Constant Current Regulator, 45 V, 60 - 100 mA","AEC Qualified
Pb-free
PPAP Capable
Halide free","Active","LED Driver, Adjustable Constant Current Regulator, 45 V, 60 - 100 mA","45","100","80","16","DPAK-3"
"on","LED Drivers---LED驱动器","NSI45060JD","NSV45060JDT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSV45060JDT4G","http://www.onsemi.com/pub/Collateral/NSI45060JD-D.PDF","LED Driver, Adjustable Constant Current Regulator, 45 V, 60 - 100 mA","AEC Qualified
Pb-free
PPAP Capable
Halide free","Active","LED Driver, Adjustable Constant Current Regulator, 45 V, 60 - 100 mA","45","100","80","16","DPAK-3"
"on","LED Drivers---LED驱动器","NSI50010YT1G","NSI50010YT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI50010YT1G","http://www.onsemi.com/pub/Collateral/NSI50010Y-D.PDF","LED Driver, Constant Current Regulator, 50 V, 10 mA","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 50 V, 10 mA","50","10","80","16","SOD-123"
"on","LED Drivers---LED驱动器","NSI50010YT1G","NSV50010YT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSV50010YT1G","http://www.onsemi.com/pub/Collateral/NSI50010Y-D.PDF","LED Driver, Constant Current Regulator, 50 V, 10 mA","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 50 V, 10 mA","50","10","80","16","SOD-123"
"on","LED Drivers---LED驱动器","NSI50350AD","NSI50350ADT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSI50350ADT4G","http://www.onsemi.com/pub/Collateral/NSI50350AD-D.PDF","LED Driver, Constant Current Regulator, 50 V, 350 mA","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 50 V, 350 mA","50","350","80","16","DPAK-3"
"on","LED Drivers---LED驱动器","NSI50350AD","NSV50350ADT4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSV50350ADT4G","http://www.onsemi.com/pub/Collateral/NSI50350AD-D.PDF","LED Driver, Constant Current Regulator, 50 V, 350 mA","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","LED Driver, Constant Current Regulator, 50 V, 350 mA","50","350","80","16","DPAK-3"
"on","LED Drivers---LED驱动器","NSIC2020JB","NSIC2020JBT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSIC2020JBT3G","http://www.onsemi.com/pub/Collateral/NSIC2020JB-D.PDF","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 20 mA ±15%","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 20 mA ±15% ","120","20","80",,"SMB-2"
"on","LED Drivers---LED驱动器","NSIC2020JB","NSVC2020JBT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVC2020JBT3G","http://www.onsemi.com/pub/Collateral/NSIC2020JB-D.PDF","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 20 mA ±15%","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 20 mA ±15% ","120","20","80",,"SMB-2"
"on","LED Drivers---LED驱动器","NSIC2050JB","NSIC2050JBT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSIC2050JBT3G","http://www.onsemi.com/pub/Collateral/NSIC2050JB-D.PDF","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 50 mA ±15%","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 50 mA ±15%","120","50","80",,"SMB-2"
"on","LED Drivers---LED驱动器","NSIC2050JB","NSVC2050JBT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVC2050JBT3G","http://www.onsemi.com/pub/Collateral/NSIC2050JB-D.PDF","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 50 mA ±15%","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Constant Current Regulator & LED Driver for A/C off-line Applications, 120 V, 50 mA ±15%","120","50","80",,"SMB-2"
"on","LED Drivers---LED驱动器","NUD4001","NSVD4001DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVD4001DR2G","http://www.onsemi.com/pub/Collateral/NUD4001-D.PDF","High Current LED Driver","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","High Current LED Driver","30","500","8","16","SOIC-8"
"on","LED Drivers---LED驱动器","NUD4001","NUD4001DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUD4001DR2G","http://www.onsemi.com/pub/Collateral/NUD4001-D.PDF","High Current LED Driver","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","High Current LED Driver","30","500","8","16","SOIC-8"
