"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","VCC Min (V)","VCC Max (V)","P(AV) Max (W)","VIT+ Typ (V)","VIT Typ (V)","IDDH Max (uA)","TA Min (degreesC)","TA Max (degreesC)","Package Type"
"on","电压和电流管理---电压保护","LC05111CMT","LC05111C11MTTTG","http://www.onsemi.cn/PowerSolutions/product.do?id=LC05111C11MTTTG","http://www.onsemi.com/pub/Collateral/LC05111CMT-D.PDF","Battery Protection Controller with Integrated MOSFET, 1-Cell Lithium-Ion","Pb-free
Halide free","Active","Battery Protection Controller with Integrated MOSFET, 1-Cell Lithium-Ion ","2","5","0.35",,,"6","-40","85","WDFN-6 Dual Flag"
"on","电压和电流管理---电压保护","LC05111CMT","LC05111C12MTTTG","http://www.onsemi.cn/PowerSolutions/product.do?id=LC05111C12MTTTG","http://www.onsemi.com/pub/Collateral/LC05111CMT-D.PDF","Battery Protection Controller with Integrated MOSFET, 1-Cell Lithium-Ion","Pb-free
Halide free","Active","Battery Protection Controller with Integrated MOSFET, 1-Cell Lithium-Ion ","2","5","0.35",,,"6","-40","85","WDFN-6 Dual Flag"
"on","电压和电流管理---电压保护","LC05132C01MT","LC05132C01MTTTG","http://www.onsemi.cn/PowerSolutions/product.do?id=LC05132C01MTTTG","http://www.onsemi.com/pub/Collateral/LC05132C01MT-D.PDF","Battery Protection Controller with Integrated MOSFET, 1-Cell Lithium-Ion","Pb-free
Halide free","Active","Battery Protection Controller with Integrated MOSFET, 1-Cell Lithium-Ion","2","5","0.45",,,"6","-40","100","WDFN-6 Dual Flag"
"on","电压和电流管理---电压保护","NCP347","NCP347MTAETBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP347MTAETBG","http://www.onsemi.com/pub/Collateral/NCP347-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET and Status Flag","1.2","28","0.44","5.63","2.95","250","-40","85","WDFN-10"
"on","电压和电流管理---电压保护","NCP347","NCP347MTAFTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP347MTAFTBG","http://www.onsemi.com/pub/Collateral/NCP347-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET and Status Flag","1.2","28","0.44","5.63","2.95","250","-40","85","WDFN-10"
"on","电压和电流管理---电压保护","NCP347","NCP347MTAHTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP347MTAHTBG","http://www.onsemi.com/pub/Collateral/NCP347-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET and Status Flag","1.2","28","0.44","5.63","2.95","250","-40","85","WDFN-10"
"on","电压和电流管理---电压保护","NCP349","NCP349MNAETBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP349MNAETBG","http://www.onsemi.com/pub/Collateral/NCP349-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET","1.2","28","0.065","5.68
6.02
6.4
6.85","2.95
3.25","0.25","-40","85","DFN-6"
"on","电压和电流管理---电压保护","NCP349","NCP349MNBGTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP349MNBGTBG","http://www.onsemi.com/pub/Collateral/NCP349-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET","1.2","28","0.065","5.68
6.02
6.4
6.85","2.95
3.25","0.25","-40","85","DFN-6"
"on","电压和电流管理---电压保护","NCP349","NCP349MNBKTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP349MNBKTBG","http://www.onsemi.com/pub/Collateral/NCP349-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET","1.2","28","0.065","5.68
6.02
6.4
6.85","2.95
3.25","0.25","-40","85","DFN-6"
"on","电压和电流管理---电压保护","NCP349","NCP349MNTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP349MNTBG","http://www.onsemi.com/pub/Collateral/NCP349-D.PDF","Positive Overvoltage Protection Circuit with Internal Low R","Pb-free
Halide free","Active","Positive Overvoltage Protection Circuit with Internal Low R<sub>on</sub> NMOS FET","1.2","28","0.065","5.68
6.02
6.4
6.85","2.95
3.25","0.25","-40","85","DFN-6"
"on","电压和电流管理---电压保护","NCP361","NCP361MUTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP361MUTBG","http://www.onsemi.com/pub/Collateral/NCP361-D.PDF","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Overcurrent Protection, OVLO 5.675 V, OCP 750 mA","Pb-free
Halide free","Active","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Overcurrent Protection","1.2","20","0.3","5.675","3","35","25","85","TSOP-5 / SOT-23-5
UDFN-6"
"on","电压和电流管理---电压保护","NCP361","NCP361SNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP361SNT1G","http://www.onsemi.com/pub/Collateral/NCP361-D.PDF","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Overcurrent Protection, OVLO 5.675 V, OCP 750 mA","Pb-free
Halide free","Active","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Overcurrent Protection","1.2","20","0.3","5.675","3","35","25","85","TSOP-5 / SOT-23-5
UDFN-6"
"on","电压和电流管理---电压保护","NCP370","NCP370MUAITXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP370MUAITXG","http://www.onsemi.com/pub/Collateral/NCP370-D.PDF","Full Overvoltage and Overcurrent Protection Circuit, OVLO 6.6 V, reverse OCP 1.75 A","Pb-free
Halide free","Active","Full Overvoltage and Overcurrent Protection Circuit","-28","28","2.5","6.6","2.7","280","-40","85","LLGA-12"
"on","电压和电流管理---电压保护","NCP372","NCP372MUAITXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP372MUAITXG","http://www.onsemi.com/pub/Collateral/NCP372-D.PDF","Positive and Negative Overvoltage Protection Circuit, OVLO 6.6 V","Pb-free
Halide free","Active","Positive and Negative Overvoltage Protection Circuit","-30","30","0.45","6.3","2.7","260","-40","85","LLGA-12"
"on","电压和电流管理---电压保护","NCP374","NCP374MU075TXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP374MU075TXG","http://www.onsemi.com/pub/Collateral/NCP374-D.PDF","Overvoltage Up to +30 V and Down to -30 V with Load Switch Function","Pb-free
Halide free","Active","Overvoltage Up to +30 V and Down to -30 V with Load Switch Function","1.2","30","0.8","5.77","5.705","315","-40","85","TLLGA-12"
"on","电压和电流管理---电压保护","NCP392A","NCP392ARFCCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP392ARFCCT1G","http://www.onsemi.com/pub/Collateral/NCP392A-D.PDF","Adjustable front end Overvoltage Protection Controller with protected Vbus output and input spike up to 86 V compliant, 86V OVP","Pb-free
Halide free","Active","Adjustable front end Overvoltage Protection Controller with protected Vbus output and input spike up to 86 V compliant","2.8","+ 28","1","5.95","5.8","200","-40","85","WLCSP-12"
"on","电压和电流管理---电压保护","NCP392C","NCP392CRFCCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP392CRFCCT1G","http://www.onsemi.com/pub/Collateral/NCP392C-D.PDF","Adjustable front end Overvoltage Protection Controller with /ACOK digital output and 100 V surge protection compliance, 100 V OVP- 14v","Pb-free
Halide free","Active","Adjustable front end Overvoltage Protection Controller with /ACOK digital output and 100 V surge protection compliance","2.8","28","1","13.8
15.5","13.5
15.2","100","-40","85","WLCSP-12"
"on","电压和电流管理---电压保护","NCP392C","NCP392CSFCCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP392CSFCCT1G","http://www.onsemi.com/pub/Collateral/NCP392C-D.PDF","Adjustable front end Overvoltage Protection Controller with /ACOK digital output and 100 V surge protection compliance, 100V OVP-15v","Pb-free
Halide free","Active","Adjustable front end Overvoltage Protection Controller with /ACOK digital output and 100 V surge protection compliance","2.8","28","1","13.8
15.5","13.5
15.2","100","-40","85","WLCSP-12"
