"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Output","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---缓冲器","MC74VHCT257A","MC74VHCT257ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT257ADTG","http://www.onsemi.com/pub/Collateral/MC74VHCT257A-D.PDF","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","Pb-free
Halide free","Active","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","4","3-State","4.5","5.5","7.9","8","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC74VHCT541A","MC74VHCT541ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT541ADTG","http://www.onsemi.com/pub/Collateral/MC74VHCT541A-D.PDF","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","8","3-State","4.5","5.5","7.9","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT541A","MC74VHCT541ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT541ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT541A-D.PDF","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","8","3-State","4.5","5.5","7.9","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT541A","MC74VHCT541ADWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT541ADWG","http://www.onsemi.com/pub/Collateral/MC74VHCT541A-D.PDF","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","8","3-State","4.5","5.5","7.9","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT541A","MC74VHCT541ADWRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT541ADWRG","http://www.onsemi.com/pub/Collateral/MC74VHCT541A-D.PDF","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","8","3-State","4.5","5.5","7.9","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT541A","NLV74VHCT541ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74VHCT541ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT541A-D.PDF","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State","8","3-State","4.5","5.5","7.9","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","NL17SH126","NL17SH126P5T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=NL17SH126P5T5G","http://www.onsemi.com/pub/Collateral/NL17SH126-D.PDF","Noninverting 3-State Buffer","Pb-free
Halide free","Active","Noninverting 3-State Buffer","1","3-State","5.5","2","3.5","8","SOT-953"
"on","标准逻辑---缓冲器","NL17SZ04","NL17SZ04DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NL17SZ04DFT2G","http://www.onsemi.com/pub/Collateral/NL17SZ04-D.PDF","Single Inverter","Pb-free
Halide free
PPAP Capable","Active","Single Inverter",,,,,,,"SC-88A-5 / SC-70-5 / SOT-323-5
SOT-553
SOT-953"
"on","标准逻辑---缓冲器","NL17SZ04","NL17SZ04P5T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=NL17SZ04P5T5G","http://www.onsemi.com/pub/Collateral/NL17SZ04-D.PDF","Single Inverter","Pb-free
Halide free
PPAP Capable","Active","Single Inverter",,,,,,,"SC-88A-5 / SC-70-5 / SOT-323-5
SOT-553
SOT-953"
"on","标准逻辑---缓冲器","NL17SZ04","NL17SZ04XV5T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NL17SZ04XV5T2G","http://www.onsemi.com/pub/Collateral/NL17SZ04-D.PDF","Single Inverter","Pb-free
Halide free
PPAP Capable","Active","Single Inverter",,,,,,,"SC-88A-5 / SC-70-5 / SOT-323-5
SOT-553
SOT-953"
