"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IO(rec) Max (A)","IFSM Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---肖特基二极管及整流器","MBR30L60CTG","MBR30L60CTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR30L60CTG","http://www.onsemi.com/pub/Collateral/MBR30L60CT-D.PDF","Schottky Barrier Rectifier, L-Series, 60 V, 30 A","Pb-free","Active","Schottky Barrier Rectifier, L-Series, 60 V, 30 A","Common Cathode","60","0.81","350","30","240",,,"TO-220-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR340","MBR340G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR340G","http://www.onsemi.com/pub/Collateral/MBR340-D.PDF","Schottky Barrier Rectifier, 40 V, 3.0 A","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 40 V, 3.0 A","Single","40","0.6","600","3","80",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","MBR340","MBR340RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR340RLG","http://www.onsemi.com/pub/Collateral/MBR340-D.PDF","Schottky Barrier Rectifier, 40 V, 3.0 A","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 40 V, 3.0 A","Single","40","0.6","600","3","80",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","MBR360","MBR360G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR360G","http://www.onsemi.com/pub/Collateral/MBR350-D.PDF","Schottky Barrier Rectifier, 60 V, 3.0 A","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 60 V, 3.0 A","Single","60","0.74","600","3","80",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","MBR360","MBR360RLG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR360RLG","http://www.onsemi.com/pub/Collateral/MBR350-D.PDF","Schottky Barrier Rectifier, 60 V, 3.0 A","Pb-free
Halide free","Active","Schottky Barrier Rectifier, 60 V, 3.0 A","Single","60","0.74","600","3","80",,,"Axial Lead-2"
"on","二极管和整流器---肖特基二极管及整流器","MBR4015LWT","MBR4015LWTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR4015LWTG","http://www.onsemi.com/pub/Collateral/MBR4015LWT-D.PDF","40 A, 15 V Schottky Rectifier","Pb-free","Active","40 A, 15 V Schottky Rectifier","Common Cathode","15","0.5","5000","40","120",,,"TO-247-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR40250T","MBR40250TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR40250TG","http://www.onsemi.com/pub/Collateral/MBR40250-D.PDF","Schottky Power Rectifier, Switch-mode, 40 A, 250 V","Pb-free","Active","Schottky Power Rectifier, Switch-mode, 40 A, 250 V","Single","250","0.97","30","40","150","35","500","TO-220-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR40H100WT","MBR40H100WTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR40H100WTG","http://www.onsemi.com/pub/Collateral/MBR40H100WT-D.PDF","Schottky Barrier Rectifier, H-Series, 100 V, 40 A","Pb-free","Active","Schottky Barrier Rectifier, H-Series, 100 V, 40 A","Common Cathode","100","0.8","10","40","200",,,"TO-247-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR40L60CTG","MBR40L60CTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR40L60CTG","http://www.onsemi.com/pub/Collateral/MBR40L60CT-D.PDF","Schottky Barrier Rectifier, L-Series, 60 V, 40 A","Pb-free","Active","Schottky Barrier Rectifier, L-Series, 60 V, 40 A","Common Cathode","60","0.81","550","40","240",,,"TO-220-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR440MFS","MBR440MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR440MFST1G","http://www.onsemi.com/pub/Collateral/MBR440MFS-D.PDF","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Switch-mode, 4.0 A, 40 V","Single","40","0.65","800","4","40",,,"SO-8FL / DFN-5"
