"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Class","Output Power Typ (W)","VCC Max (V)","Output Type","ton Typ (ms)","THD + N Typ (%)","IQ Typ (mA)","ISD Typ (nA)","Package Type"
"on","放大器和比较器---音频放大器","NCP2817","NCP2817BFCCT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP2817BFCCT2G","http://www.onsemi.com/pub/Collateral/NCP2817-D.PDF","Audio Amplifier, NOCAP, LongPlay, Headphone","Pb-free
Halide free","Active","Audio Amplifier, NOCAP, LongPlay, Headphone","AB","0.042","5.5","BTL","1","0.02","2.3","1000","Flip-Chip-12"
"on","放大器和比较器---音频放大器","NCP2823","NCP2823AFCCT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP2823AFCCT2G","http://www.onsemi.com/pub/Collateral/NCP2823-D.PDF","Audio Power Amplifier, 3.0 W, Filterless, Class D, with Backside Laminate Coating","Pb-free
Halide free","Active","Audio Power Amplifier, 3.0 W, Filterless, Class D","D","1.5
3","5.5","BTL","7.4","0.08","1.8
2.6","10","Flip-Chip-9"
"on","放大器和比较器---音频放大器","NCP2823","NCP2823AFCT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP2823AFCT2G","http://www.onsemi.com/pub/Collateral/NCP2823-D.PDF","Audio Power Amplifier, 3.0 W, Filterless, Class D","Pb-free
Halide free","Active","Audio Power Amplifier, 3.0 W, Filterless, Class D","D","1.5
3","5.5","BTL","7.4","0.08","1.8
2.6","10","Flip-Chip-9"
"on","放大器和比较器---音频放大器","NCP2823","NCP2823BFCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP2823BFCT1G","http://www.onsemi.com/pub/Collateral/NCP2823-D.PDF","Audio Power Amplifier, 3.0 W, Filterless, Class D","Pb-free
Halide free","Active","Audio Power Amplifier, 3.0 W, Filterless, Class D","D","1.5
3","5.5","BTL","7.4","0.08","1.8
2.6","10","Flip-Chip-9"
"on","放大器和比较器---音频放大器","NCP2823","NCP2823BFCT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP2823BFCT2G","http://www.onsemi.com/pub/Collateral/NCP2823-D.PDF","Audio Power Amplifier, 3.0 W, Filterless, Class D","Pb-free
Halide free","Active","Audio Power Amplifier, 3.0 W, Filterless, Class D","D","1.5
3","5.5","BTL","7.4","0.08","1.8
2.6","10","Flip-Chip-9"
"on","放大器和比较器---音频放大器","NCP2993","NCP2993FCT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP2993FCT2G","http://www.onsemi.com/pub/Collateral/NCP2993-D.PDF","Audio Power Amplifier, 1.3 W, with Selectable Fast Turn-On Time, NCP2993FCT2G","Pb-free
Halide free","Active","Audio Power Amplifier, 1.3 W, with Selectable Fast Turn-On Time","AB","1.3","5.5","BTL","30","0.015","1.8","20","Flip Chip-9"
"on","放大器和比较器---音频放大器","NCS2211","NCS2211DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCS2211DR2G","http://www.onsemi.com/pub/Collateral/NCS2211-D.PDF","Audio Power Amplifier, Low Distortion, with Differential Output and Shutdown Mode","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Audio Power Amplifier, Low Distortion, with Differential Output and Shutdown Mode","AB","1.5","5.5","BTL","0.001","0.2","20","1000","DFN-8
SOIC-8"
"on","放大器和比较器---音频放大器","NCS2211","NCS2211MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCS2211MNTXG","http://www.onsemi.com/pub/Collateral/NCS2211-D.PDF","Audio Power Amplifier, Low Distortion, with Differential Output and Shutdown Mode","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Audio Power Amplifier, Low Distortion, with Differential Output and Shutdown Mode","AB","1.5","5.5","BTL","0.001","0.2","20","1000","DFN-8
SOIC-8"
"on","放大器和比较器---音频放大器","NCS2211","NCV2211DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV2211DR2G","http://www.onsemi.com/pub/Collateral/NCS2211-D.PDF","Audio Power Amplifier, Low Distortion, with Differential Output and Shutdown Mode","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Audio Power Amplifier, Low Distortion, with Differential Output and Shutdown Mode","AB","1.5","5.5","BTL","0.001","0.2","20","1000","DFN-8
SOIC-8"
"on","放大器和比较器---音频放大器","NCS8353","NCS8353MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCS8353MNTXG","http://www.onsemi.com/pub/Collateral/NCS8353-D.PDF","Audio Power Amplifier, Class D, Stereo, 20 W/Channel, with Programmable Power Limit and Selectable Gain","Pb-free
Halide free","Active","Audio Power Amplifier, Class D, Stereo, 20 W/Channel, with Programmable Power Limit and Selectable Gain ","D","20","26","BTL","450","0.03","33","0.1","QFN-32"
"on","放大器和比较器---音频放大器","SA571","SA571DG","http://www.onsemi.cn/PowerSolutions/product.do?id=SA571DG","http://www.onsemi.com/pub/Collateral/SA571-D.PDF","Compandor","Pb-free
Halide free","Active","Compandor",,,"18",,,,,,"SOIC-16W"
"on","放大器和比较器---音频放大器","SA571","SA571DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SA571DR2G","http://www.onsemi.com/pub/Collateral/SA571-D.PDF","Compandor","Pb-free
Halide free","Active","Compandor",,,"18",,,,,,"SOIC-16W"
"on","放大器和比较器---音频放大器","SA575","SA575DG","http://www.onsemi.cn/PowerSolutions/product.do?id=SA575DG","http://www.onsemi.com/pub/Collateral/SA575-D.PDF","Low Voltage Compandor","Pb-free
Halide free","Active","Low Voltage Compandor",,,"7",,,,,,"SOIC-20W
TSSOP-20"
"on","放大器和比较器---音频放大器","SA575","SA575DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SA575DR2G","http://www.onsemi.com/pub/Collateral/SA575-D.PDF","Low Voltage Compandor","Pb-free
Halide free","Active","Low Voltage Compandor",,,"7",,,,,,"SOIC-20W
TSSOP-20"
"on","放大器和比较器---音频放大器","SA575","SA575DTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=SA575DTBG","http://www.onsemi.com/pub/Collateral/SA575-D.PDF","Low Voltage Compandor","Pb-free
Halide free","Active","Low Voltage Compandor",,,"7",,,,,,"SOIC-20W
TSSOP-20"
"on","放大器和比较器---音频放大器","SA575","SA575DTBR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SA575DTBR2G","http://www.onsemi.com/pub/Collateral/SA575-D.PDF","Low Voltage Compandor","Pb-free
Halide free","Active","Low Voltage Compandor",,,"7",,,,,,"SOIC-20W
TSSOP-20"
